family,anchor,layer,tensor,rotation_seed,optimizer,qk_role,head,mapped_direction_cosine,mapped_relative_frobenius_error,mapped_norm_ratio,singular_spectrum_relative_l2_error
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,adamw,query,0,0.9631271958351135,0.2722465395927429,1.0047463178634644,0.021168481558561325
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,adamw,query,5,0.9479151964187622,0.32349875569343567,1.0044358968734741,0.03147556632757187
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,adamw,query,11,0.9669670462608337,0.256723552942276,0.9974985122680664,0.013655302114784718
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,adamw,key,0,0.9563971161842346,0.2951420843601227,0.998872697353363,0.037851493805646896
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,adamw,key,5,0.9445656538009644,0.33267316222190857,0.9981919527053833,0.021555006504058838
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,adamw,key,11,0.9641463756561279,0.26778626441955566,1.00003182888031,0.028795275837183
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,muon,query,0,0.9993419051170349,0.03628399223089218,1.0002405643463135,0.0013281672727316618
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,muon,query,5,0.9991909861564636,0.040222328156232834,0.9999805092811584,0.0016247296007350087
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,muon,query,11,0.9992561936378479,0.03856777027249336,0.9999333024024963,0.0014984951121732593
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,muon,key,0,0.999293863773346,0.037575673311948776,0.9996978640556335,0.0014230156084522605
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,muon,key,5,0.9992218017578125,0.03944702446460724,0.9997041821479797,0.0014765816740691662
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,muon,key,11,0.9994297623634338,0.033767957240343094,0.9999620914459229,0.0012544600758701563
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,normuon,query,0,0.9972612857818604,0.07398826628923416,0.9993541836738586,0.007823278196156025
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,normuon,query,5,0.9977955222129822,0.06642305850982666,1.0005884170532227,0.008921666070818901
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,normuon,query,11,0.9980067610740662,0.063120037317276,0.9992858171463013,0.009344828315079212
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,normuon,key,0,0.997312605381012,0.07329802960157394,0.9995771646499634,0.011169617995619774
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,normuon,key,5,0.998275637626648,0.05872294679284096,0.9998833537101746,0.00596387917175889
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082701,normuon,key,11,0.9979445934295654,0.06410659849643707,0.9996976852416992,0.008851536549627781
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,adamw,query,0,0.9657968878746033,0.2614017128944397,0.9988802671432495,0.01557756494730711
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,adamw,query,5,0.9680090546607971,0.2534218430519104,1.0035617351531982,0.02382880635559559
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,adamw,query,11,0.9659993052482605,0.26237988471984863,1.0106981992721558,0.02041351981461048
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,adamw,key,0,0.9584901332855225,0.2880348861217499,0.9993225932121277,0.0374542772769928
dense,dense/adamw-lr1e-5/checkpoint-2345,0,0.layers.0.attn.Wqkv.weight,2026082702,adamw,key,5,0.9650412201881409,0.26389172673225403,0.9957572221755981,0.023714644834399223
