model_family,task,adamw,muon,normuon,muon_minus_adamw,normuon_minus_adamw
dense,ArguAna,0.56,0.56201,0.56166,0.0020099999999999563,0.0016599999999999948
dense,ClimateFEVER,0.40586,0.41037,0.41402,0.004510000000000014,0.00816
dense,DBPedia,0.27755,0.27901,0.28106,0.0014599999999999613,0.0035099999999999576
dense,FEVER,0.92053,0.92251,0.92348,0.001980000000000093,0.002950000000000008
dense,FiQA2018,0.5421,0.54474,0.54895,0.0026399999999999757,0.006850000000000023
dense,HotpotQA,0.67496,0.67866,0.67766,0.0037000000000000366,0.0027000000000000357
dense,MSMARCO,0.56796,0.57118,0.57072,0.0032200000000000006,0.0027599999999999847
dense,NFCorpus,0.28744,0.28401,0.28622,-0.0034299999999999886,-0.0012199999999999989
dense,NQ,0.92545,0.93964,0.93964,0.014190000000000036,0.014190000000000036
dense,QuoraRetrieval,0.9118,0.91306,0.91318,0.0012599999999999278,0.0013799999999999368
dense,SCIDOCS,0.14774,0.14696,0.14837,-0.0007800000000000029,0.0006299999999999917
dense,SciFact,0.8804,0.87919,0.87919,-0.0012099999999999334,-0.0012099999999999334
dense,TRECCOVID,0.83044,0.83006,0.82966,-0.00037999999999993594,-0.0007800000000000029
dense,Touche2020,0.32591,0.33093,0.3342,0.0050200000000000244,0.00829000000000002
late,ArguAna,0.43451,0.42781,0.42726,-0.006699999999999984,-0.007250000000000034
late,ClimateFEVER,0.4088,0.41413,0.41538,0.005330000000000001,0.00658000000000003
late,DBPedia,0.3037,0.30886,0.30727,0.005159999999999998,0.003569999999999962
late,FEVER,0.93885,0.9392,0.93955,0.0003500000000000725,0.0007000000000000339
late,FiQA2018,0.55837,0.56411,0.56615,0.005739999999999967,0.007780000000000009
late,HotpotQA,0.75079,0.74889,0.75078,-0.0019000000000000128,-9.99999999995449e-06
late,MSMARCO,0.59282,0.59459,0.59195,0.0017699999999999383,-0.0008700000000000374
late,NFCorpus,0.27758,0.28023,0.27332,0.0026499999999999857,-0.004259999999999986
late,NQ,0.96391,0.96391,0.96391,0.0,0.0
late,QuoraRetrieval,0.91527,0.91616,0.91648,0.0008899999999999464,0.0012099999999999334
late,SCIDOCS,0.14781,0.15111,0.14777,0.0032999999999999974,-3.999999999998449e-05
late,SciFact,0.89646,0.89646,0.90742,0.0,0.01095999999999997
late,TRECCOVID,0.80649,0.80093,0.79517,-0.005560000000000009,-0.011319999999999997
late,Touche2020,0.34622,0.35485,0.34634,0.008629999999999971,0.00011999999999995348
