optimizer,negative_width,runs,loss_beir_spearman,margin_beir_spearman
adamw,7,4,-0.9999999999999998,0.9999999999999998
adamw,10,4,-0.9999999999999998,0.9999999999999998
adamw,32,4,0.9999999999999998,0.9999999999999998
adamw,128,4,0.9999999999999998,0.9999999999999998
adamw,512,4,0.9999999999999998,0.9999999999999998
adamw,2048,4,0.9999999999999998,0.9999999999999998
muon,7,4,-0.9999999999999998,0.0
muon,10,4,-0.7999999999999998,0.0
muon,32,4,0.0,-0.7999999999999998
muon,128,4,-0.5999999999999999,-0.5999999999999999
muon,512,4,-0.7999999999999998,-0.5999999999999999
muon,2048,4,-0.7999999999999998,-0.5999999999999999
normuon,7,4,-0.7999999999999998,0.0
normuon,10,4,-0.7999999999999998,0.0
normuon,32,4,-0.5999999999999999,-0.5999999999999999
normuon,128,4,-0.7999999999999998,0.0
normuon,512,4,-0.7999999999999998,0.0
normuon,2048,4,-0.7999999999999998,0.0
