optimizer,negative_width,samples,contrastive_loss_delta,contrastive_loss_high_dose_better_fraction,contrastive_loss_delta_ci95_lower,contrastive_loss_delta_ci95_upper,positive_score_delta,positive_score_high_dose_better_fraction,hardest_negative_score_delta,hardest_negative_score_high_dose_better_fraction,positive_margin_delta,positive_margin_high_dose_better_fraction,positive_margin_delta_ci95_lower,positive_margin_delta_ci95_upper,reciprocal_rank_delta,reciprocal_rank_high_dose_better_fraction,top1_accuracy_delta,top1_accuracy_high_dose_better_fraction
muon,7,224,0.17706393982682908,0.4375,0.08924295992723534,0.27961426707250736,-0.0005047160999051162,0.49107142857142855,0.006165242886969021,0.45089285714285715,-0.006669958986874137,0.42857142857142855,-0.01221932991507596,-0.0010186304571106974,-0.039950042364320586,0.03125,-0.05803571428571429,0.017857142857142856
muon,10,224,0.18405192238943918,0.4375,0.08906315224511284,0.2926401717322214,-0.0005047160999051162,0.49107142857142855,0.004761866959077972,0.45535714285714285,-0.0052665830589830875,0.45089285714285715,-0.010518609078800572,4.6645372640341915e-05,-0.03642982753392841,0.03571428571428571,-0.049107142857142856,0.022321428571428572
muon,32,224,-0.014265228595052446,0.5357142857142857,-0.19047962272805827,0.16029907587383477,-0.0005047160999051162,0.49107142857142855,-0.0034117733261414935,0.5535714285714286,0.0029070572262363775,0.4955357142857143,-0.002549911716154641,0.008381669640740648,-0.012345425967526222,0.20982142857142858,-0.008928571428571428,0.0625
muon,128,224,0.05137198099068233,0.5178571428571429,-0.1256707909383944,0.23079934471419883,-0.0005047160999051162,0.49107142857142855,-0.0018985018666301454,0.5580357142857143,0.0013937857667250292,0.48660714285714285,-0.004161879079349871,0.006880467544708935,-0.016843817820439914,0.20535714285714285,-0.008928571428571428,0.05803571428571429
muon,512,224,0.08384306303092412,0.5,-0.09109941268605845,0.2620726549731834,-0.0005047160999051162,0.49107142857142855,-0.0015947757554905756,0.5491071428571429,0.0010900596555854594,0.49107142857142855,-0.00433469324073355,0.006455008135110672,-0.016841233642480802,0.19642857142857142,-0.004464285714285714,0.05803571428571429
muon,2048,224,0.10865073331764766,0.48660714285714285,-0.06651581355503626,0.2845708353178842,-0.0005047160999051162,0.49107142857142855,-0.0014731834110404765,0.5491071428571429,0.0009684673111353602,0.49107142857142855,-0.004427114897407591,0.006376121756953321,-0.01849861744527256,0.1875,-0.004464285714285714,0.05803571428571429
normuon,7,224,0.19077281866754806,0.47767857142857145,0.06092052305383343,0.3320211832012449,-0.0022127700836530755,0.5,0.002354686115203159,0.48660714285714285,-0.004567456265379276,0.4732142857142857,-0.010618190617034473,0.0013905149676637465,-0.03065476180719478,0.03125,-0.044642857142857144,0.022321428571428572
normuon,10,224,0.1911175400018692,0.48214285714285715,0.06248013233499869,0.33020291647740774,-0.0022127700836530755,0.5,0.0017023797346545117,0.48660714285714285,-0.003915149818307587,0.48214285714285715,-0.010012324473687578,0.002108009593627818,-0.029496173241308758,0.044642857142857144,-0.03571428571428571,0.03571428571428571
normuon,32,224,0.00384367150919778,0.5401785714285714,-0.187173769729478,0.1928301387067353,-0.0022127700836530755,0.5,-0.003092352034790175,0.5133928571428571,0.000879582017660141,0.5223214285714286,-0.00482157383147361,0.006499329631749009,0.00115513608657888,0.21875,0.0,0.07142857142857142
normuon,128,224,0.0686354147536414,0.5223214285714286,-0.1265258248363222,0.2668399670294354,-0.0022127700836530755,0.5,-0.0016293701981859548,0.5044642857142857,-0.0005833998189440795,0.5223214285714286,-0.006558651708266031,0.005381031982999827,-0.0017741600791591086,0.21428571428571427,0.004464285714285714,0.06696428571428571
normuon,512,224,0.09504235429423195,0.5223214285714286,-0.0975664279822792,0.2901620403996536,-0.0022127700836530755,0.5,-0.0013367286883294582,0.5044642857142857,-0.0008760413288005761,0.5178571428571429,-0.0068552644557452625,0.005040650144552013,0.0009297867311813336,0.21428571428571427,0.008928571428571428,0.07142857142857142
normuon,2048,224,0.1157566372837339,0.5178571428571429,-0.07578977213374198,0.3099029393068382,-0.0022127700836530755,0.5,-0.0012550889514386654,0.5,-0.000957681065691369,0.5178571428571429,-0.00691593665230487,0.0049423099628516645,0.00011712806242160565,0.20982142857142858,0.008928571428571428,0.07142857142857142
