family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,direction_frobenius_norm_to_adamw_ratio,global_per_unit_lr_update_to_weight_to_adamw_ratio,row_norm_cv_parameter_weighted_to_adamw_ratio,row_norm_gini_parameter_weighted_to_adamw_ratio,top_1pct_row_energy_parameter_weighted_to_adamw_ratio,approx_stable_rank_parameter_weighted_to_adamw_ratio,sketched_entropy_effective_rank_parameter_weighted_to_adamw_ratio,spectral_norm_parameter_weighted_to_adamw_ratio,cosine_with_final_gradient_minus_adamw,cosine_with_weight_minus_adamw,cosine_with_adamw_parameter_weighted
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,muon,0.08689841101796504,0.08689841101796504,2.8528876480589656,2.8674995939814996,1.4561979359053352,23.799564759135787,1.072431216941453,0.017286215000133272,-0.10207568638943096,-0.0016180049463687745,0.5370754801175174
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,normuon,0.08689534932772372,0.08689534932772372,0.6526782308663197,0.6355658971676422,0.931656269871634,18.758014126876706,1.0712262145230904,0.020124588890939026,-0.11496324502529306,-0.0015601894760388885,0.5441469437776403
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,muon,0.08399831117525898,0.083998311175259,2.8383724128080026,2.8351074745607585,1.5228362273704774,26.918968508874197,1.0913713516257022,0.01584562983105406,-0.13194475805058198,-0.002006738217450497,0.4990539694214887
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,normuon,0.08399555213182437,0.08399555213182439,0.709008106967791,0.6794510864288897,0.982223447941457,20.667655875094447,1.0898476376569806,0.01881965326063295,-0.14565134648094202,-0.0018950813946551968,0.5073568648036151
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,muon,0.08439057054073816,0.08439057054073816,2.8562151611914195,2.8513396331234024,1.5332185447006434,28.51004745370439,1.0936449441069822,0.01556870382477496,-0.14278515262957558,-0.0019706929499497977,0.4927572357782068
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,normuon,0.08438789250060946,0.08438789250060946,0.6640102805744766,0.6381703953195869,0.9593509609715606,21.808181337582674,1.091987301611419,0.018556455096717356,-0.15709094557771705,-0.001867193329592295,0.5016600716719652
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,muon,0.08466933091233077,0.08466933091233075,2.824313468860124,2.8191157833086073,1.5306617584901294,29.481982752433737,1.0969845751098095,0.015372852700941077,-0.14825813426451884,-0.001970424119477343,0.4898779667156903
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,normuon,0.0846666673996637,0.08466666739966369,0.6504632914823888,0.6251292706054816,0.9537763346474074,22.588326388543145,1.0953483630056076,0.01829941414964659,-0.16276817868418872,-0.0018682872030479486,0.49885029979249373
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,muon,0.08324638857469178,0.08324638857469178,2.708106345741533,2.68660238129871,1.590822463060665,29.530526297458223,1.1099605240353732,0.015107755346770847,-0.15601876433839132,-0.0015939010723135857,0.46413753329113844
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,normuon,0.08324407754529661,0.0832440775452966,0.7121922281291841,0.6899799550824012,0.9752608313763692,22.25077616248205,1.1078604948425224,0.01825034462518648,-0.1735846798687695,-0.0015060018475641578,0.4737544241436025
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,muon,0.08203999828277332,0.08203999828277332,2.986247001346523,2.9660433328564277,1.6376851704677975,30.06263681143322,1.1045471624509389,0.014626550293745218,-0.21855536378163065,-0.0014664893524970594,0.4628424385492814
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,normuon,0.08203771816943897,0.08203771816943899,0.7521527861148972,0.7221434382899701,1.0115015918716073,22.838119410967266,1.1024755381522808,0.01758131611951303,-0.23627907432177486,-0.0014037725835377762,0.47302368562170527
dense,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,dense/muon-lr1e-3/checkpoint-3907,muon,0.08041690648202643,0.08041690648202643,3.0658192870748886,3.0437634779527145,1.6727600488024896,28.43426563457446,1.1030477788209965,0.014806553030018231,-0.15066736279165044,-0.002054785534479977,0.4630710553517316
dense,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,dense/muon-lr1e-3/checkpoint-3907,normuon,0.08041459155791436,0.08041459155791435,0.7934640003908251,0.7644960113092929,1.038946811769446,21.456591588093065,1.1010047506594371,0.01785645731431239,-0.17001948870200528,-0.001903124363785138,0.4724034209621144
dense,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,dense/normuon-lr1e-3/checkpoint-782,muon,0.08387963350835713,0.08387963350835712,2.714840400759284,2.693943910572883,1.581703097977752,29.321312240840296,1.111953153092628,0.01525198987110097,-0.15827951016512148,-0.0016357688756388452,0.46544157502485467
dense,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,dense/normuon-lr1e-3/checkpoint-782,normuon,0.08387725274428635,0.08387725274428634,0.65177093367242,0.6300325112401619,0.9509550421163533,22.233294146247637,1.1100225323832633,0.018357252970533002,-0.17545753219389024,-0.0015279752712770115,0.47500646130286434
dense,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,dense/normuon-lr1e-3/checkpoint-2345,muon,0.08321005848669115,0.08321005848669115,2.966717608651747,2.951761712787914,1.6092603297991526,31.10418684607648,1.1029794138830176,0.014628447468632127,-0.21319717989567127,-0.0017053465907025762,0.46942084916135207
dense,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,dense/normuon-lr1e-3/checkpoint-2345,normuon,0.08320764258543169,0.08320764258543169,0.7213569575222744,0.692648390101699,0.9929205378208774,23.689324039761484,1.1010584967874926,0.017554846401497258,-0.23012237115339798,-0.0015959182445965507,0.47945362966965865
dense,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,dense/normuon-lr1e-3/checkpoint-3907,muon,0.08211131360744896,0.08211131360744897,3.0259475323607807,3.0063646786203164,1.6375044693419185,25.537559599203128,1.0987542203478249,0.01589082340245232,-0.17224716012649993,-0.0020512535736117647,0.47082296093517445
dense,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,dense/normuon-lr1e-3/checkpoint-3907,normuon,0.08210895791228731,0.08210895791228731,0.7514515918627294,0.7248972311121967,1.0059234653458022,19.4086992835877,1.0967499703761414,0.019119003322071514,-0.1912754641019087,-0.0018968636845395114,0.48050922768957477
late,pretrained,,,pretrained,0,0.0,0,late/pretrained,muon,0.08338866487368804,0.08338866487368805,2.9462784463271827,2.9577794409428635,1.5165161966356924,25.056406699995076,1.0851179772538067,0.01641964918811114,-0.17784564121362362,-0.0005594910466344083,0.48684106073915
late,pretrained,,,pretrained,0,0.0,0,late/pretrained,normuon,0.08338614905634686,0.08338614905634686,0.657883922676827,0.6318570772514323,0.9741846763152271,19.008843750175863,1.0836811516103468,0.01952641709684498,-0.18986205569403694,-0.0005466758084944583,0.49446558761086695
late,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,late/adamw-lr1e-5/checkpoint-782,muon,0.08358418877506023,0.08358418877506023,2.965831632921573,2.9940566389292833,1.4821828468800449,28.181541857981138,1.085652396342822,0.01556450636574118,-0.15255210568560637,-0.0007724969084499188,0.4808214463811507
late,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,late/adamw-lr1e-5/checkpoint-782,normuon,0.08358169697224256,0.08358169697224256,0.613344124499095,0.5881217499983816,0.9326263131062041,21.139390269805638,1.0841564847865528,0.018676990416273916,-0.16442398328513386,-0.000689594558685654,0.4893087480954308
late,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,late/adamw-lr1e-5/checkpoint-2345,muon,0.07734068478802633,0.07734068478802633,3.176469934749059,3.203852655518032,1.6020231447813196,31.26088418381285,1.1046266217541694,0.013730450062519859,-0.186074555477994,-0.0009471179212153738,0.45293454690413043
late,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,late/adamw-lr1e-5/checkpoint-2345,normuon,0.07733873114816121,0.07733873114816121,0.6918316059040911,0.6591990881790307,0.9862099855967895,23.481950152282884,1.1029871138175067,0.01647282759725039,-0.19932539677396813,-0.0009227000157705061,0.46287344372208744
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,muon,0.0770628535960292,0.07706285359602918,3.0808620108749145,3.099389339138611,1.6156714114833457,32.66854257019341,1.1120419477727357,0.013353824419637032,-0.19991841350487846,-0.0010313694658598154,0.4468031641952494
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,normuon,0.07706102244392947,0.07706102244392947,0.6929601121726199,0.659100736103995,0.9929807681514536,24.509160918398894,1.1103283837650169,0.016026920588102535,-0.21366601803882873,-0.0009882308704071325,0.45689574768517743
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,muon,0.0779448807359068,0.0779448807359068,3.196802364645014,3.227764385183108,1.6077796776468838,29.66023972824626,1.1060388012623454,0.014147020414529081,-0.17694653737991253,-0.0015946885056635019,0.44413584064353595
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,normuon,0.07794303937716218,0.07794303937716217,0.6952250793888836,0.6656155955275637,0.9735067132255286,22.168908094324117,1.1043302261784536,0.016979031293936023,-0.19181507754134622,-0.0015717229368230113,0.45406963911286014
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,muon,0.07903996198691399,0.07903996198691399,2.825011939902842,2.8226595210663135,1.6280373106487875,37.809109406256454,1.1422503274358233,0.01247294750115545,-0.2743965467826568,-0.001153350541350219,0.4250519219088682
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,normuon,0.0790384763809058,0.07903847638090582,0.6168790527674782,0.5826117592888105,0.9690310548016825,28.500842718731754,1.1403974140169209,0.014914353207979179,-0.2889611742952291,-0.001118541235965412,0.4363704240098994
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,muon,0.0824396409391396,0.0824396409391396,2.806670904560526,2.8161429352597698,1.5626160974633054,33.848262340421506,1.1224456972148817,0.013794006684577772,-0.20735862149911766,-0.0012010558267365058,0.432955032045191
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,normuon,0.08243769705762094,0.08243769705762094,0.5915336176338402,0.5587818141381053,0.9477847840485288,25.339264231534443,1.1207005620777075,0.016529986800352635,-0.22176681279657995,-0.001096779346908114,0.44298701115789263
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,muon,0.07871097175248262,0.07871097175248262,3.1247611474881603,3.147866717131408,1.604415057768948,30.047770655832,1.1079996389538913,0.014218421454108161,-0.14658714368700346,-0.0013852998850040572,0.43919097405066465
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,normuon,0.07870917310411693,0.07870917310411693,0.6770235954385931,0.6480030241230491,0.9664915069694976,22.33190111541285,1.1062385165827153,0.017131563597193283,-0.16125575819595614,-0.0013925434644074496,0.4490850222780105
late,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,late/normuon-lr1e-3/checkpoint-2345,muon,0.08014753713852128,0.08014753713852128,2.8353035196458087,2.838604444876933,1.5968109324392952,36.871909814873554,1.1311450021360676,0.012713063934542777,-0.26990396609121464,-0.0011918793550036028,0.4392897441266055
late,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,late/normuon-lr1e-3/checkpoint-2345,normuon,0.08014586943298414,0.08014586943298414,0.6442364532863695,0.6081262249291404,0.9767202608247043,27.72778504863116,1.1293020308108401,0.015221957217741285,-0.28448561427586855,-0.001170827054764117,0.4503784963791383
late,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,late/normuon-lr1e-3/checkpoint-3907,muon,0.07505366488455434,0.07505366488455432,3.012649872177959,3.0114429485047407,1.6996799184032545,36.570681005687774,1.1416699545411222,0.012042136247725715,-0.25057530849375187,-0.001408086118589804,0.4245621511005463
late,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,late/normuon-lr1e-3/checkpoint-3907,normuon,0.075052318358436,0.075052318358436,0.7101960513232959,0.6716863925908252,1.0246612667824877,27.49474581233447,1.1397849241789841,0.014412441156668785,-0.2663170141491661,-0.00133364401797268,0.43580103621763344
