family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,tensors,parameters,weight_frobenius_norm,direction_frobenius_norm,global_per_unit_lr_update_to_weight,row_norm_cv_parameter_weighted,row_norm_gini_parameter_weighted,row_norm_max_to_median_parameter_weighted,column_norm_cv_parameter_weighted,column_norm_gini_parameter_weighted,column_norm_max_to_median_parameter_weighted,top_1pct_row_energy_parameter_weighted,top_10pct_row_energy_parameter_weighted,spectral_norm_parameter_weighted,approx_stable_rank_parameter_weighted,sketched_nuclear_norm_parameter_weighted,sketched_entropy_effective_rank_parameter_weighted,captured_frobenius_energy_parameter_weighted,cosine_with_final_gradient_parameter_weighted,cosine_with_weight_parameter_weighted,per_unit_lr_update_to_weight_parameter_weighted
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,adamw,88,110297088,1196.2692808662935,3853.7248233965856,3.2214526319741843,0.05887558122967335,0.032720310018251854,1.2788488578031407,0.03353429557805393,0.018824111701732555,1.1167920139384142,0.014649547270454347,0.12309663922072732,103.01055747047465,19.410502260381524,2619.4208139021766,59.63911315591577,0.6526401761700126,0.3465675969015468,0.00016311669089268946,3.3311701834520555
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,muon,88,110297088,1196.2692808662935,334.88256365365123,0.27993911488819795,0.16796541846242738,0.09382547569228598,1.5516252976687834,0.044943149261335955,0.022725385344249907,1.1763455003978096,0.021332640497183256,0.16348004877009495,1.7806626437182096,461.96150555330166,109.0325094722809,63.958846699107774,0.1445880481863723,0.24449191051211586,-0.001454888255476085,0.2881080837930269
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,normuon,88,110297088,1196.2692808662935,334.8707647419667,0.27992925179811173,0.0384268101982095,0.020795913192353632,1.2401268102905967,0.04733952867454864,0.02397902078505926,1.1755385727168404,0.013648342565299674,0.11592801564676876,2.07304512051975,364.10247561000887,117.95063952073694,63.88698142352589,0.16506982797926123,0.23160435187625375,-0.001397072785146199,0.28810808052592735
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,adamw,88,110297088,1196.1937385281503,3924.029985886522,3.2804301339303295,0.06472387807792361,0.03617767701508167,1.2851272834176048,0.03747252015307306,0.02105387957587323,1.1268532116782857,0.014797636638968227,0.1247870596573952,112.47290016623104,16.593662189289848,2679.6266309768757,58.592483408310834,0.6823642398903077,0.39276699235732543,0.0003393852770639637,3.392246521730474
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,muon,88,110297088,1196.1937385281503,329.6118918155432,0.27555059117857633,0.18371046998632704,0.102567602517703,1.5956651769219872,0.052703109515063906,0.026695096406570005,1.2070716265688606,0.022534377153285524,0.17136039539056028,1.7822039420591955,446.6842699203899,109.01763306072051,63.94615781243472,0.1508785392391809,0.26082223430674345,-0.0016673529403865334,0.2832714559181648
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,normuon,88,110297088,1196.1937385281503,329.6010652463734,0.27554154032935263,0.04588975427164273,0.024580961952370712,1.2949978106799611,0.05469979992245927,0.02784061617896937,1.2084130482240156,0.014534585680912204,0.11978068352144032,2.1167009823462544,342.9520998358089,118.65653728546306,63.85687962700339,0.17385243032785022,0.2471156458763834,-0.001555696117591233,0.28327145034019
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,adamw,88,110297088,1196.0414802549767,3880.857810984944,3.2447518543902074,0.06640980486324764,0.03713186598213889,1.2861429762075292,0.038737253320806804,0.02174373240654873,1.132755687530028,0.01491888526099968,0.1255716253570057,114.51153982641863,15.460644189049216,2659.2205334015707,58.47281974139698,0.6901092706198361,0.3978775730107557,1.6708200921596807e-05,3.3568602934240657
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,muon,88,110297088,1196.0414802549767,327.5078048564996,0.27382646025510776,0.18968069150217157,0.10587556112669926,1.617014046977548,0.054563650313545674,0.027662923404602895,1.2074756462943745,0.02287391154842581,0.17365406085064705,1.7827962480764339,440.7836994946322,108.98992531312341,63.94850367785775,0.1530534759721654,0.25509242038118013,-0.0019539847490282008,0.28141632817566076
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,normuon,88,110297088,1196.0414802549767,327.49741176354803,0.273817770679434,0.04409679316014131,0.023696457592775496,1.286156772929717,0.0564886011870548,0.028746368925775256,1.2129572333499072,0.014312446911764495,0.11878419006093938,2.1249282468448984,337.1685320706291,118.70139946147083,63.851576647019,0.17677252146012004,0.24078662743303866,-0.001850485128670698,0.28141632642258296
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,adamw,88,110297088,1196.0266452208111,3862.612168244583,3.229536886723343,0.06741351378274793,0.037700260342924875,1.292726186507526,0.039607288236206864,0.022235753543123585,1.1351833302069476,0.014980227893148674,0.12593677717654464,115.95696489058714,14.913830398875762,2641.9279559946317,58.29303735335243,0.692422579316532,0.40361547577668,1.711392589486313e-05,3.341189256963883
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,muon,88,110297088,1196.0266452208111,327.044787859096,0.2734427273555572,0.1903968949598026,0.10628139896758308,1.6210496135573973,0.05482897293918273,0.027836172359585326,1.2066187919142413,0.022929661969509834,0.17378984315988213,1.7825893409111921,439.6892905923772,109.00227103003843,63.946562812927574,0.15349998018320868,0.25535734151216116,-0.00195331019358248,0.28100831769805223
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,normuon,88,110297088,1196.0266452208111,327.03449974265794,0.27343412544315066,0.0438500160655196,0.023567536249809392,1.2821015027117602,0.05681572799735209,0.02890468105899723,1.2156387695016708,0.014287786852110197,0.11864516354180912,2.1219445240688835,336.8784687531823,118.62584100815064,63.85118303961932,0.17713534814071527,0.24084729709249128,-0.0018511732771530854,0.281008316711946
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,adamw,88,110297088,1190.0141266256176,3798.1707631784952,3.1917022480636588,0.07510403009818838,0.042275975025659614,1.2993847367597773,0.04536158408232551,0.025573832102381372,1.1517492841909276,0.01529800170972784,0.1288669963571477,118.13458264192795,13.883648497535583,2627.5543349974932,57.59479937833898,0.7236080894814455,0.39579389606886367,5.631356016894574e-05,3.30342090066104
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,muon,88,110297088,1190.0141266256176,316.18399922459065,0.26569768555702467,0.20338970049966704,0.11357873517566192,1.68992892816105,0.06431883407188928,0.03313550346783298,1.2615078493235583,0.02433640475977551,0.18063154792721897,1.7847483725471294,409.9914470611409,108.80201003130745,63.927953699693326,0.16507835106495866,0.23977513173047235,-0.0015375875121446398,0.2726254458613893
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,normuon,88,110297088,1190.0141266256176,316.17522154030905,0.2656903094393087,0.05348850653711009,0.029169575349269335,1.3221728412862768,0.06570516304576142,0.03383526632546703,1.2683833266962021,0.01491954186582629,0.12251448149190229,2.155996845367758,308.9219550372445,118.45599260177204,63.80700293964243,0.19085053340556787,0.22220921620009418,-0.001449688287395212,0.27262544354055335
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,adamw,88,110297088,1178.6771906478846,3854.6455165284306,3.2703148471123327,0.06863302223503909,0.038601330078334085,1.2453461528461884,0.04204643311546767,0.023623312613013012,1.139912607835576,0.01470497556100475,0.1259143704917023,121.99521863396792,13.649740887198218,2630.4255824777533,57.8785821129294,0.6991664851731795,0.489543857421467,-0.00040908455935460613,3.382102942721729
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,muon,88,110297088,1178.6771906478846,316.23511155669235,0.2682966244412239,0.20495515684273471,0.1144932177182331,1.6667461073334842,0.0645512696455188,0.0331207350155544,1.2411486350278804,0.02408212040834886,0.17943490290625846,1.7843692009461756,410.3472028620103,108.85545084948208,63.92962363951984,0.16433554582975127,0.27098849363983635,-0.0018755739118516655,0.27539894036590096
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,normuon,88,110297088,1178.6771906478846,316.2263225280509,0.2682891677527335,0.05162251889357034,0.027875697225334218,1.3085052039534013,0.0659376549569362,0.033817709977962226,1.2539945056731687,0.014874106188389387,0.12151862736691765,2.144836503872897,311.7344123105952,118.18425379462421,63.80972096244282,0.18911043397165875,0.25326478309969214,-0.0018128571428923824,0.27539893817455374
dense,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,dense/muon-lr1e-3/checkpoint-3907,adamw,88,110297088,1174.80266056574,3975.81517573885,3.38424086801459,0.06571426810846132,0.03692348947263956,1.2411329408380436,0.03970523972442762,0.02228203835552609,1.1265378218283628,0.0143732390401357,0.12415886771949855,120.49187175730333,14.750689705425405,2743.019713049904,57.95912266287574,0.70968802504361,0.4258315742095524,-0.00011198759339727246,3.501422700397471
dense,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,dense/muon-lr1e-3/checkpoint-3907,muon,88,110297088,1174.80266056574,319.7227571772126,0.27215018139578123,0.20146807060293095,0.11238636873539183,1.6740462011831967,0.062328678326691214,0.031837273738457184,1.245236308179437,0.024042980038227243,0.17874900193855087,1.7840692888606677,419.42502937724885,108.85375760328323,63.93168151569876,0.16190905767408284,0.275164211417902,-0.0021667731278772495,0.2793192325986643
dense,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,dense/muon-lr1e-3/checkpoint-3907,normuon,88,110297088,1174.80266056574,319.7135534667971,0.2721423471349948,0.052141906056094936,0.028227860425453614,1.3290069339109614,0.0638341567314723,0.03267741580438428,1.2455219326809766,0.01493303087554912,0.12201224171860332,2.15155796475589,316.4995246520017,118.70012348603437,63.813269395879246,0.18756569802442336,0.25581208550754714,-0.0020151119571824106,0.2793192267019481
