family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,operator_pair,tensors,parameters,cosine_parameter_weighted
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,adamw__muon,88,110297088,0.5370754801175174
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,adamw__normuon,88,110297088,0.5441469437776403
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,muon__normuon,88,110297088,0.9791793066231325
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,adamw__muon,88,110297088,0.4990539694214887
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,adamw__normuon,88,110297088,0.5073568648036151
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,muon__normuon,88,110297088,0.9747995176417305
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,adamw__muon,88,110297088,0.4927572357782068
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,adamw__normuon,88,110297088,0.5016600716719652
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,muon__normuon,88,110297088,0.9736134730239603
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,adamw__muon,88,110297088,0.4898779667156903
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,adamw__normuon,88,110297088,0.49885029979249373
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,muon__normuon,88,110297088,0.9736413434546262
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,adamw__muon,88,110297088,0.46413753329113844
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,adamw__normuon,88,110297088,0.4737544241436025
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,muon__normuon,88,110297088,0.9704400288229957
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,adamw__muon,88,110297088,0.4628424385492814
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,adamw__normuon,88,110297088,0.47302368562170527
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,muon__normuon,88,110297088,0.971033136474895
dense,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,dense/muon-lr1e-3/checkpoint-3907,adamw__muon,88,110297088,0.4630710553517316
