family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,tensor,rows,columns,parameters,gradient_steps,weight_frobenius_norm,operator_pair,cosine
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wo.weight,768,768,589824,8,26.85479736328125,adamw__muon,0.5435125827789307
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wo.weight,768,768,589824,8,26.85479736328125,adamw__normuon,0.542932391166687
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wo.weight,768,768,589824,8,26.85479736328125,muon__normuon,0.9997404217720032
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wqkv.weight,2304,768,1769472,8,81.93490600585938,adamw__muon,0.5469678640365601
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wqkv.weight,2304,768,1769472,8,81.93490600585938,adamw__normuon,0.5505214929580688
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wqkv.weight,2304,768,1769472,8,81.93490600585938,muon__normuon,0.9837291240692139
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wi.weight,2304,768,1769472,8,153.41387939453125,adamw__muon,0.577923059463501
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wi.weight,2304,768,1769472,8,153.41387939453125,adamw__normuon,0.5824524760246277
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wi.weight,2304,768,1769472,8,153.41387939453125,muon__normuon,0.9835906028747559
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wo.weight,768,1152,884736,8,106.43067169189453,adamw__muon,0.5826323628425598
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wo.weight,768,1152,884736,8,106.43067169189453,adamw__normuon,0.5823912620544434
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wo.weight,768,1152,884736,8,106.43067169189453,muon__normuon,0.9999297261238098
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.attn.Wo.weight,768,768,589824,8,46.44919967651367,adamw__muon,0.5682992339134216
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.attn.Wo.weight,768,768,589824,8,46.44919967651367,adamw__normuon,0.5680009722709656
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.attn.Wo.weight,768,768,589824,8,46.44919967651367,muon__normuon,0.9998428225517273
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.attn.Wqkv.weight,2304,768,1769472,8,159.6897430419922,adamw__muon,0.5512692928314209
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.attn.Wqkv.weight,2304,768,1769472,8,159.6897430419922,adamw__normuon,0.5622118711471558
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.attn.Wqkv.weight,2304,768,1769472,8,159.6897430419922,muon__normuon,0.9687455892562866
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.mlp.Wi.weight,2304,768,1769472,8,157.8882598876953,adamw__muon,0.6011695265769958
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.mlp.Wi.weight,2304,768,1769472,8,157.8882598876953,adamw__normuon,0.6032681465148926
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.mlp.Wi.weight,2304,768,1769472,8,157.8882598876953,muon__normuon,0.9908226728439331
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.mlp.Wo.weight,768,1152,884736,8,109.57128143310547,adamw__muon,0.5904309153556824
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.mlp.Wo.weight,768,1152,884736,8,109.57128143310547,adamw__normuon,0.590403139591217
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.mlp.Wo.weight,768,1152,884736,8,109.57128143310547,muon__normuon,0.9999722242355347
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.attn.Wo.weight,768,768,589824,8,75.740478515625,adamw__muon,0.49931615591049194
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.attn.Wo.weight,768,768,589824,8,75.740478515625,adamw__normuon,0.49923184514045715
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.attn.Wo.weight,768,768,589824,8,75.740478515625,muon__normuon,0.9998711347579956
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.attn.Wqkv.weight,2304,768,1769472,8,151.82958984375,adamw__muon,0.5297918319702148
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.attn.Wqkv.weight,2304,768,1769472,8,151.82958984375,adamw__normuon,0.539337694644928
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.attn.Wqkv.weight,2304,768,1769472,8,151.82958984375,muon__normuon,0.9769372344017029
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.mlp.Wi.weight,2304,768,1769472,8,156.18203735351562,adamw__muon,0.5521312952041626
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.mlp.Wi.weight,2304,768,1769472,8,156.18203735351562,adamw__normuon,0.5580846667289734
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.mlp.Wi.weight,2304,768,1769472,8,156.18203735351562,muon__normuon,0.9758408069610596
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.mlp.Wo.weight,768,1152,884736,8,113.56028747558594,adamw__muon,0.5601077675819397
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.mlp.Wo.weight,768,1152,884736,8,113.56028747558594,adamw__normuon,0.560080349445343
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.mlp.Wo.weight,768,1152,884736,8,113.56028747558594,muon__normuon,0.9999722242355347
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.attn.Wo.weight,768,768,589824,8,77.32276153564453,adamw__muon,0.48285841941833496
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.attn.Wo.weight,768,768,589824,8,77.32276153564453,adamw__normuon,0.4827915132045746
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.attn.Wo.weight,768,768,589824,8,77.32276153564453,muon__normuon,0.9998646378517151
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.attn.Wqkv.weight,2304,768,1769472,8,150.5609893798828,adamw__muon,0.5190845131874084
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.attn.Wqkv.weight,2304,768,1769472,8,150.5609893798828,adamw__normuon,0.5263479948043823
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.attn.Wqkv.weight,2304,768,1769472,8,150.5609893798828,muon__normuon,0.9745262861251831
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.mlp.Wi.weight,2304,768,1769472,8,156.92398071289062,adamw__muon,0.5480464100837708
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.mlp.Wi.weight,2304,768,1769472,8,156.92398071289062,adamw__normuon,0.5539361238479614
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.mlp.Wi.weight,2304,768,1769472,8,156.92398071289062,muon__normuon,0.97831791639328
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.mlp.Wo.weight,768,1152,884736,8,113.6335220336914,adamw__muon,0.6009847521781921
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.mlp.Wo.weight,768,1152,884736,8,113.6335220336914,adamw__normuon,0.600904643535614
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.11.mlp.Wo.weight,768,1152,884736,8,113.6335220336914,muon__normuon,0.9996161460876465
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.attn.Wo.weight,768,768,589824,8,78.00131225585938,adamw__muon,0.46984022855758667
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.attn.Wo.weight,768,768,589824,8,78.00131225585938,adamw__normuon,0.46980011463165283
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.attn.Wo.weight,768,768,589824,8,78.00131225585938,muon__normuon,0.9998072385787964
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.attn.Wqkv.weight,2304,768,1769472,8,144.2579345703125,adamw__muon,0.5167909264564514
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.attn.Wqkv.weight,2304,768,1769472,8,144.2579345703125,adamw__normuon,0.5259783864021301
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.attn.Wqkv.weight,2304,768,1769472,8,144.2579345703125,muon__normuon,0.9748231768608093
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.mlp.Wi.weight,2304,768,1769472,8,153.72901916503906,adamw__muon,0.5515730977058411
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.mlp.Wi.weight,2304,768,1769472,8,153.72901916503906,adamw__normuon,0.5566456317901611
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.mlp.Wi.weight,2304,768,1769472,8,153.72901916503906,muon__normuon,0.9774057865142822
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.mlp.Wo.weight,768,1152,884736,8,111.08523559570312,adamw__muon,0.551128089427948
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.mlp.Wo.weight,768,1152,884736,8,111.08523559570312,adamw__normuon,0.5510919094085693
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.12.mlp.Wo.weight,768,1152,884736,8,111.08523559570312,muon__normuon,0.9999723434448242
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.13.attn.Wo.weight,768,768,589824,8,81.4101333618164,adamw__muon,0.4831031858921051
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.13.attn.Wo.weight,768,768,589824,8,81.4101333618164,adamw__normuon,0.4830356240272522
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.13.attn.Wo.weight,768,768,589824,8,81.4101333618164,muon__normuon,0.9998736381530762
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.13.attn.Wqkv.weight,2304,768,1769472,8,146.4230499267578,adamw__muon,0.5310173630714417
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.13.attn.Wqkv.weight,2304,768,1769472,8,146.4230499267578,adamw__normuon,0.5386770367622375
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.13.attn.Wqkv.weight,2304,768,1769472,8,146.4230499267578,muon__normuon,0.9766367673873901
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.13.mlp.Wi.weight,2304,768,1769472,8,151.9326629638672,adamw__muon,0.5600315928459167
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.13.mlp.Wi.weight,2304,768,1769472,8,151.9326629638672,adamw__normuon,0.5649664998054504
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.13.mlp.Wi.weight,2304,768,1769472,8,151.9326629638672,muon__normuon,0.9792049527168274
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.13.mlp.Wo.weight,768,1152,884736,8,111.33855438232422,adamw__muon,0.5500275492668152
