family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,direction_frobenius_norm_to_gradient_ratio,row_norm_cv_to_gradient_ratio,row_norm_gini_to_gradient_ratio,top_1pct_row_energy_to_gradient_ratio,approx_stable_rank_to_gradient_ratio,sketched_entropy_effective_rank_to_gradient_ratio,spectral_norm_to_gradient_ratio,cosine_with_final_gradient_parameter_weighted
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,adamw,4289.374993119375,0.09477861171752618,0.1127574756565749,0.10546986038308293,5.395567296657146,1.34445294162771,1727.0406602808987,0.3465675969015468
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,muon,372.73987116226846,0.2703927306691072,0.32333201566360736,0.15358499299006922,128.41215328906696,1.4418333043103215,29.853996167587745,0.24449191051211586
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,normuon,372.7267384247107,0.06185993661976082,0.0716648061780296,0.09826165670838506,101.21012757320871,1.4402132352642851,34.75598328608897,0.23160435187625375
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,adamw,4483.862318714177,0.10694278015690332,0.12411231582804606,0.11910428898593174,4.869746605406037,1.3005375747623844,1941.403366781178,0.39276699235732543
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,muon,376.6368623143717,0.3035434369463455,0.35187175428913897,0.18137632610297938,131.08855551712216,1.419369450808436,30.762759102776617,0.26082223430674345
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,normuon,376.62449114347953,0.07582329811291867,0.08432824782857139,0.11698702539237757,100.64624703944132,1.4173878035389234,36.536538201847186,0.2471156458763834
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,adamw,4402.415911784714,0.10719129354991741,0.12491930365102558,0.11660137786946483,4.656864121302207,1.3113797664852564,1944.9886540411674,0.3978775730107557
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,muon,371.52239055313606,0.3061613977849941,0.35618736144234614,0.1787753948871107,132.76741708377932,1.4341838514207959,30.280952297314624,0.25509242038118013
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,normuon,371.5106007066611,0.07117612090522175,0.0797198013940225,0.11186164390967915,101.55773722184114,1.432010052592048,36.09209462233965,0.24078662743303866
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,adamw,4386.795401911851,0.10825871314576181,0.12636086886566095,0.11602852520323119,4.556725652469102,1.310899453610647,1962.5682298498953,0.40361547577668
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,muon,371.4270315291655,0.30575654165903965,0.356225919811774,0.17760042642259413,134.34130709366644,1.4380364801307572,30.17027231302911,0.25535734151216116
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,normuon,371.4153472440447,0.07041831888443997,0.07899187778706554,0.11066526148288218,102.92880630101929,1.4358915705773676,35.91384883496204,0.24084729709249128
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,adamw,4305.482237514886,0.1082471929982845,0.13190296766151308,0.09582514820342683,4.398185535533285,1.3638617025396236,2031.1104172622267,0.39579389606886367
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,muon,358.41584734559757,0.29314491026736267,0.3543708270197878,0.15244079828812873,129.88073361816603,1.513832650062657,30.68551926627537,0.23977513173047235
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,normuon,358.4058972495863,0.07709280957017806,0.0910104037023262,0.09345451370363785,97.86304187221737,1.5109685006723126,37.068465086841954,0.22220921620009418
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,adamw,4326.035167165271,0.10773871077411991,0.1266462413557637,0.10963530492050767,4.064801625643039,1.3216981069336784,2059.6110347715025,0.489543857421467
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,muon,354.9079176854558,0.3217344019781559,0.3756382398045889,0.17954811302803056,122.19865498223002,1.4598778936303722,30.125004385638015,0.27098849363983635
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,normuon,354.8980538349863,0.08103597148118138,0.09145675217915258,0.11089628545242258,92.83242490832959,1.457139831716558,36.21067268555514,0.25326478309969214
dense,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,dense/muon-lr1e-3/checkpoint-3907,adamw,4463.40500574958,0.10021992554065834,0.12145437926673962,0.09611045569178128,4.322310267783558,1.3049397841209338,2070.4920006209536,0.4258315742095524
dense,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,dense/muon-lr1e-3/checkpoint-3907,muon,358.9332229387726,0.3072561806717595,0.36967840384951944,0.1607697305534136,122.90171830920634,1.4394109303697464,30.656849605422693,0.275164211417902
dense,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,dense/muon-lr1e-3/checkpoint-3907,normuon,358.92289049490284,0.07952090303836139,0.09285138850546852,0.09985365151868479,92.74204613285296,1.4367449016416485,36.97165202871333,0.25581208550754714
dense,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,dense/normuon-lr1e-3/checkpoint-782,adamw,4279.952533322709,0.10495970762800924,0.1284212010518001,0.09375387580528738,4.684427037141415,1.4007418154695743,1970.6147686330692,0.3899356144316056
