model_family,treatment,baseline,seed,task,treatment_ndcg_at_10,baseline_ndcg_at_10,delta_ndcg_at_10
dense,muon,adamw,314159,ArguAna,0.51009,0.55355,-0.04345999999999994
dense,muon,adamw,314159,ClimateFEVER,0.42837,0.41352,0.014849999999999974
dense,muon,adamw,314159,DBPedia,0.23362,0.27762,-0.043999999999999984
dense,muon,adamw,314159,FEVER,0.92203,0.92067,0.0013600000000000279
dense,muon,adamw,314159,FiQA2018,0.48758,0.55687,-0.06928999999999996
dense,muon,adamw,314159,HotpotQA,0.61369,0.67273,-0.05904000000000009
dense,muon,adamw,314159,MSMARCO,0.55494,0.5692,-0.01426000000000005
dense,muon,adamw,314159,NFCorpus,0.23711,0.28956,-0.05245
dense,muon,adamw,314159,NQ,0.8634,0.93964,-0.07624000000000009
dense,muon,adamw,314159,QuoraRetrieval,0.88116,0.91221,-0.03104999999999991
dense,muon,adamw,314159,SCIDOCS,0.10402,0.15177,-0.04774999999999999
dense,muon,adamw,314159,SciFact,0.85054,0.86646,-0.015920000000000045
dense,muon,adamw,314159,TRECCOVID,0.7844,0.82248,-0.03808
dense,muon,adamw,314159,Touche2020,0.32434,0.33159,-0.007249999999999979
dense,muon,adamw,271828,ArguAna,0.51194,0.56053,-0.04859000000000002
dense,muon,adamw,271828,ClimateFEVER,0.41504,0.40778,0.007260000000000044
dense,muon,adamw,271828,DBPedia,0.22588,0.27661,-0.050730000000000025
dense,muon,adamw,271828,FEVER,0.92193,0.92102,0.0009100000000000774
dense,muon,adamw,271828,FiQA2018,0.53001,0.54247,-0.012460000000000027
dense,muon,adamw,271828,HotpotQA,0.62003,0.67599,-0.05596000000000001
dense,muon,adamw,271828,MSMARCO,0.5585,0.56962,-0.011120000000000019
dense,muon,adamw,271828,NFCorpus,0.23327,0.28723,-0.05395999999999998
dense,muon,adamw,271828,NQ,0.91843,0.93964,-0.021210000000000062
dense,muon,adamw,271828,QuoraRetrieval,0.88024,0.91304,-0.03279999999999994
dense,muon,adamw,271828,SCIDOCS,0.09705,0.14808,-0.05102999999999999
dense,muon,adamw,271828,SciFact,0.82556,0.86313,-0.03756999999999999
dense,muon,adamw,271828,TRECCOVID,0.77214,0.82194,-0.049799999999999955
dense,muon,adamw,271828,Touche2020,0.33914,0.33342,0.005720000000000003
dense,muon,adamw,161803,ArguAna,0.50541,0.56246,-0.057049999999999934
dense,muon,adamw,161803,ClimateFEVER,0.41421,0.40375,0.010460000000000025
dense,muon,adamw,161803,DBPedia,0.22447,0.27637,-0.0519
dense,muon,adamw,161803,FEVER,0.91666,0.92109,-0.004429999999999934
dense,muon,adamw,161803,FiQA2018,0.51536,0.53958,-0.02421999999999991
dense,muon,adamw,161803,HotpotQA,0.61462,0.67725,-0.06262999999999996
dense,muon,adamw,161803,MSMARCO,0.55399,0.56869,-0.014700000000000046
dense,muon,adamw,161803,NFCorpus,0.24158,0.28722,-0.045639999999999986
dense,muon,adamw,161803,NQ,0.93796,0.93964,-0.0016800000000000148
dense,muon,adamw,161803,QuoraRetrieval,0.88138,0.91227,-0.030889999999999973
dense,muon,adamw,161803,SCIDOCS,0.11807,0.14996,-0.031890000000000016
dense,muon,adamw,161803,SciFact,0.85683,0.87106,-0.014229999999999965
dense,muon,adamw,161803,TRECCOVID,0.75697,0.82252,-0.06555
dense,muon,adamw,161803,Touche2020,0.33442,0.3321,0.0023199999999999887
dense,normuon,adamw,314159,ArguAna,0.51293,0.55355,-0.04061999999999999
dense,normuon,adamw,314159,ClimateFEVER,0.43393,0.41352,0.020409999999999984
dense,normuon,adamw,314159,DBPedia,0.23455,0.27762,-0.04306999999999997
dense,normuon,adamw,314159,FEVER,0.92379,0.92067,0.0031200000000000117
dense,normuon,adamw,314159,FiQA2018,0.49695,0.55687,-0.05991999999999997
dense,normuon,adamw,314159,HotpotQA,0.61595,0.67273,-0.05678000000000005
dense,normuon,adamw,314159,MSMARCO,0.56107,0.5692,-0.008130000000000082
dense,normuon,adamw,314159,NFCorpus,0.24437,0.28956,-0.04518999999999998
dense,normuon,adamw,314159,NQ,0.88667,0.93964,-0.05297000000000007
dense,normuon,adamw,314159,QuoraRetrieval,0.88186,0.91221,-0.030349999999999988
dense,normuon,adamw,314159,SCIDOCS,0.11413,0.15177,-0.03763999999999999
dense,normuon,adamw,314159,SciFact,0.85394,0.86646,-0.012519999999999976
dense,normuon,adamw,314159,TRECCOVID,0.77427,0.82248,-0.048209999999999975
dense,normuon,adamw,314159,Touche2020,0.33836,0.33159,0.006769999999999998
dense,normuon,adamw,271828,ArguAna,0.49006,0.56053,-0.07046999999999998
dense,normuon,adamw,271828,ClimateFEVER,0.4054,0.40778,-0.0023799999999999932
dense,normuon,adamw,271828,DBPedia,0.2226,0.27661,-0.05401000000000003
dense,normuon,adamw,271828,FEVER,0.92228,0.92102,0.0012600000000000389
dense,normuon,adamw,271828,FiQA2018,0.50302,0.54247,-0.039449999999999985
dense,normuon,adamw,271828,HotpotQA,0.62435,0.67599,-0.05164000000000002
dense,normuon,adamw,271828,MSMARCO,0.55981,0.56962,-0.009809999999999985
dense,normuon,adamw,271828,NFCorpus,0.24638,0.28723,-0.04085
dense,normuon,adamw,271828,NQ,0.89477,0.93964,-0.044870000000000076
dense,normuon,adamw,271828,QuoraRetrieval,0.88817,0.91304,-0.024869999999999948
dense,normuon,adamw,271828,SCIDOCS,0.10047,0.14808,-0.047609999999999986
dense,normuon,adamw,271828,SciFact,0.80641,0.86313,-0.05671999999999999
dense,normuon,adamw,271828,TRECCOVID,0.8029,0.82194,-0.019040000000000057
dense,normuon,adamw,271828,Touche2020,0.30425,0.33342,-0.029169999999999974
dense,normuon,adamw,161803,ArguAna,0.52163,0.56246,-0.04082999999999992
dense,normuon,adamw,161803,ClimateFEVER,0.4131,0.40375,0.009350000000000025
dense,normuon,adamw,161803,DBPedia,0.22828,0.27637,-0.048089999999999994
dense,normuon,adamw,161803,FEVER,0.92214,0.92109,0.0010499999999999954
dense,normuon,adamw,161803,FiQA2018,0.48498,0.53958,-0.054599999999999926
dense,normuon,adamw,161803,HotpotQA,0.62568,0.67725,-0.051570000000000005
dense,normuon,adamw,161803,MSMARCO,0.56355,0.56869,-0.005140000000000033
dense,normuon,adamw,161803,NFCorpus,0.25688,0.28722,-0.030339999999999978
dense,normuon,adamw,161803,NQ,0.90682,0.93964,-0.03282000000000007
dense,normuon,adamw,161803,QuoraRetrieval,0.88073,0.91227,-0.03154000000000001
dense,normuon,adamw,161803,SCIDOCS,0.12168,0.14996,-0.028280000000000013
dense,normuon,adamw,161803,SciFact,0.86492,0.87106,-0.006139999999999923
dense,normuon,adamw,161803,TRECCOVID,0.76953,0.82252,-0.05298999999999998
dense,normuon,adamw,161803,Touche2020,0.3213,0.3321,-0.010800000000000032
dense,normuon,muon,314159,ArguAna,0.51293,0.51009,0.0028399999999999537
dense,normuon,muon,314159,ClimateFEVER,0.43393,0.42837,0.005560000000000009
dense,normuon,muon,314159,DBPedia,0.23455,0.23362,0.0009300000000000141
dense,normuon,muon,314159,FEVER,0.92379,0.92203,0.0017599999999999838
dense,normuon,muon,314159,FiQA2018,0.49695,0.48758,0.00936999999999999
dense,normuon,muon,314159,HotpotQA,0.61595,0.61369,0.0022600000000000398
dense,normuon,muon,314159,MSMARCO,0.56107,0.55494,0.006129999999999969
dense,normuon,muon,314159,NFCorpus,0.24437,0.23711,0.0072600000000000164
dense,normuon,muon,314159,NQ,0.88667,0.8634,0.023270000000000013
dense,normuon,muon,314159,QuoraRetrieval,0.88186,0.88116,0.0006999999999999229
dense,normuon,muon,314159,SCIDOCS,0.11413,0.10402,0.010109999999999994
dense,normuon,muon,314159,SciFact,0.85394,0.85054,0.0034000000000000696
dense,normuon,muon,314159,TRECCOVID,0.77427,0.7844,-0.010129999999999972
dense,normuon,muon,314159,Touche2020,0.33836,0.32434,0.014019999999999977
dense,normuon,muon,271828,ArguAna,0.49006,0.51194,-0.021879999999999955
dense,normuon,muon,271828,ClimateFEVER,0.4054,0.41504,-0.009640000000000037
dense,normuon,muon,271828,DBPedia,0.2226,0.22588,-0.003280000000000005
dense,normuon,muon,271828,FEVER,0.92228,0.92193,0.00034999999999996145
dense,normuon,muon,271828,FiQA2018,0.50302,0.53001,-0.02698999999999996
dense,normuon,muon,271828,HotpotQA,0.62435,0.62003,0.0043199999999999905
dense,normuon,muon,271828,MSMARCO,0.55981,0.5585,0.0013100000000000334
dense,normuon,muon,271828,NFCorpus,0.24638,0.23327,0.013109999999999983
dense,normuon,muon,271828,NQ,0.89477,0.91843,-0.023660000000000014
dense,normuon,muon,271828,QuoraRetrieval,0.88817,0.88024,0.007929999999999993
dense,normuon,muon,271828,SCIDOCS,0.10047,0.09705,0.0034200000000000064
dense,normuon,muon,271828,SciFact,0.80641,0.82556,-0.01915
dense,normuon,muon,271828,TRECCOVID,0.8029,0.77214,0.0307599999999999
dense,normuon,muon,271828,Touche2020,0.30425,0.33914,-0.03488999999999998
dense,normuon,muon,161803,ArguAna,0.52163,0.50541,0.016220000000000012
dense,normuon,muon,161803,ClimateFEVER,0.4131,0.41421,-0.0011099999999999999
dense,normuon,muon,161803,DBPedia,0.22828,0.22447,0.003810000000000008
dense,normuon,muon,161803,FEVER,0.92214,0.91666,0.005479999999999929
dense,normuon,muon,161803,FiQA2018,0.48498,0.51536,-0.030380000000000018
dense,normuon,muon,161803,HotpotQA,0.62568,0.61462,0.011059999999999959
dense,normuon,muon,161803,MSMARCO,0.56355,0.55399,0.009560000000000013
dense,normuon,muon,161803,NFCorpus,0.25688,0.24158,0.015300000000000008
dense,normuon,muon,161803,NQ,0.90682,0.93796,-0.031140000000000057
dense,normuon,muon,161803,QuoraRetrieval,0.88073,0.88138,-0.0006500000000000394
dense,normuon,muon,161803,SCIDOCS,0.12168,0.11807,0.003610000000000002
dense,normuon,muon,161803,SciFact,0.86492,0.85683,0.008090000000000042
dense,normuon,muon,161803,TRECCOVID,0.76953,0.75697,0.012560000000000016
dense,normuon,muon,161803,Touche2020,0.3213,0.33442,-0.01312000000000002
