seed,model_family,optimizer,learning_rate,aux_learning_rate,run_id,stage,fraction,checkpoint_step,task,ndcg_at_10,subsets,result_path
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,ArguAna,0.55355,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/ArguAnaDecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,ClimateFEVER,0.41352,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/ClimateFEVERDecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,DBPedia,0.27762,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/DBPediaDecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,FEVER,0.92067,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/FEVERDecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,FiQA2018,0.55687,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/FiQA2018Decontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,HotpotQA,0.67273,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/HotpotQADecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,MSMARCO,0.5692,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/MSMARCODecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,NFCorpus,0.28956,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/NFCorpusDecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,NQ,0.93964,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/NQDecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,QuoraRetrieval,0.91221,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,SCIDOCS,0.15177,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/SCIDOCSDecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,SciFact,0.86646,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/SciFactDecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,TRECCOVID,0.82248,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/TRECCOVIDDecontaminated.json
314159,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,Touche2020,0.33159,1,results/confirmatory-beir/seed314159/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/Touche2020Decontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,ArguAna,0.51009,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/ArguAnaDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,ClimateFEVER,0.42837,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/ClimateFEVERDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,DBPedia,0.23362,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/DBPediaDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,FEVER,0.92203,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/FEVERDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,FiQA2018,0.48758,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/FiQA2018Decontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,HotpotQA,0.61369,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/HotpotQADecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,MSMARCO,0.55494,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/MSMARCODecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,NFCorpus,0.23711,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/NFCorpusDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,NQ,0.8634,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/NQDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,QuoraRetrieval,0.88116,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,SCIDOCS,0.10402,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/SCIDOCSDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,SciFact,0.85054,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/SciFactDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,TRECCOVID,0.7844,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/TRECCOVIDDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,Touche2020,0.32434,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/Touche2020Decontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,ArguAna,0.51293,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/ArguAnaDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,ClimateFEVER,0.43393,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/ClimateFEVERDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,DBPedia,0.23455,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/DBPediaDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,FEVER,0.92379,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/FEVERDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,FiQA2018,0.49695,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/FiQA2018Decontaminated.json
