optimizer,baseline,stage,fraction,tasks,spearman_rho,permutation_pvalue_two_sided,permutations,permutation_seed
muon,adamw,1,0.2,14,0.07252747252747253,0.808480957595212,200000,20260902
muon,adamw,2,0.4,14,0.12527472527472527,0.6716216418917905,200000,20260903
muon,adamw,3,0.6,14,0.35824175824175825,0.20888895555522222,200000,20260904
muon,adamw,4,0.8,14,0.5428571428571428,0.04732476337618312,200000,20260905
muon,adamw,5,1.0,14,0.5868131868131868,0.030439847800760995,200000,20260906
normuon,adamw,1,0.2,14,-0.12527472527472527,0.6728966355168224,200000,20261002
normuon,adamw,2,0.4,14,0.16483516483516483,0.5724621376893115,200000,20261003
normuon,adamw,3,0.6,14,0.3802197802197802,0.18100909495452522,200000,20261004
normuon,adamw,4,0.8,14,0.389010989010989,0.1702041489792551,200000,20261005
normuon,adamw,5,1.0,14,0.5736263736263736,0.034814825925870374,200000,20261006
