optimizer,baseline,stage,fraction,task,corpus_rows,log10_corpus_rows,corpus_half,training_source_task,treatment_ndcg_at_10,baseline_ndcg_at_10,delta
muon,adamw,1,0.2,ArguAna,8546,3.9317628884811775,small,False,0.58466,0.58446,0.00019999999999997797
muon,adamw,1,0.2,ClimateFEVER,5117453,6.709053862681024,large,False,0.37808,0.3708,0.007280000000000009
muon,adamw,1,0.2,DBPedia,1678309,6.2248719235012535,large,False,0.27192,0.26996,0.0019600000000000173
muon,adamw,1,0.2,FEVER,5117452,6.709053777815658,large,True,0.91466,0.91022,0.0044399999999999995
muon,adamw,1,0.2,FiQA2018,47617,4.677762030201842,small,True,0.51691,0.50736,0.009549999999999947
muon,adamw,1,0.2,HotpotQA,2314813,6.364515912698081,large,True,0.66824,0.67123,-0.002990000000000048
muon,adamw,1,0.2,MSMARCO,4036967,6.606055199304672,large,True,0.55609,0.55495,0.0011399999999999189
muon,adamw,1,0.2,NFCorpus,912,2.959994838328416,small,False,0.28747,0.28671,0.0007599999999999829
muon,adamw,1,0.2,NQ,305674,5.485258500104112,small,True,0.92545,0.92545,0.0
muon,adamw,1,0.2,QuoraRetrieval,413157,5.616115115281062,large,False,0.91482,0.91385,0.0009699999999999154
muon,adamw,1,0.2,SCIDOCS,5833,3.7658919764300154,small,False,0.14827,0.14891,-0.0006399999999999739
muon,adamw,1,0.2,SciFact,858,2.9334872878487053,small,False,0.89886,0.88021,0.018649999999999944
muon,adamw,1,0.2,TRECCOVID,99522,4.997919095042042,small,False,0.83275,0.83024,0.0025100000000000122
muon,adamw,1,0.2,Touche2020,378223,5.577747935057317,large,False,0.33697,0.33498,0.0019899999999999918
muon,adamw,2,0.4,ArguAna,8546,3.9317628884811775,small,False,0.56491,0.56495,-3.999999999992898e-05
muon,adamw,2,0.4,ClimateFEVER,5117453,6.709053862681024,large,False,0.41139,0.40626,0.005129999999999968
muon,adamw,2,0.4,DBPedia,1678309,6.2248719235012535,large,False,0.27592,0.27463,0.0012900000000000134
muon,adamw,2,0.4,FEVER,5117452,6.709053777815658,large,True,0.9171,0.91497,0.0021300000000000763
muon,adamw,2,0.4,FiQA2018,47617,4.677762030201842,small,True,0.54364,0.53532,0.008319999999999994
muon,adamw,2,0.4,HotpotQA,2314813,6.364515912698081,large,True,0.67418,0.67488,-0.0007000000000000339
muon,adamw,2,0.4,MSMARCO,4036967,6.606055199304672,large,True,0.56628,0.5635,0.0027800000000000047
muon,adamw,2,0.4,NFCorpus,912,2.959994838328416,small,False,0.28667,0.28919,-0.0025200000000000222
muon,adamw,2,0.4,NQ,305674,5.485258500104112,small,True,0.93964,0.92545,0.014190000000000036
muon,adamw,2,0.4,QuoraRetrieval,413157,5.616115115281062,large,False,0.91147,0.91135,0.00012000000000000899
muon,adamw,2,0.4,SCIDOCS,5833,3.7658919764300154,small,False,0.14364,0.14681,-0.003170000000000006
muon,adamw,2,0.4,SciFact,858,2.9334872878487053,small,False,0.87778,0.86402,0.013759999999999994
muon,adamw,2,0.4,TRECCOVID,99522,4.997919095042042,small,False,0.83256,0.83012,0.0024399999999999977
muon,adamw,2,0.4,Touche2020,378223,5.577747935057317,large,False,0.3439,0.3467,-0.0028000000000000247
muon,adamw,3,0.6,ArguAna,8546,3.9317628884811775,small,False,0.56615,0.56731,-0.0011599999999999389
muon,adamw,3,0.6,ClimateFEVER,5117453,6.709053862681024,large,False,0.40899,0.39934,0.009650000000000047
muon,adamw,3,0.6,DBPedia,1678309,6.2248719235012535,large,False,0.2769,0.27616,0.0007399999999999629
muon,adamw,3,0.6,FEVER,5117452,6.709053777815658,large,True,0.91894,0.91637,0.002569999999999961
muon,adamw,3,0.6,FiQA2018,47617,4.677762030201842,small,True,0.54704,0.54382,0.0032200000000000006
muon,adamw,3,0.6,HotpotQA,2314813,6.364515912698081,large,True,0.67368,0.67178,0.0018999999999999018
muon,adamw,3,0.6,MSMARCO,4036967,6.606055199304672,large,True,0.56946,0.56545,0.004009999999999958
muon,adamw,3,0.6,NFCorpus,912,2.959994838328416,small,False,0.28734,0.28775,-0.00041000000000002146
muon,adamw,3,0.6,NQ,305674,5.485258500104112,small,True,0.93964,0.92545,0.014190000000000036
muon,adamw,3,0.6,QuoraRetrieval,413157,5.616115115281062,large,False,0.9123,0.91176,0.0005399999999999849
muon,adamw,3,0.6,SCIDOCS,5833,3.7658919764300154,small,False,0.1474,0.14696,0.00043999999999999595
muon,adamw,3,0.6,SciFact,858,2.9334872878487053,small,False,0.8775,0.87243,0.005069999999999908
muon,adamw,3,0.6,TRECCOVID,99522,4.997919095042042,small,False,0.82689,0.82785,-0.0009599999999999609
muon,adamw,3,0.6,Touche2020,378223,5.577747935057317,large,False,0.32497,0.32104,0.003929999999999989
muon,adamw,4,0.8,ArguAna,8546,3.9317628884811775,small,False,0.55195,0.5529,-0.0009499999999998954
muon,adamw,4,0.8,ClimateFEVER,5117453,6.709053862681024,large,False,0.41516,0.41085,0.0043099999999999805
muon,adamw,4,0.8,DBPedia,1678309,6.2248719235012535,large,False,0.27964,0.27603,0.003610000000000002
muon,adamw,4,0.8,FEVER,5117452,6.709053777815658,large,True,0.92083,0.91864,0.0021900000000000253
