model_family,optimizer,learning_rate,run_id,stage,fraction,checkpoint_step,mean_ndcg_at_10,tasks_completed
dense,adamw,3e-05,adamw-lr3e-5,1,0.2,782,0.5849521428571429,14
dense,adamw,3e-05,adamw-lr3e-5,2,0.4,1563,0.5891535714285714,14
dense,adamw,3e-05,adamw-lr3e-5,3,0.6,2345,0.588105,14
dense,adamw,3e-05,adamw-lr3e-5,4,0.8,3126,0.5880442857142857,14
dense,adamw,3e-05,adamw-lr3e-5,5,1.0,3907,0.5898671428571428,14
dense,muon,0.0003,muon-lr3e-4,1,0.2,782,0.588225,14
dense,muon,0.0003,muon-lr3e-4,2,0.4,1563,0.5920771428571429,14
dense,muon,0.0003,muon-lr3e-4,3,0.6,2345,0.5912285714285714,14
dense,muon,0.0003,muon-lr3e-4,4,0.8,3126,0.5913478571428571,14
dense,muon,0.0003,muon-lr3e-4,5,1.0,3907,0.5923092857142858,14
dense,normuon,0.0003,normuon-lr3e-4,1,0.2,782,0.5880978571428571,14
dense,normuon,0.0003,normuon-lr3e-4,2,0.4,1563,0.5921957142857143,14
dense,normuon,0.0003,normuon-lr3e-4,3,0.6,2345,0.5925235714285715,14
dense,normuon,0.0003,normuon-lr3e-4,4,0.8,3126,0.5929385714285714,14
dense,normuon,0.0003,normuon-lr3e-4,5,1.0,3907,0.5934292857142858,14
