model_family,task,adamw,muon,normuon,muon_minus_adamw,normuon_minus_adamw
dense,ArguAna,0.56,0.56201,0.56166,0.0020099999999999563,0.0016599999999999948
dense,ClimateFEVER,0.40586,0.41037,0.41402,0.004510000000000014,0.00816
dense,DBPedia,0.27755,0.27901,0.28106,0.0014599999999999613,0.0035099999999999576
dense,FEVER,0.92053,0.92251,0.92348,0.001980000000000093,0.002950000000000008
dense,FiQA2018,0.5421,0.54474,0.54895,0.0026399999999999757,0.006850000000000023
dense,HotpotQA,0.67496,0.67866,0.67766,0.0037000000000000366,0.0027000000000000357
dense,MSMARCO,0.56796,0.57118,0.57072,0.0032200000000000006,0.0027599999999999847
dense,NFCorpus,0.28744,0.28401,0.28622,-0.0034299999999999886,-0.0012199999999999989
dense,NQ,0.92545,0.93964,0.93964,0.014190000000000036,0.014190000000000036
dense,QuoraRetrieval,0.9118,0.91306,0.91318,0.0012599999999999278,0.0013799999999999368
dense,SCIDOCS,0.14774,0.14696,0.14837,-0.0007800000000000029,0.0006299999999999917
dense,SciFact,0.8804,0.87919,0.87919,-0.0012099999999999334,-0.0012099999999999334
dense,TRECCOVID,0.83044,0.83006,0.82966,-0.00037999999999993594,-0.0007800000000000029
dense,Touche2020,0.32591,0.33093,0.3342,0.0050200000000000244,0.00829000000000002
