model_family,optimizer,learning_rate,aux_learning_rate,run_id,stage,fraction,checkpoint_step,task,ndcg_at_10,subsets,result_path
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,ArguAna,0.5882,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/ArguAnaDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,ClimateFEVER,0.3484,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/ClimateFEVERDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,DBPedia,0.26924,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/DBPediaDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,FEVER,0.8953,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/FEVERDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,FiQA2018,0.52664,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/FiQA2018Decontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,HotpotQA,0.67241,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/HotpotQADecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,MSMARCO,0.53764,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/MSMARCODecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,NFCorpus,0.28246,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/NFCorpusDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,NQ,0.93964,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/NQDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,QuoraRetrieval,0.91564,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/QuoraRetrievalDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,SCIDOCS,0.14378,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/SCIDOCSDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,SciFact,0.87868,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/SciFactDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,TRECCOVID,0.82061,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/TRECCOVIDDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,1,0.2,782,Touche2020,0.32757,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-782/results/adamw-lr1e-5__checkpoint-782/local/Touche2020Decontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,ArguAna,0.5772,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/ArguAnaDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,ClimateFEVER,0.37796,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/ClimateFEVERDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,DBPedia,0.27669,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/DBPediaDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,FEVER,0.90387,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/FEVERDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,FiQA2018,0.52254,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/FiQA2018Decontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,HotpotQA,0.6777,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/HotpotQADecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,MSMARCO,0.5542,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/MSMARCODecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,NFCorpus,0.28426,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/NFCorpusDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,NQ,0.92308,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/NQDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,QuoraRetrieval,0.91387,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/QuoraRetrievalDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,SCIDOCS,0.14606,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/SCIDOCSDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,SciFact,0.86828,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/SciFactDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,TRECCOVID,0.84038,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/TRECCOVIDDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,2,0.4,1563,Touche2020,0.34222,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-1563/results/adamw-lr1e-5__checkpoint-1563/local/Touche2020Decontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,3,0.6,2345,ArguAna,0.57482,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-2345/results/adamw-lr1e-5__checkpoint-2345/local/ArguAnaDecontaminated.json
dense,adamw,1e-05,3e-06,adamw-lr1e-5,3,0.6,2345,ClimateFEVER,0.38617,1,results/decontaminated-beir/dense/adamw-lr1e-5__checkpoint-2345/results/adamw-lr1e-5__checkpoint-2345/local/ClimateFEVERDecontaminated.json
