model_family,optimizer,learning_rate,run_id,wall_time_hours,recorded_segment_wall_time_hours,prior_training_wall_time_hours,timing_adjustment_path,accepted_timing_path,samples_per_second,steps_per_second,trainer_reported_samples_per_second,trainer_reported_steps_per_second,peak_allocated_gib,peak_reserved_gib,checkpoint_gib,optimizer_state_gib,gpu_name,world_size
dense,muon,0.0001,muon-lr1e-4,3.7287344046336752,3.7287344046336752,0.0,,outputs/dense/muon-lr1e-4/accepted_timing.json,37.24826544800094,0.2910579462106794,37.242,0.291,6.980319976806641,7.8359375,1.258136985823512,0.699416290037334,NVIDIA L20Z,4
dense,muon,0.0003,muon-lr3e-4,3.740502633500146,3.740502633500146,0.0,,outputs/dense/muon-lr3e-4/accepted_timing.json,37.1310763545499,0.29014223063445294,37.125,0.29,6.980319976806641,7.8359375,1.258137154392898,0.699416290037334,NVIDIA L20Z,4
dense,muon,0.001,muon-lr1e-3,3.689343033995117,3.689343033995117,0.0,,outputs/dense/muon-lr1e-3/accepted_timing.json,37.645967753366875,0.29416559202480874,37.64,0.294,6.980319976806641,7.8359375,1.2581370659172535,0.699416290037334,NVIDIA L20Z,4
dense,muon,0.003,muon-lr3e-3,3.695871802162405,3.695871802162405,0.0,,outputs/dense/muon-lr3e-3/accepted_timing.json,37.579466043066446,0.2936459476605212,37.573,0.294,6.980319976806641,7.8359375,1.2581368023529649,0.699416290037334,NVIDIA L20Z,4
dense,adamw,1e-06,adamw-lr1e-6,3.5278596005788687,2.113133166412202,1.4147264341666668,outputs/dense/adamw-lr1e-6/timing_adjustment.json,,39.36916561704987,0.3076306601316277,65.778,0.514,7.382821559906006,8.291015625,1.669065510854125,1.1103499634191394,NVIDIA L20Z,4
dense,adamw,3e-06,adamw-lr3e-6,3.506307469928223,3.506307469928223,0.0,,,39.61115506271675,0.30952156566006866,39.618,0.31,7.409916400909424,8.28125,1.6690707402303815,1.1103499634191394,NVIDIA L20Z,4
dense,adamw,1e-05,adamw-lr1e-5,3.517016653417118,3.517016653417118,0.0,,,39.49054058471547,0.3085790841289667,39.499,0.309,7.409916400909424,8.28125,1.6690706685185432,1.1103499634191394,NVIDIA L20Z,4
dense,adamw,3e-05,adamw-lr3e-5,3.5640556486355814,3.5640556486355814,0.0,,,38.96933790639868,0.3045064064005993,38.977,0.305,7.402655601501465,8.31640625,1.669070802628994,1.1103499634191394,NVIDIA L20Z,4
dense,normuon,0.0001,normuon-lr1e-4,3.768143760686249,3.768143760686249,0.0,,outputs/dense/normuon-lr1e-4/accepted_timing.json,36.85870224430998,0.2880138993370382,36.853,0.288,6.9729204177856445,7.85546875,1.2586640929803252,0.6999433739110827,NVIDIA L20Z,4
dense,normuon,0.0003,normuon-lr3e-4,3.7756473691315233,3.7756473691315233,0.0,,outputs/dense/normuon-lr3e-4/accepted_timing.json,36.78545036392956,0.2874415091437456,36.779,0.287,6.9729204177856445,7.85546875,1.2586642252281308,0.6999433739110827,NVIDIA L20Z,4
dense,normuon,0.001,normuon-lr1e-3,3.767888579168098,3.767888579168098,0.0,,outputs/dense/normuon-lr1e-3/accepted_timing.json,36.86119851228557,0.2880334051749994,36.855,0.288,6.9729204177856445,7.85546875,1.2586641404777765,0.6999433739110827,NVIDIA L20Z,4
dense,normuon,0.003,normuon-lr3e-3,3.5575548800679906,3.5575548800679906,0.0,,outputs/dense/normuon-lr3e-3/accepted_timing.json,39.040547109208475,0.305062835111355,39.034,0.305,6.9729204177856445,7.85546875,1.258663946762681,0.6999433739110827,NVIDIA L20Z,4
