suite,model_family,optimizer,learning_rate,aux_learning_rate,run_id,training_seed,stage,fraction,checkpoint_step,tasks_completed,mean_ndcg_at_10,median_ndcg_at_10,standard_deviation_ndcg_at_10,minimum_ndcg_at_10,maximum_ndcg_at_10,source_partition,formal_source_stage5,joined_summary_role,joined_summary_used_for_formal_inference,source_result_set_sha256
hybrid,dense,hybrid_adamw,1e-05,3e-06,hybrid-adamw-lr1e-5,42,1,0.2,782,14,0.5808342857142857,0.561795,0.2666014919772389,0.14392,0.93964,dynamics-stage1-4,False,descriptive-only,False,c9acbcb388c4ff388603a213c5cf8323d22fd19549997ed9c541db05e3c0a2c9
hybrid,dense,hybrid_adamw,1e-05,3e-06,hybrid-adamw-lr1e-5,42,2,0.4,1563,14,0.5849864285714286,0.563685,0.26185309779141275,0.14643,0.92041,dynamics-stage1-4,False,descriptive-only,False,8b5cf183b736eb2345b8eabe08b4f6a3ac8e63712b4deee24eb6d3a5738b126b
hybrid,dense,hybrid_adamw,1e-05,3e-06,hybrid-adamw-lr1e-5,42,3,0.6,2345,14,0.5866892857142857,0.565785,0.26017345866238345,0.149,0.92041,dynamics-stage1-4,False,descriptive-only,False,d2fe137a7cdefba069f47f243e8f288dcb4e843ae7a93765bb707fe9e6bf288a
hybrid,dense,hybrid_adamw,1e-05,3e-06,hybrid-adamw-lr1e-5,42,4,0.8,3126,14,0.5877278571428571,0.564005,0.2606836630088159,0.149,0.92545,dynamics-stage1-4,False,descriptive-only,False,89abb827062b2a3408804401a1282f533b2bcba1eb0011e418c778de87710be9
hybrid,dense,hybrid_adamw,1e-05,3e-06,hybrid-adamw-lr1e-5,42,5,1.0,3907,14,0.5884942857142857,0.56691,0.2611263946475589,0.1493,0.92545,formal-stage5,True,descriptive-only,False,f4b4e5a7f9bb77ef9adc2b144320bb8311ddec5dbe7bebacc0bd4e6f152fd8cb
hybrid,dense,hybrid_adamw,1e-06,3e-06,hybrid-adamw-lr1e-6,42,1,0.2,782,14,0.5430742857142857,0.537655,0.26338153183206314,0.14858,0.93315,dynamics-stage1-4,False,descriptive-only,False,be93c3bff1c473f91d17e61e2d1b29bec040faf40738be746a94b0c1284403b5
hybrid,dense,hybrid_adamw,1e-06,3e-06,hybrid-adamw-lr1e-6,42,2,0.4,1563,14,0.5562935714285714,0.5508249999999999,0.2632008674705403,0.1438,0.93315,dynamics-stage1-4,False,descriptive-only,False,abca66ce68e6545c119c201debd35e26eaa1dc92d18bb9887f946b7071da38f2
hybrid,dense,hybrid_adamw,1e-06,3e-06,hybrid-adamw-lr1e-6,42,3,0.6,2345,14,0.5613557142857143,0.5546949999999999,0.2648602072175942,0.14259,0.93315,dynamics-stage1-4,False,descriptive-only,False,6a3e289b77e7ca4185a5feb36b3d7b4b56fbb1457938f68e193ad4e0b2210052
hybrid,dense,hybrid_adamw,1e-06,3e-06,hybrid-adamw-lr1e-6,42,4,0.8,3126,14,0.56467,0.55059,0.26567252317736695,0.14142,0.93315,dynamics-stage1-4,False,descriptive-only,False,a71c9c9509cd3036b84420f8738e8340ec71656f1f1c830930d6f1b2c7f2371f
hybrid,dense,hybrid_adamw,1e-06,3e-06,hybrid-adamw-lr1e-6,42,5,1.0,3907,14,0.5651742857142857,0.54972,0.2653704578701331,0.1416,0.93315,formal-stage5,True,descriptive-only,False,197788de55128cc1c78f43e625268a8d9e5974b10f3b3456a120e70d994bdb56
