fraction,learning_rate,model_family,ndcg_at_10,optimizer,run_id,stage,step,task
0.2,1e-06,dense,0.57628,adamw,verified-v3-adamw-1e-6,1,782,ArguAna
0.2,1e-06,dense,0.22759,adamw,verified-v3-adamw-1e-6,1,782,ClimateFEVER
0.2,1e-06,dense,0.26539,adamw,verified-v3-adamw-1e-6,1,782,DBPedia
0.2,1e-06,dense,0.79764,adamw,verified-v3-adamw-1e-6,1,782,FEVER
0.2,1e-06,dense,0.50006,adamw,verified-v3-adamw-1e-6,1,782,FiQA2018
0.2,1e-06,dense,0.6392,adamw,verified-v3-adamw-1e-6,1,782,HotpotQA
0.2,1e-06,dense,0.46326,adamw,verified-v3-adamw-1e-6,1,782,MSMARCO
0.2,1e-06,dense,0.28589,adamw,verified-v3-adamw-1e-6,1,782,NFCorpus
0.2,1e-06,dense,0.93315,adamw,verified-v3-adamw-1e-6,1,782,NQ
0.2,1e-06,dense,0.90876,adamw,verified-v3-adamw-1e-6,1,782,QuoraRetrieval
0.2,1e-06,dense,0.14669,adamw,verified-v3-adamw-1e-6,1,782,SCIDOCS
0.2,1e-06,dense,0.87251,adamw,verified-v3-adamw-1e-6,1,782,SciFact
0.2,1e-06,dense,0.70042,adamw,verified-v3-adamw-1e-6,1,782,TRECCOVID
0.2,1e-06,dense,0.27913,adamw,verified-v3-adamw-1e-6,1,782,Touche2020
0.4,1e-06,dense,0.58263,adamw,verified-v3-adamw-1e-6,2,1563,ArguAna
0.4,1e-06,dense,0.26123,adamw,verified-v3-adamw-1e-6,2,1563,ClimateFEVER
0.4,1e-06,dense,0.26912,adamw,verified-v3-adamw-1e-6,2,1563,DBPedia
0.4,1e-06,dense,0.82967,adamw,verified-v3-adamw-1e-6,2,1563,FEVER
0.4,1e-06,dense,0.51925,adamw,verified-v3-adamw-1e-6,2,1563,FiQA2018
0.4,1e-06,dense,0.65651,adamw,verified-v3-adamw-1e-6,2,1563,HotpotQA
0.4,1e-06,dense,0.49002,adamw,verified-v3-adamw-1e-6,2,1563,MSMARCO
0.4,1e-06,dense,0.28714,adamw,verified-v3-adamw-1e-6,2,1563,NFCorpus
0.4,1e-06,dense,0.93315,adamw,verified-v3-adamw-1e-6,2,1563,NQ
0.4,1e-06,dense,0.91265,adamw,verified-v3-adamw-1e-6,2,1563,QuoraRetrieval
0.4,1e-06,dense,0.14586,adamw,verified-v3-adamw-1e-6,2,1563,SCIDOCS
0.4,1e-06,dense,0.87251,adamw,verified-v3-adamw-1e-6,2,1563,SciFact
0.4,1e-06,dense,0.72312,adamw,verified-v3-adamw-1e-6,2,1563,TRECCOVID
0.4,1e-06,dense,0.29344,adamw,verified-v3-adamw-1e-6,2,1563,Touche2020
0.6,1e-06,dense,0.5819,adamw,verified-v3-adamw-1e-6,3,2345,ArguAna
0.6,1e-06,dense,0.27805,adamw,verified-v3-adamw-1e-6,3,2345,ClimateFEVER
0.6,1e-06,dense,0.27007,adamw,verified-v3-adamw-1e-6,3,2345,DBPedia
0.6,1e-06,dense,0.84714,adamw,verified-v3-adamw-1e-6,3,2345,FEVER
0.6,1e-06,dense,0.52155,adamw,verified-v3-adamw-1e-6,3,2345,FiQA2018
0.6,1e-06,dense,0.66328,adamw,verified-v3-adamw-1e-6,3,2345,HotpotQA
0.6,1e-06,dense,0.50307,adamw,verified-v3-adamw-1e-6,3,2345,MSMARCO
0.6,1e-06,dense,0.28629,adamw,verified-v3-adamw-1e-6,3,2345,NFCorpus
0.6,1e-06,dense,0.93315,adamw,verified-v3-adamw-1e-6,3,2345,NQ
0.6,1e-06,dense,0.91369,adamw,verified-v3-adamw-1e-6,3,2345,QuoraRetrieval
0.6,1e-06,dense,0.14266,adamw,verified-v3-adamw-1e-6,3,2345,SCIDOCS
0.6,1e-06,dense,0.87251,adamw,verified-v3-adamw-1e-6,3,2345,SciFact
0.6,1e-06,dense,0.74621,adamw,verified-v3-adamw-1e-6,3,2345,TRECCOVID
0.6,1e-06,dense,0.29188,adamw,verified-v3-adamw-1e-6,3,2345,Touche2020
0.8,1e-06,dense,0.58271,adamw,verified-v3-adamw-1e-6,4,3126,ArguAna
0.8,1e-06,dense,0.28726,adamw,verified-v3-adamw-1e-6,4,3126,ClimateFEVER
0.8,1e-06,dense,0.26993,adamw,verified-v3-adamw-1e-6,4,3126,DBPedia
0.8,1e-06,dense,0.85691,adamw,verified-v3-adamw-1e-6,4,3126,FEVER
0.8,1e-06,dense,0.52324,adamw,verified-v3-adamw-1e-6,4,3126,FiQA2018
0.8,1e-06,dense,0.66679,adamw,verified-v3-adamw-1e-6,4,3126,HotpotQA
0.8,1e-06,dense,0.5106,adamw,verified-v3-adamw-1e-6,4,3126,MSMARCO
0.8,1e-06,dense,0.28779,adamw,verified-v3-adamw-1e-6,4,3126,NFCorpus
0.8,1e-06,dense,0.93315,adamw,verified-v3-adamw-1e-6,4,3126,NQ
0.8,1e-06,dense,0.91396,adamw,verified-v3-adamw-1e-6,4,3126,QuoraRetrieval
0.8,1e-06,dense,0.13694,adamw,verified-v3-adamw-1e-6,4,3126,SCIDOCS
0.8,1e-06,dense,0.87251,adamw,verified-v3-adamw-1e-6,4,3126,SciFact
0.8,1e-06,dense,0.75272,adamw,verified-v3-adamw-1e-6,4,3126,TRECCOVID
0.8,1e-06,dense,0.29268,adamw,verified-v3-adamw-1e-6,4,3126,Touche2020
