learning_rates,mean_ndcg_at_10_across_rates,median_ndcg_at_10_across_rates,optimizer,progress_fraction,stage
4,0.5687060714285714,0.5732407142857143,adamw,0.2,1
4,0.5764403571428571,0.5802764285714286,adamw,0.4,2
4,0.5799996428571429,0.5847689285714286,adamw,0.6,3
4,0.58102875,0.5859921428571429,adamw,0.8,4
4,0.5815657142857142,0.5860232142857142,adamw,1.0,5
4,0.5736917857142857,0.5820771428571428,muon,0.2,1
4,0.5765628571428572,0.5878039285714286,muon,0.4,2
4,0.57729125,0.5873235714285714,muon,0.6,3
4,0.5796619642857143,0.5894557142857142,muon,0.8,4
4,0.5831348214285714,0.5914646428571428,muon,1.0,5
4,0.5719380357142857,0.5826896428571429,normuon,0.2,1
4,0.5774848214285714,0.5890785714285713,normuon,0.4,2
4,0.5777010714285714,0.5873082142857142,normuon,0.6,3
4,0.5805280357142857,0.5897932142857143,normuon,0.8,4
4,0.5836383928571429,0.5912103571428571,normuon,1.0,5
