learning_rate,mean_ndcg_at_10,median_ndcg_at_10,optimizer,progress_fraction,run_id,stage,tasks
1e-06,0.5425692857142858,0.53817,adamw,0.2,verified-v3-adamw-1e-6,1,14
1e-06,0.55545,0.55094,adamw,0.4,verified-v3-adamw-1e-6,2,14
1e-06,0.5608178571428571,0.551725,adamw,0.6,verified-v3-adamw-1e-6,3,14
1e-06,0.5633707142857143,0.552975,adamw,0.8,verified-v3-adamw-1e-6,4,14
1e-06,0.5649535714285714,0.55307,adamw,1.0,verified-v3-adamw-1e-6,5,14
3e-06,0.5644085714285715,0.5531200000000001,adamw,0.2,verified-v3-adamw-3e-6,1,14
3e-06,0.5754778571428572,0.5562450000000001,adamw,0.4,verified-v3-adamw-3e-6,2,14
3e-06,0.5815735714285715,0.56092,adamw,0.6,verified-v3-adamw-3e-6,3,14
3e-06,0.5840192857142857,0.56396,adamw,0.8,verified-v3-adamw-3e-6,4,14
3e-06,0.5834164285714286,0.56448,adamw,1.0,verified-v3-adamw-3e-6,5,14
1e-05,0.5820728571428572,0.56368,adamw,0.2,verified-v3-adamw-1e-5,1,14
1e-05,0.585075,0.5653600000000001,adamw,0.4,verified-v3-adamw-1e-5,2,14
1e-05,0.5896428571428572,0.565945,adamw,0.6,verified-v3-adamw-1e-5,3,14
1e-05,0.587965,0.56416,adamw,0.8,verified-v3-adamw-1e-5,4,14
1e-05,0.58863,0.5657449999999999,adamw,1.0,verified-v3-adamw-1e-5,5,14
3e-05,0.5857735714285714,0.5663,adamw,0.2,verified-v3-adamw-3e-5,1,14
3e-05,0.5897585714285715,0.56016,adamw,0.4,verified-v3-adamw-3e-5,2,14
3e-05,0.5879642857142857,0.5638099999999999,adamw,0.6,verified-v3-adamw-3e-5,3,14
3e-05,0.58876,0.5562050000000001,adamw,0.8,verified-v3-adamw-3e-5,4,14
3e-05,0.5892628571428571,0.560745,adamw,1.0,verified-v3-adamw-3e-5,5,14
0.0001,0.5822957142857142,0.563305,muon,0.2,verified-v3-muon-1e-4,1,14
0.0001,0.5879385714285714,0.5694699999999999,muon,0.4,verified-v3-muon-1e-4,2,14
0.0001,0.58963,0.571325,muon,0.6,verified-v3-muon-1e-4,3,14
0.0001,0.5903421428571428,0.57016,muon,0.8,verified-v3-muon-1e-4,4,14
0.0001,0.5910157142857143,0.570725,muon,1.0,verified-v3-muon-1e-4,5,14
0.0003,0.5881207142857142,0.57064,muon,0.2,verified-v3-muon-3e-4,1,14
0.0003,0.5927621428571428,0.5664,muon,0.4,verified-v3-muon-3e-4,2,14
0.0003,0.5912535714285714,0.567375,muon,0.6,verified-v3-muon-3e-4,3,14
0.0003,0.591362142857143,0.5628,muon,0.8,verified-v3-muon-3e-4,4,14
0.0003,0.5924307142857143,0.5660400000000001,muon,1.0,verified-v3-muon-3e-4,5,14
0.001,0.5818585714285714,0.558565,muon,0.2,verified-v3-muon-1e-3,1,14
0.001,0.5876692857142858,0.5455,muon,0.4,verified-v3-muon-1e-3,2,14
0.001,0.5850171428571428,0.55489,muon,0.6,verified-v3-muon-1e-3,3,14
0.001,0.5885692857142857,0.56245,muon,0.8,verified-v3-muon-1e-3,4,14
0.001,0.5919135714285714,0.5652699999999999,muon,1.0,verified-v3-muon-1e-3,5,14
0.003,0.5424921428571429,0.5000249999999999,muon,0.2,verified-v3-muon-3e-3,1,14
0.003,0.5378814285714285,0.5008,muon,0.4,verified-v3-muon-3e-3,2,14
0.003,0.5432642857142858,0.5167250000000001,muon,0.6,verified-v3-muon-3e-3,3,14
0.003,0.5483742857142857,0.519485,muon,0.8,verified-v3-muon-3e-3,4,14
0.003,0.5571792857142858,0.5423100000000001,muon,1.0,verified-v3-muon-3e-3,5,14
0.0001,0.5801178571428572,0.56151,normuon,0.2,verified-v3-normuon-1e-4,1,14
0.0001,0.5869142857142856,0.568075,normuon,0.4,verified-v3-normuon-1e-4,2,14
0.0001,0.5895821428571428,0.57101,normuon,0.6,verified-v3-normuon-1e-4,3,14
0.0001,0.5898942857142858,0.570395,normuon,0.8,verified-v3-normuon-1e-4,4,14
0.0001,0.5909735714285714,0.571035,normuon,1.0,verified-v3-normuon-1e-4,5,14
0.0003,0.5875385714285715,0.5691999999999999,normuon,0.2,verified-v3-normuon-3e-4,1,14
0.0003,0.5912428571428572,0.56609,normuon,0.4,verified-v3-normuon-3e-4,2,14
0.0003,0.5915221428571428,0.566155,normuon,0.6,verified-v3-normuon-3e-4,3,14
0.0003,0.5907228571428572,0.56114,normuon,0.8,verified-v3-normuon-3e-4,4,14
0.0003,0.5936371428571429,0.5670999999999999,normuon,1.0,verified-v3-normuon-3e-4,5,14
0.001,0.5852614285714285,0.5560700000000001,normuon,0.2,verified-v3-normuon-1e-3,1,14
0.001,0.5920957142857143,0.55991,normuon,0.4,verified-v3-normuon-1e-3,2,14
0.001,0.5850342857142856,0.5574399999999999,normuon,0.6,verified-v3-normuon-1e-3,3,14
0.001,0.5896921428571428,0.5561149999999999,normuon,0.8,verified-v3-normuon-1e-3,4,14
0.001,0.5914471428571428,0.560155,normuon,1.0,verified-v3-normuon-1e-3,5,14
0.003,0.5348342857142857,0.513035,normuon,0.2,verified-v3-normuon-3e-3,1,14
0.003,0.5396864285714286,0.502825,normuon,0.4,verified-v3-normuon-3e-3,2,14
0.003,0.5446657142857143,0.50957,normuon,0.6,verified-v3-normuon-3e-3,3,14
0.003,0.5518028571428572,0.522275,normuon,0.8,verified-v3-normuon-3e-3,4,14
0.003,0.5584957142857143,0.5313650000000001,normuon,1.0,verified-v3-normuon-3e-3,5,14
