optimizer,learning_rate,run_id,stage,step,training_progress_percent,mean_ndcg_at_10,plotted_score_0_to_100,validation_selected
adamw,1e-06,verified-v3-adamw-1e-6,1,782,20,0.5425692857142858,54.256928571428574,False
adamw,1e-06,verified-v3-adamw-1e-6,2,1563,40,0.55545,55.545,False
adamw,1e-06,verified-v3-adamw-1e-6,3,2345,60,0.5608178571428571,56.081785714285715,False
adamw,1e-06,verified-v3-adamw-1e-6,4,3126,80,0.5633707142857143,56.33707142857143,False
adamw,1e-06,verified-v3-adamw-1e-6,5,3907,100,0.5649535714285714,56.49535714285714,False
adamw,3e-06,verified-v3-adamw-3e-6,1,782,20,0.5644085714285715,56.44085714285715,False
adamw,3e-06,verified-v3-adamw-3e-6,2,1563,40,0.5754778571428572,57.547785714285716,False
adamw,3e-06,verified-v3-adamw-3e-6,3,2345,60,0.5815735714285715,58.157357142857144,False
adamw,3e-06,verified-v3-adamw-3e-6,4,3126,80,0.5840192857142857,58.40192857142858,False
adamw,3e-06,verified-v3-adamw-3e-6,5,3907,100,0.5834164285714286,58.34164285714286,False
adamw,1e-05,verified-v3-adamw-1e-5,1,782,20,0.5820728571428572,58.20728571428572,False
adamw,1e-05,verified-v3-adamw-1e-5,2,1563,40,0.585075,58.5075,False
adamw,1e-05,verified-v3-adamw-1e-5,3,2345,60,0.5896428571428572,58.96428571428572,False
adamw,1e-05,verified-v3-adamw-1e-5,4,3126,80,0.587965,58.796499999999995,False
adamw,1e-05,verified-v3-adamw-1e-5,5,3907,100,0.58863,58.863,False
adamw,3e-05,verified-v3-adamw-3e-5,1,782,20,0.5857735714285714,58.577357142857146,True
adamw,3e-05,verified-v3-adamw-3e-5,2,1563,40,0.5897585714285715,58.975857142857144,True
adamw,3e-05,verified-v3-adamw-3e-5,3,2345,60,0.5879642857142857,58.79642857142857,True
adamw,3e-05,verified-v3-adamw-3e-5,4,3126,80,0.58876,58.876,True
adamw,3e-05,verified-v3-adamw-3e-5,5,3907,100,0.5892628571428571,58.92628571428571,True
muon,0.0001,verified-v3-muon-1e-4,1,782,20,0.5822957142857142,58.229571428571425,False
muon,0.0001,verified-v3-muon-1e-4,2,1563,40,0.5879385714285714,58.79385714285714,False
muon,0.0001,verified-v3-muon-1e-4,3,2345,60,0.58963,58.963,False
muon,0.0001,verified-v3-muon-1e-4,4,3126,80,0.5903421428571428,59.034214285714285,False
muon,0.0001,verified-v3-muon-1e-4,5,3907,100,0.5910157142857143,59.10157142857143,False
muon,0.0003,verified-v3-muon-3e-4,1,782,20,0.5881207142857142,58.81207142857142,True
muon,0.0003,verified-v3-muon-3e-4,2,1563,40,0.5927621428571428,59.27621428571428,True
muon,0.0003,verified-v3-muon-3e-4,3,2345,60,0.5912535714285714,59.12535714285714,True
muon,0.0003,verified-v3-muon-3e-4,4,3126,80,0.591362142857143,59.136214285714296,True
muon,0.0003,verified-v3-muon-3e-4,5,3907,100,0.5924307142857143,59.243071428571426,True
muon,0.001,verified-v3-muon-1e-3,1,782,20,0.5818585714285714,58.185857142857145,False
muon,0.001,verified-v3-muon-1e-3,2,1563,40,0.5876692857142858,58.76692857142858,False
muon,0.001,verified-v3-muon-1e-3,3,2345,60,0.5850171428571428,58.50171428571428,False
muon,0.001,verified-v3-muon-1e-3,4,3126,80,0.5885692857142857,58.85692857142857,False
muon,0.001,verified-v3-muon-1e-3,5,3907,100,0.5919135714285714,59.191357142857136,False
muon,0.003,verified-v3-muon-3e-3,1,782,20,0.5424921428571429,54.24921428571429,False
muon,0.003,verified-v3-muon-3e-3,2,1563,40,0.5378814285714285,53.78814285714285,False
muon,0.003,verified-v3-muon-3e-3,3,2345,60,0.5432642857142858,54.32642857142858,False
muon,0.003,verified-v3-muon-3e-3,4,3126,80,0.5483742857142857,54.83742857142857,False
muon,0.003,verified-v3-muon-3e-3,5,3907,100,0.5571792857142858,55.71792857142858,False
normuon,0.0001,verified-v3-normuon-1e-4,1,782,20,0.5801178571428572,58.01178571428572,False
normuon,0.0001,verified-v3-normuon-1e-4,2,1563,40,0.5869142857142856,58.69142857142856,False
normuon,0.0001,verified-v3-normuon-1e-4,3,2345,60,0.5895821428571428,58.958214285714284,False
normuon,0.0001,verified-v3-normuon-1e-4,4,3126,80,0.5898942857142858,58.98942857142858,False
normuon,0.0001,verified-v3-normuon-1e-4,5,3907,100,0.5909735714285714,59.09735714285714,False
normuon,0.0003,verified-v3-normuon-3e-4,1,782,20,0.5875385714285715,58.75385714285714,True
normuon,0.0003,verified-v3-normuon-3e-4,2,1563,40,0.5912428571428572,59.12428571428572,True
normuon,0.0003,verified-v3-normuon-3e-4,3,2345,60,0.5915221428571428,59.15221428571428,True
normuon,0.0003,verified-v3-normuon-3e-4,4,3126,80,0.5907228571428572,59.07228571428572,True
normuon,0.0003,verified-v3-normuon-3e-4,5,3907,100,0.5936371428571429,59.36371428571429,True
normuon,0.001,verified-v3-normuon-1e-3,1,782,20,0.5852614285714285,58.52614285714285,False
normuon,0.001,verified-v3-normuon-1e-3,2,1563,40,0.5920957142857143,59.20957142857143,False
normuon,0.001,verified-v3-normuon-1e-3,3,2345,60,0.5850342857142856,58.503428571428564,False
normuon,0.001,verified-v3-normuon-1e-3,4,3126,80,0.5896921428571428,58.96921428571428,False
normuon,0.001,verified-v3-normuon-1e-3,5,3907,100,0.5914471428571428,59.14471428571429,False
normuon,0.003,verified-v3-normuon-3e-3,1,782,20,0.5348342857142857,53.48342857142857,False
normuon,0.003,verified-v3-normuon-3e-3,2,1563,40,0.5396864285714286,53.968642857142854,False
normuon,0.003,verified-v3-normuon-3e-3,3,2345,60,0.5446657142857143,54.46657142857143,False
normuon,0.003,verified-v3-normuon-3e-3,4,3126,80,0.5518028571428572,55.180285714285716,False
normuon,0.003,verified-v3-normuon-3e-3,5,3907,100,0.5584957142857143,55.84957142857143,False
