learning_rate,observed_auc_20_to_100,observed_mean_20_to_100,optimizer,run_id
1e-06,0.44668,0.55835,adamw,verified-v3-adamw-1e-6
3e-06,0.4629966428571429,0.5787458035714286,adamw,verified-v3-adamw-3e-6
1e-05,0.46960685714285716,0.5870085714285714,adamw,verified-v3-adamw-1e-5
3e-05,0.4708002142857143,0.5885002678571428,adamw,verified-v3-adamw-3e-5
0.0001,0.4709132857142857,0.5886416071428571,muon,verified-v3-muon-1e-4
0.0003,0.4731307142857143,0.5914133928571428,muon,verified-v3-muon-3e-4
0.001,0.4696283571428571,0.5870354464285713,muon,verified-v3-muon-1e-3
0.003,0.4358711428571429,0.5448389285714286,muon,verified-v3-muon-3e-3
0.0001,0.47038728571428573,0.5879841071428571,normuon,verified-v3-normuon-1e-4
0.0003,0.4728151428571429,0.5910189285714286,normuon,verified-v3-normuon-3e-4
0.001,0.47103528571428566,0.5887941071428571,normuon,verified-v3-normuon-1e-3
0.003,0.436564,0.545705,normuon,verified-v3-normuon-3e-3
