adamw_ndcg_at_10,muon_minus_adamw,muon_ndcg_at_10,normuon_minus_adamw,normuon_minus_muon,normuon_ndcg_at_10,task
0.55338,0.007770000000000055,0.56115,0.009120000000000017,0.0013499999999999623,0.5625,ArguAna
0.40662,0.005390000000000006,0.41201,-0.00047999999999998044,-0.005869999999999986,0.40614,ClimateFEVER
0.27767,0.0010800000000000254,0.27875,0.00274000000000002,0.0016599999999999948,0.28041,DBPedia
0.92138,0.0008299999999999974,0.92221,1.0000000000065512e-05,-0.0008199999999999319,0.92139,FEVER
0.54253,-0.008639999999999981,0.53389,0.0049600000000000755,0.013600000000000056,0.54749,FiQA2018
0.67613,0.0014899999999999913,0.67762,0.002569999999999961,0.0010799999999999699,0.6787,HotpotQA
0.56811,0.0028200000000000447,0.57093,0.003589999999999982,0.0007699999999999374,0.5717,MSMARCO
0.28824,-0.00274000000000002,0.2855,-0.0016100000000000003,0.0011300000000000199,0.28663,NFCorpus
0.92545,0.02700999999999998,0.95246,0.014190000000000036,-0.012819999999999943,0.93964,NQ
0.9119,0.0008599999999999719,0.91276,0.0008199999999999319,-4.0000000000040004e-05,0.91272,QuoraRetrieval
0.14635,0.0019499999999999795,0.1483,0.002129999999999993,0.00018000000000001348,0.14848,SCIDOCS
0.87996,-0.0007699999999999374,0.87919,0.0043800000000000505,0.005149999999999988,0.88434,SciFact
0.82808,-0.0014399999999999968,0.82664,0.0047999999999999154,0.006239999999999912,0.83288,TRECCOVID
0.32388,0.008740000000000026,0.33262,0.014019999999999977,0.005279999999999951,0.3379,Touche2020
