task,adamw_ndcg_at_10,muon_ndcg_at_10,normuon_ndcg_at_10,muon_minus_adamw,normuon_minus_adamw,normuon_minus_muon
ArguAna,0.55338,0.56115,0.5625,0.007770000000000055,0.009120000000000017,0.0013499999999999623
ClimateFEVER,0.40662,0.41201,0.40614,0.005390000000000006,-0.00047999999999998044,-0.005869999999999986
DBPedia,0.27767,0.27875,0.28041,0.0010800000000000254,0.00274000000000002,0.0016599999999999948
FEVER,0.92138,0.92221,0.92139,0.0008299999999999974,1.0000000000065512e-05,-0.0008199999999999319
FiQA2018,0.54253,0.53389,0.54749,-0.008639999999999981,0.0049600000000000755,0.013600000000000056
HotpotQA,0.67613,0.67762,0.6787,0.0014899999999999913,0.002569999999999961,0.0010799999999999699
MSMARCO,0.56811,0.57093,0.5717,0.0028200000000000447,0.003589999999999982,0.0007699999999999374
NFCorpus,0.28824,0.2855,0.28663,-0.00274000000000002,-0.0016100000000000003,0.0011300000000000199
NQ,0.92545,0.95246,0.93964,0.02700999999999998,0.014190000000000036,-0.012819999999999943
QuoraRetrieval,0.9119,0.91276,0.91272,0.0008599999999999719,0.0008199999999999319,-4.0000000000040004e-05
SCIDOCS,0.14635,0.1483,0.14848,0.0019499999999999795,0.002129999999999993,0.00018000000000001348
SciFact,0.87996,0.87919,0.88434,-0.0007699999999999374,0.0043800000000000505,0.005149999999999988
TRECCOVID,0.82808,0.82664,0.83288,-0.0014399999999999968,0.0047999999999999154,0.006239999999999912
Touche2020,0.32388,0.33262,0.3379,0.008740000000000026,0.014019999999999977,0.005279999999999951
