baseline,conditioned_on_displacement,feature,fold,status,baseline_mse_exact,feature_mse_exact,baseline_rmse,feature_rmse,improves,training_residual_energy_exact,train_rows,test_rows
B0_original,False,margin_helpful_mass_share,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,158895424920429866942755264185161303122044297339809154963020612935634473864885187673368715529570820015630167846120530815787947574754519435306231147/150137955492822367689864434056167748523455019593522833115077835310961158441874701519483250738821046744553705272319099959076762460976507235276632883200,0.03227045896603462,0.03253197632637132,False,2405797880449188688420317417197887211022633867418547790029/2261333745000336950450002916798507833515217537898355810631680,45,15
B0_original,False,margin_helpful_mass_share,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,28146659766234399609124230397281237651078747286077003026915118741984726220183634936575570750879552384935835916232234528981965068190729130026846153/222474727772731867526495391029797307328992450494541387716516771324211359723491916428194190578227338481205098478308081015950985811467156441762313011200,0.012096372185435933,0.011247942555971288,True,335928951958042391274770590982363826422161630611335165659/428039571229281252675988308568704886091144492337858525265920,45,15
B0_original,False,margin_helpful_mass_share,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,73660386108804115829031370106391573256312557217907426214707038881688167389652077717963093273109661312239463516120844218323408010677415258397714251/177263362985742980529163891678191635576903992472189610561792844148070756208283939255432092932507196057069108719404937002757247789011504768066414182400,0.017876202144836942,0.020384849213039347,False,1038740842791618260371809800714649681528691908520837232813/1027294970950275006422371940564891726618746781610860460638208,45,15
B0_original,False,margin_helpful_mass_share,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,165427983673830853459641613038202763068084541659239058499697404012130008451000062909749673138312057477892206210533811565895282841921749282167013007/88602534930151929482499882358971978767116277197092552973419118562437192857811763379305387370880087144405416308162083770471752682814553868624671539200,0.043233766395369064,0.04320971626446823,True,635991661106470336796239389983308406770464923794363917017/565333436250084237612500729199626958378804384474588952657920,45,15
B0_original,False,margin_helpful_attribution_participation_ratio,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,5526273690832185929781250939641096728694167924024329796653364706080236167656830112027765400287698250741043705297969894394135756416975758574846629831/5118060012121320340647361382850452142006541822216097786096896087123739487865599214543107343158073456371534003191044656533997719030316803102926612463616,0.03227045896603462,0.0328596934752973,False,27907466194439892990039382435007896376105680231484516930143/27136004940004043405400035001582094002182610454780269727580160,45,15
B0_original,False,margin_helpful_attribution_participation_ratio,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,4087706891314339924719917799646628221278556591736258605757009512801565253571540912474745233735303501906247661838451070793333939382810250960388089799/21267432774693315031818908212468137734911612362243684976015809095598018791967783637620428157214848511889240197969078068359822247449678663915667456000000,0.012096372185435933,0.013863801744746935,False,1137772022499671301860357230316032030759106646395049777185/1027294970950275006422371940564891726618746781610860460638208,45,15
B0_original,False,margin_helpful_attribution_participation_ratio,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,1537918361057432080813348608765854587616777854419781738190108560436107563102500692952876485048764193804357060057794590768134549504515676817598361/8712309412950980101136068903177128847102214141938892764350056347318942145375147734849040658132627366941090103733946762273549591291954990615101440000,0.017876202144836942,0.013286175829507684,True,2256786301909007304156721118981341094057081785226112569741/4109179883801100025689487762259566906474987126443441842552832,45,15
B0_original,False,margin_helpful_attribution_participation_ratio,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,179958438389614217427386211737536294266634883706473980858712601681651905563016360355577918569605554774308069064115444408972900373258446040751997201/59728015959645808911118253846314165332538633639509543434732201357452053005083779206357477971740969947505231935972143717026292252934597618232301977600,0.043233766395369064,0.054890484430392295,False,492312803809905954925093452877400766725032828452933225377/1130666872500168475225001458399253916757608768949177905315840,45,15
B0_original,False,margin_degrading_attribution_mass,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,538845444104216812525343329972683654947549037827787648973056692126264680620528265287026573717651680437361793751579090923008795008605128223040106245191/1307504134367038418188251911021189031218465307336905617696512569878563506706316278704513791195034320795172968266411020392904367192243772853940780426854400,0.03227045896603462,0.020300679382030055,True,5575698333927142863679629348250100728847710248249525180587/13568002470002021702700017500791047001091305227390134863790080,45,15
B0_original,False,margin_degrading_attribution_mass,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,522096634497345795900200105976144411366126904787752675282664309147101375858010871081586393010762329920957389030582708769713404586009949081333651799/5810132909376927350120552327409903065569909876684714192677630770628784137117328033205237839339114345526106559817557459057302232081346907934897056251904,0.012096372185435933,0.009479434132951374,True,29734507800805254070003145276340830694857020996454261841509/65746878140817600411031804196153070503599794023095069480845312,45,15
B0_original,False,margin_degrading_attribution_mass,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,3384367327178575667181421297528042867321419101991247766448621482565198174081277233917467573964394764069836271416618184694918505591275942435652740611/61995267375825292000986323012525477090363969001087103272947188574421930861634050132598908415608160952527863037084303732534959059604341201663360709427200,0.017876202144836942,0.007388554449193809,True,16823161589464467969410112595500693496325871792699193391557/41091798838011000256894877622595669064749871264434418425528320,45,15
B0_original,False,margin_degrading_attribution_mass,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,217321728592178700082182004227034271888878608806879987674458762948916448694473433725368839234679965280290063042404974426932691001838122685576901200071/245542391322214739568507856285966456827803484030332477191345993768148156684268556708201198502638017099891415264380865973691897220715344503037523027558400,0.043233766395369064,0.02975009349019193,True,38659920497123852532392138263387203097460156544863608323523/434176079040064694486400560025313504034921767276484315641282560,45,15
B0_original,False,random_50pct_relative_shortlist_ndcg,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,73897119169729615263594988399325768568403836118310738907815745762189855403250343899654422018744028062191707615490163770474505780314634214154978529/75383981818739768067899191546160300552329781038452653862940519209109017803290278755925076347285598003098988207456406783265450823813330627818474700800,0.03227045896603462,0.03130936195502542,True,130363307513219683292102761858878348687286760524853044943/753777915000112316816667638932835944505072512632785270210560,45,15
B0_original,False,random_50pct_relative_shortlist_ndcg,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,136399403192033909167303325908381558389419605793063921783954280980796469753522471900235270151093159208104796274308196860245350836873553161274377/614734738954720008991718930478872464896152036107288834151528667087877132087810205408118283659448360036350472098417091562534008884100832230480281600,0.012096372185435933,0.014895749391048351,False,133317879965368212166587726744627452733938017298374733309/642059356843921879013982462853057329136716738506787787898880,45,15
B0_original,False,random_50pct_relative_shortlist_ndcg,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,1572739544281382946072603710783678265381181687238019832055409763231784608516376802487207863704615327816634498675840529068759909166475078844564433/4845677752686063338601239283528167290532551367288262972753147027461735211557397725522703756598408854704527136248784875985437664251904804457440870400,0.017876202144836942,0.018015699890800655,False,171741392815246278471531377802683039406894026424721106057/1027294970950275006422371940564891726618746781610860460638208,45,15
B0_original,False,random_50pct_relative_shortlist_ndcg,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,39160689544737762475664629044212766264289438800778256744920343572880448083701713651852522931905561093113427806571402715625213239902881264901300601/22115288636689626344854050938865055784931771474125158144324599185567830752978018565550904225253346567017017221118819890654987375960212085271429120000,0.043233766395369064,0.04208030308576315,True,10591400703417767324941712040645468105039111651059342959/56533343625008423761250072919962695837880438447458895265792,45,15
B0_original,True,margin_helpful_mass_share,1,resolved,69682787800618894825907287091494408204152917372226275759536956682311969669286901131158303202194910151775776780744424145832497126004563146566027772635123316473923/575358028046048808579659657857295307168179603633927044743088230358398200818664194041725389005917960835200452337537460491950442327683474106431224906658185167429959680,73735549330853735365531628004561699952402122818108753941124659125237408207065543370229975819949883504885496257387376677144528693171060503168429923529432964616395745312027022535491212525797387292579056309523969419761049085/578583239087380969704996884641663081695619653044482436541985683104265145447630724393038778906107347141706434935979532651012493696166123118890153968588434099372183956485396911997552653265234997467923703140933976132674312470528,0.01100509180899501,0.01128900163178733,False,42828220100797802499452790256798433565276605052066038986900384808095135906146216576707596078223/40258965864035366815864960787545193536251461441136678239116217142981852789407046057049579868651520,45,15
B0_original,True,margin_helpful_mass_share,2,resolved,69399758086815819947563430217775992373263434195305476788987416231143800428028920887933829302097269555134952785801292072793827530815101638399473226577835576144639/2101955077115671276936358045244096334565580409912613471008463797111843299973494369785210753356909343691822096635763606506030502669609851042901817595429466304067665920,184265112560057664385320697051567041861340579993767145205917714136348039491682917893759561205554402392170922361713475605421238958522206235902050142444457086372027356564586293641116563338591618338568766099049679805966533881/5559829675522779026740660108159695848235710278169557604539865189938133939684000514929987272039403262598511700152823165230282889244911958407819714878557646998590014739139505550036305923823594510834057315074544017039564115804160,0.0057460217195798085,0.005756928223494366,False,118747052577504957375622380482040760011852081368360956794910762683002574408558806377266441889373/153898801241694895588847496051342617143103634977131754661572211720524018702145816799075111513620480,45,15
B0_original,True,margin_helpful_mass_share,3,resolved,6036915602491626958235070865622284949568123640487928320266954260344201614988909353345157102446626942517006287956028617261922857521637712375003575021661396587753/174722236919382434292778949069456208236977297811123149710021363846377549655680317643728908512651429730151081726164199923587136003903933061047042771394447748848680960,80100683858848573955552591906937338975434081114844116566974637013411393129284134434801423586162460001686100090067604420166479483546495190077912509094008856692549104489669151538940075479549161144887267122848658050539559849/2021542581759021575474691997260914666890662074861538112452514629718650650792162909198603682281430877002224122390402733008957444681501466959276418738510245011562097671177320792288484769421140716364712223578690001267009718845440,0.005878052512254087,0.0062947235998425475,False,7955931452102614252480307356261657360984793329413062081102108315597219798307684222394201919141/8539171392306449725252418254497232782491230486424141458500822835784846744029225188335806568202240,45,15
B0_original,True,margin_helpful_mass_share,4,resolved,5989911663761218660682828850736310509828666472817018191085316334050369785865568419072051918316377080621683013729234073528331288348252003596823434051907902256921/27924246730468570189694086548126012626538624148025560252046491459979407074382899111496648222743548804095896034620428960890765614458164675933140728921966260015595520,1997086548506805444710588120638621038066769453828924266360132634001171004737808661164716334049087091574829389335211024746267448834076043762051913112399432154414506745287893203668222694850506502914911915404781010297051591/8808478609256666147370540056075413929446653309511603910961833270671484077723159222476664373732478805273244423239768478673950749918579794231407201131271127561997658624029843252636300938781924128048327915793424097335595499520,0.014646015031075292,0.015057330784058576,False,8351994940775863336119367678394075752874950079695434540835976677359820474729926727395459278519/7602168125626080342648098040833300781110880292078638760687670927720321500118890719683480880414720,45,15
B0_original,True,margin_helpful_attribution_participation_ratio,1,resolved,69682787800618894825907287091494408204152917372226275759536956682311969669286901131158303202194910151775776780744424145832497126004563146566027772635123316473923/575358028046048808579659657857295307168179603633927044743088230358398200818664194041725389005917960835200452337537460491950442327683474106431224906658185167429959680,75163949301001955729223892656885965778059809603050472579775598996232502265822390971144222577138031195140788131517498518271946638425813832332533352042684620757578184866101339258862900612060909807799687000623018186275251/401285196072108807066556653057261082221445796702114425895562761967361022341891011143492422541985499722628503900173959013806566765075506131415094348393321342116048115506689502883769340794853347446904268115302337605441421312,0.01100509180899501,0.013686053277454036,False,121563157653261560904833346992826325978976287003026120364234905676210590416617919244979346237809/161035863456141467263459843150180774145005845764546712956464868571927411157628184228198319474606080,45,15
B0_original,True,margin_helpful_attribution_participation_ratio,2,resolved,69399758086815819947563430217775992373263434195305476788987416231143800428028920887933829302097269555134952785801292072793827530815101638399473226577835576144639/2101955077115671276936358045244096334565580409912613471008463797111843299973494369785210753356909343691822096635763606506030502669609851042901817595429466304067665920,2655388409806877711703869283380146336629648275168133978785058972557771559015666365127364165183641018851681602203817169447466152915196498439792959339985893354016468043182218004845896722153346948352866442856283365797096636259/78944618403351819430309526563768172062863860598117608085373140031653105443195072511849132978933820060987269433104378663870288287405092273372841755414538236587310678324256516766046665403261460670989164802509518005545057885618176,0.0057460217195798085,0.005799663052478425,False,1733001703496210906685463474847485625437283179866170413849242446687297088659970490828771163640179/1846785614900338747066169952616111405717243619725581055938866540646288224425749801588901338163445760,45,15
B0_original,True,margin_helpful_attribution_participation_ratio,3,resolved,6036915602491626958235070865622284949568123640487928320266954260344201614988909353345157102446626942517006287956028617261922857521637712375003575021661396587753/174722236919382434292778949069456208236977297811123149710021363846377549655680317643728908512651429730151081726164199923587136003903933061047042771394447748848680960,6172470687083107042774092535270207296656759318661211229673929526877962266203684465335332483050162835387430735819369717094721892834596812623027592605910072923036614223739941083114481101299642112766761902842345623757967762633/210257053288031741669871318525085453122569205585702469313737162992258781740771603915304830740070949136075598626160143425112086603185351035903471251918569198442626282441000343564662522232750277747965699148703002276653663518720000,0.005878052512254087,0.005418190011208518,True,21771638807429405006979889958112401962541049797550205971535182595949409027902682755088579860621/40988022683070958681211607621586717355957906334835879000803949611767264371340280904011871527370752,45,15
