baseline,conditioned_on_displacement,feature,fold,status,baseline_mse_exact,feature_mse_exact,baseline_rmse,feature_rmse,improves,training_residual_energy_exact,train_rows,test_rows
B0_original,False,log_saved_segment_to_weight_ratio,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,23929163081528507307434795104293786297432047342411046577970751023906099235281586980697206360065015202746872099790280766756729135978101362536804082907/57301966826961523843016850902176368556092083125354460551122185021803874087837847904157405661477289274226194868362130908682222719314236205908633845760000,0.03227045896603462,0.020435204600735283,True,233449255632191546932122221283284761569998428892079888823/441666747070378310634766194687208561233440925370772619264,45,15
B0_original,False,log_saved_segment_to_weight_ratio,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,70008161067169597826294056812438317279237759651184256773538810016611156767159014004942667328366223336652735328336757089669064474125860382381518868987/838492788656116656360657642268950531878189746673607413996282749321813096037797579218598713669282842054393916678407771132460849768656140113816025930137600,0.012096372185435933,0.009137442752930562,True,71440976473230856344355474383353741324906793723365208754309/64205935684392187901398246285305732913671673850678778789888,45,15
B0_original,False,log_saved_segment_to_weight_ratio,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,1720310962447365429129552211707686691812335207179836906913295561932409710876306092694185019124927017209995194114124776687284056934434652017774094907223/5130150365580752392798891635834734744997459251469995998779788740365318082652406523870518480073252692076670084377179068444021902761397074632551148657049600,0.017876202144836942,0.018312111799716806,False,44177666461476335980758579158935872469640584726355725703381/40128709802745117438373903928316083071044796156674236743680,45,15
B0_original,False,log_saved_segment_to_weight_ratio,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,957456610561080692536142868617332897265138771880162602536311884688993986717705726370164548822624376083978248593879413187564469709726193095133231215931/737175193299174650487742239914926783827591088216131819758166055293603536548112787920391617171737579123775710551951499818349271025677706066631070633164800,0.043233766395369064,0.03603912140690409,True,116022895478816832298201737373812546333481366509821478923633/141333359062521059403125182299906739594701096118647238164480,45,15
B0_original,False,saved_segment_stable_rank_fraction,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,3502958981442078315317636159986411168257562525302349809832786525632140003715175262586749189805757696541301521600882887626078462229140666934171979788192481303/3302754652808717810048362831347610364126676246834260261334078066998695649400763615449477450548165195556247225418143651261451613005660273875454435065142465003520,0.03227045896603462,0.032567121125833876,False,158522487680702053201443327858945273227557467204894163895430233/9262423019521380149043211947206688086078331035231665400347361280,45,15
B0_original,False,saved_segment_stable_rank_fraction,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,3389203079211286659266170693494440412531010153379468118342531684133206930008000703495597307835266005060982768254249961177716131899899545779631941197870226483/17471164541305938520750567946937909111101238226524970438216250713405158877363140999031237874225241766033061732356122748935777881104345981038278710327626851942400,0.012096372185435933,0.013927971492987256,False,978317670066261353349353048427661104338824229897679996499088989/16831200804049305705224141874215186048921547269912337787096399872,45,15
B0_original,False,saved_segment_stable_rank_fraction,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,62290416469758059147532857302961335142024092352568026110971351715397456265540431253528175364249126723498429232124970999971160245039964842126574243777132879/162401684189746486181299436228680178102872492032631511355971364615883001051259640178970838508422560968474421619874605840135818867054009161615756072614625280000,0.017876202144836942,0.019584629177898445,False,89647514517276396973279361194697780798174608580477798964867103/1402600067004108808768678489517932170743462272492694815591366656,45,15
B0_original,False,saved_segment_stable_rank_fraction,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,1441100076612031604457282709876097128929686472890199991199374423012914476355895224084038736408454719673070459323327875499901230472089732679813710649560272533989/718640952900299158603767131876530584270997996908382048975003678225024300234411029686735841202340000543169047630309000908380316488351139925395327121944121180160000,0.043233766395369064,0.04478072178665152,False,418295982039853378959346424694478137098607273259233042395427653/7409938415617104119234569557765350468862664828185332320277889024,45,15
B0_original,False,saved_segment_sketch_effective_rank_fraction,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,9116815544457145328873901762729795705708908001453644951732090057329616474882407399505691246148476329133440435995508422245092318883078304023238295077/19325597141155872735082932580697809299799571994069904191183993176677128262832512631634159053109080693224856998392682649743259314677390894431927166566400,0.03227045896603462,0.021719765048195026,True,3320854250978490676719353990954244669777169892652464930119/27136004940004043405400035001582094002182610454780269727580160,45,15
B0_original,False,saved_segment_sketch_effective_rank_fraction,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,1300502036915532670533917426018800875392629419036319098520837555242940975895218300003511529781731573786661683576985198434563732816570879475575143771/14618428664244555481584548569850391001677308320402201022506840674632095645350448649062803638230976313425679819769918593671356881580006269072469445836800,0.012096372185435933,0.009432029968499085,True,6670111051473158303395066210911272145495031950523453355627/27394532558674000171263251748397112709833247509622945617018880,45,15
