feature,held_out_dose_index,train_rows,test_rows,status,training_feature_mean,training_feature_scale,augmented_numeric_rank,exact_residual_energy,baseline_rmse,feature_rmse,rmse_reduction,feature_improves,baseline_mse_exact,feature_mse_exact,mse_reduction_exact
exact_nonzero_saved_segment_stable_rank_fraction,1,45,15,resolved,0.2176026613536584,0.13978938022630016,9,1492383114488189036755240904799300131966140774824810925148113/115780287744017251863040149340083601075979137940395817504342016,0.03227045896603462,0.03243884103871481,-0.00016838207268018838,False,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,65481490161085264701617231440922221517711910038619357705631099672555463039147904400136118993133171791131454995430716428429255476736956149344346755751093/62228294021148057026767810751438261843826516447359175443025279138868430014441502402862924776222006339156275043275086317001327529098487171547432201748480000,-4064580159336089013052713933856318273856734328720333802891219652377321034995306909672811141792911216740124521155553055820166717166271731978993746883841303666143393504423265868487260297071272376727579377/373038056589933982424933443715322627954799572879630863072945988682120501682811572215086857087635042754241786234198525595139137054556573431396246451902843762555108717450418712092846698439202464928072990720000
exact_nonzero_saved_segment_stable_rank_fraction,2,45,15,resolved,0.20215914372015004,0.13664926723655166,9,61470501432418853216195450464986072614578641945614526552157819/1314937562816352008220636083923061410071995880461901389616906240,0.012096372185435933,0.01383806183149444,-0.0017416896460585056,False,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,118874475328306176391712779935941385578909108977617169097794061325676712499812738569214088803040479534559117871115658533687412831390377394426571133835646273/620780518804072373849657689397531524110873846048836997388853670889091986858004985635272563405719217138355587133271702803710295964623207306901796743865276825600,-277524834906590755164815898040416026069880620075261418992025488646125544029363940388680819080143170522264258075641379084947743183018048186244203643111141622936051134236872179307605334061235430777920685562255/6144043874846771593740734871525422256696807889451958064930585559313360330058306220035417407614213889871141576516980312467939686613817347158217871058649764192371133198969984060052243980933728793756957091133652992
exact_nonzero_saved_segment_stable_rank_fraction,3,45,15,resolved,0.19608384001206117,0.1351388058665325,9,16734060230677044743839390244720686685790418819457391355327513/328734390704088002055159020980765352517998970115475347404226560,0.017876202144836942,0.019456326405042957,-0.0015801242602060126,False,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,2229147879951832725880014421805128491414873677983116409313326956220087227297526839643984213095343280106041545037372215276854154128046612612796611524366723269/5888669674154431355110277774300793365178733165725152468691428610021780078369721575759515336288383505893875320274321734379025104537526281539993476826364326707200,-171902452701180311014849585266141777450790551843859851951212224067496862472171601615928369380286023210559073778265580936024527948745690113654444450511958172413813498627835645841397910578633676643040718386920269/2914093125230907517449478839420194346397784187584479582299448318147929319327331895559216624004196564074534955721408377071752717999112561501258753619462775646822544518165422067281792872356319430559316159763788595200
exact_nonzero_saved_segment_stable_rank_fraction,4,45,15,resolved,0.19427616201776202,0.13564925484402057,9,13040406792207742834745573136498004638034854760581685791502489/289450719360043129657600373350209002689947844850989543760855040,0.043233766395369064,0.04475324237008003,-0.0015194759747109658,False,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,1790547455220690249028211410622339738172561805293300954602014242426366058366082749679360299667064627414827759549318990094755060523252223015207798309103046919/893998571569886897084433902895847714592997482701888720748672360660740504783613682794116659498122405834486470842812245127162966997031496064277562083215881011200,-20635117618115702043321045200156124446856953411990657433153186457548123376887952054550344216464466184266241794970344047886924128147678147843780460463625466264382858888100466459093862560140329742829294817181707/154345708095982631981611583263643908831084021839415579152825280390779095830118575199231791318527666259597468615491584771498583433479545472074458416164579035996988460717543871987736850349780981001731041396617379840
full_spectrum_nonzero_saved_segment_entropy_rank_fraction,1,45,15,resolved,0.855213725992151,0.09119245007207556,9,31723855664073512954314854289505489848819412858764525824337/1696000308750252712837502187598880875136413153423766857973760,0.03227045896603462,0.021058610115296077,0.011211848850738547,True,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,11731563324469992610743535097908341809049340087795505345084999408802717301015187304081360416613293178639112480368757361888778956099095025221498128239/26454312600830642086179707933944088492866499097529798386446959882204318719626131716951132163528739057477951761176809225614055584025968443389057678966784,68270873483727394990966400389635921283413760002883821660432022395916193507033052151440912490903959221866170624547827109039231503216935144508193097979648384203254584896748534025064059527244139103206868017/114181099959634859447406372783775652292785040951012798959303687980450040265576534687581960323726493208623405913247085683591046921996770550200884571002280681145365251036293216401348426964404957465144952094720
full_spectrum_nonzero_saved_segment_entropy_rank_fraction,2,45,15,resolved,0.8468495202147628,0.10506483518136318,9,45015480298536150892843050299149764376149212696614380801341/1027294970950275006422371940564891726618746781610860460638208,0.012096372185435933,0.009240879420837421,0.002855492764598513,True,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,710714146438018838382392090110567044977736677501468137875187578986912723278961074633181606206622268437528303089595013547854593054049168552624504786731/8322778816940043184736561119816227392045463930201210291186866299969164010089651210428443647064124370464963238483958424101982836573077746479422442045440000,580885294194388170989432018353664475082052278067532299158790819156962729990878251939894861876512392505306732269807697993510664986088542839127347710359856513516221975106271473865591747005948276357498197/9533905425079528955263504942149222180445000495232801255849070037255634350920471996226898141586583612039161733480623007535249206079582098079864640753609843390894508300708006548791044234329058834089246720000
full_spectrum_nonzero_saved_segment_entropy_rank_fraction,3,45,15,resolved,0.8409278620745687,0.11226916856781805,9,55342683789383344373443176261622378082640042762142515860549/1284118713687843758027964925706114658273433477013575575797760,0.017876202144836942,0.018803930555013348,-0.0009277284101764046,False,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,237225305060052095620619632995537206843514124523779623130081612521520178814135356763322363157083847824767172952742118547734762873885069442851582697479/670909183414202049892996581527923732499997527506409642586573504697773271391791493747103874206321161851449213021648987318974565120377283590172581874892800,-33894012005894954736752382372386225564357235444913982332380600642460265499108312088525246063755300340245645321833630835119385332246552138674665285116293182635355248858331524677192429505566403721862635697/996027259411020368501881822802575123985586881266659792890158711654493752517733070634212520224628007933946783865943080811883710775891522432142409732464162293663917990849869079489210239030819975145753831014400
full_spectrum_nonzero_saved_segment_entropy_rank_fraction,4,45,15,resolved,0.838203330820972,0.1146164444343861,9,222889239300497396734841759064687836369293496545647561867731/6784001235001010851350008750395523500545652613695067431895040,0.043233766395369064,0.03634606663627002,0.006887699759099045,True,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,10781957334028137688762076388559999200785485321490165683789087560212018688861551006311387501342824356657742047894622657580160879341152795182484285769183/8161740303852234134111995419164769835568991147874272186535969905243354719311977062229863925074054973111843858364165299594843400034497223892625172044185600,1930890938577953445816977018132016448765871263274644090058317112856110684265155108180060608401353894102455572321412471140351140813234632359749850940935245016272768599047824573658283791583453597349291120047/3522739371611837612309234635745754762773154434837724515818357312631585508663241539763795669546954744410177243304706300107159042815150208945828303796016090036488662199577779355447512803683151211865838505164800
exact_nonzero_cumulative_stable_rank_fraction,1,45,15,resolved,0.18733600204982773,0.12610828874299332,9,44665886970357754528535080980476262315818161593132709932770081/2315605754880345037260802986801672021519582758807916350086840320,0.03227045896603462,0.03325865955417921,-0.0009882005881445934,False,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,193359139283537325513141392071888197348988622021052713249105348622016415812022141392705763527389251244953106546879043974530786206141279534641226628747244743/174805551552834541487260771016100112805311784217554680511127259001798984844864415817098133728670674441853891973310029580548160106473837577076016515459129016320,-361908370453087158652357827418974513578258383660995279804851711451579202864182487165840157565238021012062867471182359902802572725811043326114174287392335264057265707068636273459482027558030113905989785315293/5588808050155005733719485174072444136103365959113260187405722509279642711943209110995269436185278372813259877461583714439578924479475528573569402968302357613399732715892437348173443626856323206717619246265794560
exact_nonzero_cumulative_stable_rank_fraction,2,45,15,resolved,0.16516397473737526,0.12825645196979085,9,92292561064243051958875805523555370338064798501984788328400209/1168833389170090673973898741264943475619551893743912346326138880,0.012096372185435933,0.013128326832093404,-0.0010319546466574698,False,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,52096731180684431081237956434825135349227671050442813279907458252952635784396829772310322387052710563498241302097827991193200266980888530540847435636458799221/302267681073400748048011339922910421131423114630095969684814901736186153742471076746058238970313088299631313897816691295185389939192526243111191161607628102041600,-3893718505485954029355820060127315863463454797550838214069501230159821304847595441887824031849102624928924718991396995230821038035455683739627882869770801401182350403631236140855235387716420763779112444255425013/149581521826823656025515897141583120499219718500186665624079142423281520215261097256572146643201107173428845850731316066091830227776792710534340138324010622688166652229848151911129568782330114809699401726936324505600
