family,feature,label,baseline_rmse_points,feature_rmse_points,improved_folds,defined_folds,predictive_support
original,log_saved_segment_to_weight_ratio,Log segment displacement / weight,2.905349334322608,2.310434027127747,3,4,True
original,saved_segment_stable_rank_fraction,Segment stable rank,2.905349334322608,3.0180608476733357,0,4,False
original,saved_segment_sketch_effective_rank_fraction,Segment entropy rank (top-64),2.905349334322608,2.384368960853309,3,4,True
original,saved_segment_row_norm_cv,Segment row-norm CV,2.905349334322608,2.376233599303886,3,4,True
original,saved_segment_top_1pct_row_energy,Segment top-1% row energy,2.905349334322608,2.4164719247865456,3,4,True
original,cumulative_displacement_to_weight_ratio,Cumulative displacement / weight,2.905349334322608,1.0039746871231265,4,4,True
original,cumulative_stable_rank_fraction,Cumulative stable rank,2.905349334322608,3.25670593656859,0,4,False
original,mean_saved_segment_subspace_overlap_to_adamw,Segment overlap with AdamW,2.905349334322608,3.1437049105794603,1,4,False
original,mean_cumulative_subspace_overlap_to_adamw,Cumulative overlap with AdamW,2.905349334322608,3.742949258721918,0,4,False
exact,exact_nonzero_saved_segment_stable_rank_fraction,Exact segment stable rank,2.905349334322608,3.0104699396447927,0,4,False
exact,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,Segment entropy rank (full spectrum),2.905349334322608,2.347063738325214,3,4,True
exact,exact_nonzero_cumulative_stable_rank_fraction,Exact cumulative stable rank,2.905349334322608,3.259429765340216,0,4,False
exact,exact_mean_saved_segment_overlap_to_adamw,Exact segment overlap with AdamW,2.905349334322608,3.0646634592567916,1,4,False
exact,exact_mean_cumulative_overlap_to_adamw,Exact cumulative overlap with AdamW,2.905349334322608,3.3114210342805617,2,4,False
