defined_parameter_fraction,defined_parameters,defined_tensors,displacement_kind,first_learning_rate,first_optimizer,first_run_id,left_subspace_overlap,mean_subspace_overlap,progress_fraction,right_subspace_overlap,second_learning_rate,second_optimizer,second_run_id,stage,step,undefined_zero_parameters
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.7962794009058233,0.8297980905854129,0.2,0.8633167802650024,3e-06,adamw,verified-v3-adamw-3e-6,1,782,0
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.4835095253379587,0.5728369534095341,0.2,0.6621643814811095,1e-05,adamw,verified-v3-adamw-1e-5,1,782,0
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.25840733678423783,0.3644154929023057,0.2,0.4704236490203735,3e-05,adamw,verified-v3-adamw-3e-5,1,782,0
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.32241332164422715,0.34543116227350135,0.2,0.36844900290277555,0.0001,muon,verified-v3-muon-1e-4,1,782,0
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.11750312235186444,0.13694530256331605,0.2,0.15638748277476763,0.0003,muon,verified-v3-muon-3e-4,1,782,0
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.031396765037773444,0.03709995452025756,0.2,0.04280314400274167,0.001,muon,verified-v3-muon-1e-3,1,782,0
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.017377715928848573,0.02053384392592,0.2,0.02368997192299143,0.003,muon,verified-v3-muon-3e-3,1,782,0
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.34684017284668706,0.35619916360486636,0.2,0.36555815436304573,0.0001,normuon,verified-v3-normuon-1e-4,1,782,0
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.12894523653754575,0.14327048762317965,0.2,0.15759573870881355,0.0003,normuon,verified-v3-normuon-3e-4,1,782,0
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.03533399931309535,0.03856811006080339,0.2,0.04180222080851143,0.001,normuon,verified-v3-normuon-1e-3,1,782,0
1.0,110297088,88,saved_segment,1e-06,adamw,verified-v3-adamw-1e-6,0.02078163790152991,0.02251233877663944,0.2,0.024243039651748968,0.003,normuon,verified-v3-normuon-3e-3,1,782,0
1.0,110297088,88,saved_segment,3e-06,adamw,verified-v3-adamw-3e-6,0.6933087301764259,0.7489399410345975,0.2,0.8045711518927692,1e-05,adamw,verified-v3-adamw-1e-5,1,782,0
1.0,110297088,88,saved_segment,3e-06,adamw,verified-v3-adamw-3e-6,0.36808169661039974,0.4631831052708116,0.2,0.5582845139312235,3e-05,adamw,verified-v3-adamw-3e-5,1,782,0
1.0,110297088,88,saved_segment,3e-06,adamw,verified-v3-adamw-3e-6,0.4145553262635348,0.424355266326889,0.2,0.4341552063902432,0.0001,muon,verified-v3-muon-1e-4,1,782,0
1.0,110297088,88,saved_segment,3e-06,adamw,verified-v3-adamw-3e-6,0.15910130737219902,0.17551245357104164,0.2,0.19192359976988424,0.0003,muon,verified-v3-muon-3e-4,1,782,0
1.0,110297088,88,saved_segment,3e-06,adamw,verified-v3-adamw-3e-6,0.03800932630737198,0.04325498244351643,0.2,0.04850063857966088,0.001,muon,verified-v3-muon-1e-3,1,782,0
1.0,110297088,88,saved_segment,3e-06,adamw,verified-v3-adamw-3e-6,0.018657038468907382,0.02183595952518125,0.2,0.025014880581455116,0.003,muon,verified-v3-muon-3e-3,1,782,0
1.0,110297088,88,saved_segment,3e-06,adamw,verified-v3-adamw-3e-6,0.4371168490718393,0.43093681811569207,0.2,0.4247567871595449,0.0001,normuon,verified-v3-normuon-1e-4,1,782,0
1.0,110297088,88,saved_segment,3e-06,adamw,verified-v3-adamw-3e-6,0.1740790364496848,0.18373831355555809,0.2,0.1933975906614314,0.0003,normuon,verified-v3-normuon-3e-4,1,782,0
1.0,110297088,88,saved_segment,3e-06,adamw,verified-v3-adamw-3e-6,0.04231092773059154,0.04475892768216563,0.2,0.04720692763373973,0.001,normuon,verified-v3-normuon-1e-3,1,782,0
1.0,110297088,88,saved_segment,3e-06,adamw,verified-v3-adamw-3e-6,0.022314699008104635,0.023757656851912883,0.2,0.025200614695721133,0.003,normuon,verified-v3-normuon-3e-3,1,782,0
1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.6189856272649,0.6752876975638343,0.2,0.7315897678627687,3e-05,adamw,verified-v3-adamw-3e-5,1,782,0
1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.4107456651122812,0.41950155338421863,0.2,0.42825744165615603,0.0001,muon,verified-v3-muon-1e-4,1,782,0
1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.2183690857201974,0.22817128026150765,0.2,0.23797347480281789,0.0003,muon,verified-v3-muon-3e-4,1,782,0
1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.05078508310458239,0.05554284596626453,0.2,0.06030060882794666,0.001,muon,verified-v3-muon-1e-3,1,782,0
1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.02157125335664832,0.024701246593326807,0.2,0.027831239830005298,0.003,muon,verified-v3-muon-3e-3,1,782,0
