run_id,optimizer,learning_rate,step,task,ndcg_at_10
verified-v3-adamw-1e-6,adamw,1e-6,3907,ArguAna,0.58231
verified-v3-adamw-1e-6,adamw,1e-6,3907,ClimateFEVER,0.29138
verified-v3-adamw-1e-6,adamw,1e-6,3907,DBPedia,0.26996
verified-v3-adamw-1e-6,adamw,1e-6,3907,FEVER,0.85938
verified-v3-adamw-1e-6,adamw,1e-6,3907,FiQA2018,0.52383
verified-v3-adamw-1e-6,adamw,1e-6,3907,HotpotQA,0.66782
verified-v3-adamw-1e-6,adamw,1e-6,3907,MSMARCO,0.51293
verified-v3-adamw-1e-6,adamw,1e-6,3907,NFCorpus,0.28795
verified-v3-adamw-1e-6,adamw,1e-6,3907,NQ,0.93315
verified-v3-adamw-1e-6,adamw,1e-6,3907,QuoraRetrieval,0.91497
verified-v3-adamw-1e-6,adamw,1e-6,3907,SCIDOCS,0.1409
verified-v3-adamw-1e-6,adamw,1e-6,3907,SciFact,0.87251
verified-v3-adamw-1e-6,adamw,1e-6,3907,TRECCOVID,0.75932
verified-v3-adamw-1e-6,adamw,1e-6,3907,Touche2020,0.29294
verified-v3-adamw-3e-6,adamw,3e-6,3907,ArguAna,0.58676
verified-v3-adamw-3e-6,adamw,3e-6,3907,ClimateFEVER,0.35557
verified-v3-adamw-3e-6,adamw,3e-6,3907,DBPedia,0.27428
verified-v3-adamw-3e-6,adamw,3e-6,3907,FEVER,0.89532
verified-v3-adamw-3e-6,adamw,3e-6,3907,FiQA2018,0.52923
verified-v3-adamw-3e-6,adamw,3e-6,3907,HotpotQA,0.67385
verified-v3-adamw-3e-6,adamw,3e-6,3907,MSMARCO,0.5422
verified-v3-adamw-3e-6,adamw,3e-6,3907,NFCorpus,0.28469
verified-v3-adamw-3e-6,adamw,3e-6,3907,NQ,0.94734
verified-v3-adamw-3e-6,adamw,3e-6,3907,QuoraRetrieval,0.91633
verified-v3-adamw-3e-6,adamw,3e-6,3907,SCIDOCS,0.1475
verified-v3-adamw-3e-6,adamw,3e-6,3907,SciFact,0.86724
verified-v3-adamw-3e-6,adamw,3e-6,3907,TRECCOVID,0.82378
verified-v3-adamw-3e-6,adamw,3e-6,3907,Touche2020,0.32374
verified-v3-adamw-1e-5,adamw,1e-5,3907,ArguAna,0.56881
verified-v3-adamw-1e-5,adamw,1e-5,3907,ClimateFEVER,0.39531
verified-v3-adamw-1e-5,adamw,1e-5,3907,DBPedia,0.27924
verified-v3-adamw-1e-5,adamw,1e-5,3907,FEVER,0.91145
verified-v3-adamw-1e-5,adamw,1e-5,3907,FiQA2018,0.5282
verified-v3-adamw-1e-5,adamw,1e-5,3907,HotpotQA,0.67733
verified-v3-adamw-1e-5,adamw,1e-5,3907,MSMARCO,0.56268
verified-v3-adamw-1e-5,adamw,1e-5,3907,NFCorpus,0.28626
verified-v3-adamw-1e-5,adamw,1e-5,3907,NQ,0.93964
verified-v3-adamw-1e-5,adamw,1e-5,3907,QuoraRetrieval,0.91315
verified-v3-adamw-1e-5,adamw,1e-5,3907,SCIDOCS,0.14828
verified-v3-adamw-1e-5,adamw,1e-5,3907,SciFact,0.86828
verified-v3-adamw-1e-5,adamw,1e-5,3907,TRECCOVID,0.82682
verified-v3-adamw-1e-5,adamw,1e-5,3907,Touche2020,0.33537
verified-v3-adamw-3e-5,adamw,3e-5,3907,ArguAna,0.55338
verified-v3-adamw-3e-5,adamw,3e-5,3907,ClimateFEVER,0.40662
verified-v3-adamw-3e-5,adamw,3e-5,3907,DBPedia,0.27767
verified-v3-adamw-3e-5,adamw,3e-5,3907,FEVER,0.92138
verified-v3-adamw-3e-5,adamw,3e-5,3907,FiQA2018,0.54253
verified-v3-adamw-3e-5,adamw,3e-5,3907,HotpotQA,0.67613
verified-v3-adamw-3e-5,adamw,3e-5,3907,MSMARCO,0.56811
verified-v3-adamw-3e-5,adamw,3e-5,3907,NFCorpus,0.28824
verified-v3-adamw-3e-5,adamw,3e-5,3907,NQ,0.92545
verified-v3-adamw-3e-5,adamw,3e-5,3907,QuoraRetrieval,0.9119
verified-v3-adamw-3e-5,adamw,3e-5,3907,SCIDOCS,0.14635
verified-v3-adamw-3e-5,adamw,3e-5,3907,SciFact,0.87996
verified-v3-adamw-3e-5,adamw,3e-5,3907,TRECCOVID,0.82808
verified-v3-adamw-3e-5,adamw,3e-5,3907,Touche2020,0.32388
verified-v3-muon-1e-4,muon,1e-4,3907,ArguAna,0.57942
verified-v3-muon-1e-4,muon,1e-4,3907,ClimateFEVER,0.39799
verified-v3-muon-1e-4,muon,1e-4,3907,DBPedia,0.2778
verified-v3-muon-1e-4,muon,1e-4,3907,FEVER,0.91392
verified-v3-muon-1e-4,muon,1e-4,3907,FiQA2018,0.52996
verified-v3-muon-1e-4,muon,1e-4,3907,HotpotQA,0.67639
verified-v3-muon-1e-4,muon,1e-4,3907,MSMARCO,0.56203
verified-v3-muon-1e-4,muon,1e-4,3907,NFCorpus,0.2881
verified-v3-muon-1e-4,muon,1e-4,3907,NQ,0.92545
verified-v3-muon-1e-4,muon,1e-4,3907,QuoraRetrieval,0.91456
verified-v3-muon-1e-4,muon,1e-4,3907,SCIDOCS,0.14761
verified-v3-muon-1e-4,muon,1e-4,3907,SciFact,0.87962
verified-v3-muon-1e-4,muon,1e-4,3907,TRECCOVID,0.83767
verified-v3-muon-1e-4,muon,1e-4,3907,Touche2020,0.3437
verified-v3-muon-3e-4,muon,3e-4,3907,ArguAna,0.56115
verified-v3-muon-3e-4,muon,3e-4,3907,ClimateFEVER,0.41201
verified-v3-muon-3e-4,muon,3e-4,3907,DBPedia,0.27875
verified-v3-muon-3e-4,muon,3e-4,3907,FEVER,0.92221
verified-v3-muon-3e-4,muon,3e-4,3907,FiQA2018,0.53389
verified-v3-muon-3e-4,muon,3e-4,3907,HotpotQA,0.67762
verified-v3-muon-3e-4,muon,3e-4,3907,MSMARCO,0.57093
verified-v3-muon-3e-4,muon,3e-4,3907,NFCorpus,0.2855
verified-v3-muon-3e-4,muon,3e-4,3907,NQ,0.95246
verified-v3-muon-3e-4,muon,3e-4,3907,QuoraRetrieval,0.91276
verified-v3-muon-3e-4,muon,3e-4,3907,SCIDOCS,0.1483
verified-v3-muon-3e-4,muon,3e-4,3907,SciFact,0.87919
verified-v3-muon-3e-4,muon,3e-4,3907,TRECCOVID,0.82664
verified-v3-muon-3e-4,muon,3e-4,3907,Touche2020,0.33262
verified-v3-muon-1e-3,muon,1e-3,3907,ArguAna,0.54098
verified-v3-muon-1e-3,muon,1e-3,3907,ClimateFEVER,0.43919
verified-v3-muon-1e-3,muon,1e-3,3907,DBPedia,0.2663
verified-v3-muon-1e-3,muon,1e-3,3907,FEVER,0.92666
verified-v3-muon-1e-3,muon,1e-3,3907,FiQA2018,0.55913
verified-v3-muon-1e-3,muon,1e-3,3907,HotpotQA,0.67078
verified-v3-muon-1e-3,muon,1e-3,3907,MSMARCO,0.57141
verified-v3-muon-1e-3,muon,1e-3,3907,NFCorpus,0.27372
verified-v3-muon-1e-3,muon,1e-3,3907,NQ,0.96104
verified-v3-muon-1e-3,muon,1e-3,3907,QuoraRetrieval,0.91016
verified-v3-muon-1e-3,muon,1e-3,3907,SCIDOCS,0.14743
verified-v3-muon-1e-3,muon,1e-3,3907,SciFact,0.87857
verified-v3-muon-1e-3,muon,1e-3,3907,TRECCOVID,0.80529
verified-v3-muon-1e-3,muon,1e-3,3907,Touche2020,0.33613
verified-v3-muon-3e-3,muon,3e-3,3907,ArguAna,0.48029
verified-v3-muon-3e-3,muon,3e-3,3907,ClimateFEVER,0.42497
verified-v3-muon-3e-3,muon,3e-3,3907,DBPedia,0.22777
verified-v3-muon-3e-3,muon,3e-3,3907,FEVER,0.92206
verified-v3-muon-3e-3,muon,3e-3,3907,FiQA2018,0.52861
verified-v3-muon-3e-3,muon,3e-3,3907,HotpotQA,0.62228
verified-v3-muon-3e-3,muon,3e-3,3907,MSMARCO,0.55601
verified-v3-muon-3e-3,muon,3e-3,3907,NFCorpus,0.23442
verified-v3-muon-3e-3,muon,3e-3,3907,NQ,0.92114
verified-v3-muon-3e-3,muon,3e-3,3907,QuoraRetrieval,0.88679
verified-v3-muon-3e-3,muon,3e-3,3907,SCIDOCS,0.10939
verified-v3-muon-3e-3,muon,3e-3,3907,SciFact,0.82078
verified-v3-muon-3e-3,muon,3e-3,3907,TRECCOVID,0.76655
verified-v3-muon-3e-3,muon,3e-3,3907,Touche2020,0.29945
verified-v3-normuon-1e-4,normuon,1e-4,3907,ArguAna,0.5814
verified-v3-normuon-1e-4,normuon,1e-4,3907,ClimateFEVER,0.39351
verified-v3-normuon-1e-4,normuon,1e-4,3907,DBPedia,0.27898
verified-v3-normuon-1e-4,normuon,1e-4,3907,FEVER,0.91258
verified-v3-normuon-1e-4,normuon,1e-4,3907,FiQA2018,0.53133
verified-v3-normuon-1e-4,normuon,1e-4,3907,HotpotQA,0.67653
verified-v3-normuon-1e-4,normuon,1e-4,3907,MSMARCO,0.56067
verified-v3-normuon-1e-4,normuon,1e-4,3907,NFCorpus,0.28846
verified-v3-normuon-1e-4,normuon,1e-4,3907,NQ,0.92545
verified-v3-normuon-1e-4,normuon,1e-4,3907,QuoraRetrieval,0.91457
verified-v3-normuon-1e-4,normuon,1e-4,3907,SCIDOCS,0.14738
verified-v3-normuon-1e-4,normuon,1e-4,3907,SciFact,0.87898
verified-v3-normuon-1e-4,normuon,1e-4,3907,TRECCOVID,0.8368
verified-v3-normuon-1e-4,normuon,1e-4,3907,Touche2020,0.34699
verified-v3-normuon-3e-4,normuon,3e-4,3907,ArguAna,0.5625
verified-v3-normuon-3e-4,normuon,3e-4,3907,ClimateFEVER,0.40614
verified-v3-normuon-3e-4,normuon,3e-4,3907,DBPedia,0.28041
verified-v3-normuon-3e-4,normuon,3e-4,3907,FEVER,0.92139
verified-v3-normuon-3e-4,normuon,3e-4,3907,FiQA2018,0.54749
verified-v3-normuon-3e-4,normuon,3e-4,3907,HotpotQA,0.6787
verified-v3-normuon-3e-4,normuon,3e-4,3907,MSMARCO,0.5717
verified-v3-normuon-3e-4,normuon,3e-4,3907,NFCorpus,0.28663
verified-v3-normuon-3e-4,normuon,3e-4,3907,NQ,0.93964
verified-v3-normuon-3e-4,normuon,3e-4,3907,QuoraRetrieval,0.91272
verified-v3-normuon-3e-4,normuon,3e-4,3907,SCIDOCS,0.14848
verified-v3-normuon-3e-4,normuon,3e-4,3907,SciFact,0.88434
verified-v3-normuon-3e-4,normuon,3e-4,3907,TRECCOVID,0.83288
verified-v3-normuon-3e-4,normuon,3e-4,3907,Touche2020,0.3379
verified-v3-normuon-1e-3,normuon,1e-3,3907,ArguAna,0.54806
verified-v3-normuon-1e-3,normuon,1e-3,3907,ClimateFEVER,0.44143
verified-v3-normuon-1e-3,normuon,1e-3,3907,DBPedia,0.2689
