augmented_numeric_rank,baseline_mse_exact,baseline_rmse,exact_residual_energy,feature,feature_improves,feature_mse_exact,feature_rmse,held_out_dose_index,mse_reduction_exact,rmse_reduction,status,test_rows,train_rows,training_feature_mean,training_feature_scale
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,2649111613695263670644899198676561394284963781470575132187437/1696000308750252712837502187598880875136413153423766857973760,log_saved_segment_to_weight_ratio,True,224557007014617270322519064089814124811598377202051424479984771977653001368357233293841802530237363128788631605410476673273/459918038913195959745787389842264221858875584148381531870339019449182696391581101819821751734187501254857051738505257220112384,0.022096479400674267,1,762389072408919148253663814095997772693233247367221380686564745289541271630672835803499404200201339781775749117582678726794058054375725864760460997299498220028754274690385/24813509788919052877320217310669953563905070282529928038286238701474678141981057682732141759706045356286389273704125017664536480598310249905213273306174653652374794886881958006784,6.952300784044309e-07,resolved,15,45,-1.1236811222097893,0.2308410057255616
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,658389238856818916715862703778875835108721385823554832024119/428039571229281252675988308568704886091144492337858525265920,log_saved_segment_to_weight_ratio,True,41605304381673115067239189341819732443510507744072897566379130874273030591707094268550983171287410508984247911147657483403/767024334487319773614638913816622848218423349178004040499247925458828049404187581256232225832167407290773095949149051705556992,0.007364949622692441,2,201477747799518516998576730725557315882204401992364159757470759581976135371131009254493229438125883488268686282604513591870967833985829189354077234821163205954129400184383/11861657978884178702966111495384652392741285339604559833262981366155455139553584002056624937597171415526696539080281849238525750072751857652125204619023257350070749565487096272896,1.1530494126176138e-06,resolved,15,45,-1.1260316885118926,0.22184263272012164
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,1814268841830375169869233150233402764716024544631726890365917/1284118713687843758027964925706114658273433477013575575797760,log_saved_segment_to_weight_ratio,False,105379824099978914814064243341948543367712311262632577234109973893230004484011002637650972250744113237608061879289716071793/1941447827385796387262606723462426888107073733499985900733115493101024025600862599511479855875134626942535981632808370700353536,0.007367427529268366,3,-293027148769586364199998162641425972151218196140599559314161367788953713849853187160258872228550706569920944561266590848556404754169137146377555771041133223809689821412429/15011772819235626727262889164380089401657426866119929074265367597461421716043069051688179047218137436498657430669336718503763431357274337911508286457743388698846741384780253225984,-1.3248571633079998e-06,resolved,15,45,-1.1244813841229284,0.21247442350311838
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,1211227002146725456148238828416375328327622207610351735377427/848000154375126356418751093799440437568206576711883428986880,log_saved_segment_to_weight_ratio,True,46943095738805519921214690727325805142334654946931308791020719956210200522980624246547041388666552553247023617164918667673/96145955273398266937773649227115800080458360206610633219131296380406612205153861187461654537562126045742017656529953772601344,0.0220963405081891,4,191217303248274857207151477701475477131201117244109036070164024784937216068461762772073521717129847174663338133657524119586803513677680301408402820655258648618606818956255/5187269035976467189032637026468946028582215752392245274368007189499428767747348969934815495526403768348134803737133202498985660027668291317924945345206366743674789846672848031744,8.341225635701364e-07,resolved,15,45,-1.1208401225493123,0.21401510859032893
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,57154986452135368886605440175541503052966849208871840699283/339200061750050542567500437519776175027282630684753371594752,saved_segment_stable_rank_fraction,True,8152137784088335705284191971327695587676637010416301975552840810902814247747740995520164194303243515792391684276078019567/17126876650373264504593741721059212730211477818508024823257025004055314706141589618623959382975577984286873461387239562936320,0.02181708234021715,1,181849705020294361405906250271379508031416028704038716640585519216703955291784988832282884955398974045831652141453191381445152832238648001226806324230855523567224837128603793/14784474987652507990490297321524038448854904567993200789915270577959611608732373724477067254632418678792744166691353570901491724780494758471605790811261857985333626022130871173120,0.0002800922905355209,resolved,15,45,0.31518985651329173,0.06836782851312527
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,201284417620943117471390669262994125708764124934403146046887/1284118713687843758027964925706114658273433477013575575797760,saved_segment_stable_rank_fraction,True,4629755308667235388666950997567079601891023988775752081134765192333843172366288832391449626411666208016925070749394488857/95587860740314267778332262916148982123739432060713849641028449132730972160612308812508609231328339232467014002100539731738624,0.00695949373270237,2,275536164982884416922753282241552654060379325613134932560179052853561529942509374312844336816428103849441742986220372465540970232537798071937605081403604946947334388072582851/47303031627237120249289259925687283864808792476114196106689517651238676218841332803152259810745496284878809172314275044180589536275957454320531645735695667120132522332662467395584,0.0004066089394026882,resolved,15,45,0.31168779702391647,0.06652712029548162
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,12455506246093405148143651578556953347398299713898489167039/71339928538213542112664718094784147681857415389643087544320,saved_segment_stable_rank_fraction,False,18466782675588762540659466115016848696400605024463031568377514004692940632054972213211812656728117374165452503626427920607/316241558462048487304418996459499581208979605731870163660380518371034850599697996807480421510572383226653256103587480416026624,0.007641632508855746,3,-647126176237488000095934907394657025657637674119527298379160029088615392374181966264739303521616375321991119986486821893448865104054688519165867144785535807235296088790225399/156496696608965814189712421639834164683552774559326212248191899194352265047706999834007218161401119200247706379560783314924008960690586722071498584444924136994439063005294267203584,-0.0002755298367506876,resolved,15,45,0.318056663475769,0.07030496113300806
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,520715616951915183172498544757104867819028689039601525014501/3392000617500505425675004375197761750272826306847533715947520,saved_segment_stable_rank_fraction,True,16746408322405548366433677662288282505977138393072534757434535891990250412007241448698961246718138706695600745318961673169/35539485161896497496323960856763474886670455958858502646673302321907176569249429835116471462704867026121804798788931289219072,0.0217072731944899,4,523976626384228467178854739197526063212718834568025609052345241101708806408530429190485570963430959016315205109787202354477760737463824254275220233155263135798211451995592145/30678835386991293037141146731945581703479470529737269290937151623819175450605768679688733190112970693185646878224854993202215323260038554778155980058245728743491983032526469988352,0.00038990143626277266,resolved,15,45,0.32493757463141854,0.06658718238679716
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,1124614915869791129373580485351666188265479257849641703091077/5427200988000808681080007000316418800436522090956053945516032,saved_segment_sketch_effective_rank_fraction,False,5146501417170577871836248720834423627104963823402071413971657758121520180706351095103950199823263311449225514159836758017/10360903344101927975427957148023310387130054057020438607388710841221457654730190649727551706206293804737198848217555107258368,0.022287288621307366,1,-603754521767162061079112647192276580278465773816507879096934101756720149459349125232354781418093749595343862526959585174013009063513997067725252226271901400841679901587030303/71550940415990794006665747370618170641413281433245360919942235366653196161471095639227468150212691450081263297604618711218062843497490948220910141298841982086992508071637607317504,-0.0001901139905546953,resolved,15,45,0.30300348376424036,0.07024034820200936
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,377693198975008411112265658663794807637985204947297191607837/1826302170578266678084216783226474180655549833974863041134592,saved_segment_sketch_effective_rank_fraction,True,336369186658240189064425736252465523329534595156106828915057705340985839739542039597479848778194802781650212976935145793591/6310474742011220716161264752838941807177366118177227034511629687566930251313463921110003557557354327442978016481108134073139200,0.007300911535234869,2,746480628479864067872686873489095036281808978940164924851598908938853170908256569691167369495083361109092799131540958671562955341160689490778665848676286749550022958320511761/780707361772620981759627671683091750780386313431421589480773446378437435044244110104712551655157570733925719540511624589038471444720485505653743834381380659849402888714444752076800,6.519113687018952e-05,resolved,15,45,0.30840114985260114,0.07146014673305019
