baseline,conditioned_on_displacement,feature,columns,pooled_baseline_mse_exact,pooled_feature_mse_exact,pooled_baseline_rmse,pooled_feature_rmse,pooled_rmse_reduction,improved_folds,defined_folds,total_folds,diagnostic_flag
B0_original,False,margin_helpful_mass_share,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,427330368282661337371375342119137318072247944629850612968725668305405456374400136536861213439087985951200723622276553430687343933880488458522932862125828690799914204852714700967114997686419756854656047202443241708542322261214138752960503178668267856943108180290911594265926514313564917064289045077076384756408773806570984620714492585332912116709581027285898470248209124885906506909845358168063347781673985421003690916946092110918291009595259819218415415217612612762075764798667687418667/492959644416087582071500363003734936539010854928815744023683757356657409266591769631861620496284365255085738390370763389820653161819997019208974414134983500897360076136998043529855414814741563764997663152547210411576701784673912986755627999314717120656373367806574753960362573088114011456515879146500716653917660776288381895568461051636098018323620758672392596514003280763855631207375550699329222042021556124190039098415303871399366833236645148044830225603190387910482274853713514835476480,0.02905349334322608,0.029442602434806165,-0.00038910909158008434,2,4,4,False
B0_original,False,margin_helpful_attribution_participation_ratio,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,113978873016781082818164080369325474518405727778778688855097541764909956592411312703664808983797598866157255072425493283525831210198836869122774186210091213704117266387091773374865422904673103850556215854178388626083429515044869027992139302865325891827891995099323793007186746632194499098026428196085443915973633987198868376584226983715054729117158346166077940481765654879809015141142039167010667197480761965203656328237484253342513281664622239800168288515718673295927248848024693097675880997/102189930832733144625927231131617938488218728053112727407689969770250746354530201771190838488371579436521183728472107619130718092483051098595076047495455960844846997364448058137621168977188890860199036044108867771194860770264757102235183552663689037316285896040786612140097160532987266985482675647470794961213798800784345145415360420073558443352981625413009053283569985195839002068892994426638120727184477779869014007339431009436700189466311181477708358036667450871985768857181502278991872000000,0.02905349334322608,0.0333970515288546,-0.00434355818562852,1,4,4,False
B0_original,False,margin_degrading_attribution_mass,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,704948449908083548522833808893309805107799210637155794241667642096949034043016531116582928775350715551544447365524639981722300196352306305498099160991129029856796400214465509908040056991446371896087492836802290622915333737697407895152034492073022203457206414605536285715447017188524751979988323715298413216490433598679987760847346025259592999954656563747352326497883055266867777289665052570310041807766718755634032554567859911091239662084291990196724915304030512120887234925280870325397872098493843599/1955967867945202068537070437357299486773190412875347627630267114982333584321313490836064450612879613257300790891696121639115265110398219026307861377506781930597195333796576655179513654024521272016212174930061943054335268042181167099731697557255181451092356373438429010312335415179341796004049169801543480671333520786223631714611426649318215005471920972021020546729358944133230433359090051779817261764069152502887156574399905274820329809829194141108238767467576931135682621257838510234225421177729948057600,0.02905349334322608,0.018984441355863,0.010069051987363077,4,4,4,True
B0_original,False,random_50pct_relative_shortlist_ndcg,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,307751923139958276131931858459920671439194010735679444164972032371708649783708269764041458184321216718138915141580535210486791173901089492143396857051515962213920924523532456063938815863713666059390398168537522230728420212287876932118033830015140507381008482056492501774622060037901954887806501190291505658904939385092515726398267940567436692466870917778048212539190838625683924884192061709177057922306452113015941689338612495283846634031308844022748099473614174166158999380506178991/373318070130593048507494733561594038251581420423056899156255820246637078248985586210041667913877168953170822788875981288162673375180036185491148557454561547708034305305320041903929435036988642656245638096859188135582213047510502111183544313983163164057630449618010095143375151348299874823410475815965754794060632406587625238002791019171500655018548106949779905521393132226702457288590362966576794395813374001699995810276020541597496224031133362789929689537234218322969912741126471680000,0.02905349334322608,0.028711830515907522,0.00034166282731855856,2,4,4,False
B0_original,True,margin_helpful_mass_share,9,8383070049504824315631634345986125800994428686071633639035628712288900182139073791564952864562669574424059605766444978830384776877722791442685824066226483847723931687999604354485275857343693534892406383769456620739789344900254417541880239184546379368901958359848780766968281377243779815023648435219569297540731330484860543335006294282575115234600860791152390818508322252275485010315793732333759360047686205780975367308899840008928680838184167881022127713619863067874731064641094681950718051604286823453184212606997034171144913586118993049806598970197/83168251038651274289475822118886338723772431604352208764730503382525091799893937604114643475906145737819582802010512022768592490558565948779290687211387615097024734832454133339337779698876395321102777624767869520694829132603471514872244090730795521879679266061016417508573863170487214841057119557187074904030009837704825404752827821000466170744063399159924887751606995040870336727419066490452926503646285216427268952270206937912433651244808230393093092505305835584617158918461212900527036637351650608223324829654074895586745181328030336674737256157675520,605594583600556218418913432814443955193489990210725654702710241819921758186100599627341368771126978006659777878490774886528488869174977447536425192552833254374867420049020783617657748093094077091283525948408670565100439230837176227319388199471806775614014843067448735025791116359921484747209937149007884702206915616085757414148821767074129196251951951664676858700324410034779390630052735934080142654191141094777293892522732107533953548931316300394663781925371235039138060734097626489803012842698844299603436051345051531892494200641136633782503746757090354421233486320683287682851413981198117485204002491876467068747081267408850601972662185864837776997756189095905274441140897231812683909728060483886529389184683491825149073005627859423868574411169639865871530245867703297229631146474217/5673940209034235982279720080518476026122731339466480282533176721842134159085024469926493792616994520407745939999606271946516643158843645821950534703641805112058484387677371742303483531148870442124547407570099437449414444802782687690215502856421299596954503588653780416816906959633087702822825190943943526667998983003161989062380328532728112302435151254502208887983118948164790713494648353572167308420183584902427577106956115956366311710232178297805992125279183716351220845526824209354663940910108223238181464615397750171593839585117448455048223335114637688334044100607080639047897568258764342317936909812899620492822497612696862997728324612296345113502501310516482144583616036339116350005145223810096323431747682738873429741048351482512783992358283053695849383116642483989507184410119634944,0.010039746871231266,0.01033114872547985,-0.00029140185424858517,0,4,4,False
B0_original,True,margin_helpful_attribution_participation_ratio,9,8383070049504824315631634345986125800994428686071633639035628712288900182139073791564952864562669574424059605766444978830384776877722791442685824066226483847723931687999604354485275857343693534892406383769456620739789344900254417541880239184546379368901958359848780766968281377243779815023648435219569297540731330484860543335006294282575115234600860791152390818508322252275485010315793732333759360047686205780975367308899840008928680838184167881022127713619863067874731064641094681950718051604286823453184212606997034171144913586118993049806598970197/83168251038651274289475822118886338723772431604352208764730503382525091799893937604114643475906145737819582802010512022768592490558565948779290687211387615097024734832454133339337779698876395321102777624767869520694829132603471514872244090730795521879679266061016417508573863170487214841057119557187074904030009837704825404752827821000466170744063399159924887751606995040870336727419066490452926503646285216427268952270206937912433651244808230393093092505305835584617158918461212900527036637351650608223324829654074895586745181328030336674737256157675520,1798037744630422626024131994462789890788080714382010323402046403593532778695145888234901911152876682557742731680286469916119151914980265486362732128838026065200903469373454208918470966851154713735392782666015850627411872550950013865401972403608378596985702561794382415926997530194188997504468070063617076587510822897948813608679821591718679912575195982322112733012090822194585961333626101935392334904650784985967762451993443581261248010666756183380699341706091879364119786509948342825084289884767984206155652726410141930280089192090048494735444474281301648145194552022398204660485479893717945452864343511930480532608457370198040836601264550223970238962366846090987976347421017532851282766409113313582946771634687231837541388075275627850100150616614902661001507152012923814702420210872603849923/15955975470256964750245465141655848137228566921511912560065377475856502495252980961970432394760038852565824943603261508448763568346432192564228326815592372130825059965763344622522683648727859966609230736290670404978411166070618780134393679086339373299175389353842687031829731637857472631129019790581520506905470095157521950020090864612258888328788156448427962947439107009165684193025785073308790035407627787997732857315193607422979451029640508906794777293233635180254847925860357136888915714253670263156953300171177514398163047330695644003210130787618801640035887282372735316214433195001953999029032064284190616574524159525263672788937918043838945767896984779010977911973221510697757756085122713788300566656780973279637073751362770143054623461418275693738173202140076950291231158803841186529280000,0.010039746871231266,0.010615433208898278,-0.0005756863376670127,2,4,4,False
B0_original,True,margin_degrading_attribution_mass,9,8383070049504824315631634345986125800994428686071633639035628712288900182139073791564952864562669574424059605766444978830384776877722791442685824066226483847723931687999604354485275857343693534892406383769456620739789344900254417541880239184546379368901958359848780766968281377243779815023648435219569297540731330484860543335006294282575115234600860791152390818508322252275485010315793732333759360047686205780975367308899840008928680838184167881022127713619863067874731064641094681950718051604286823453184212606997034171144913586118993049806598970197/83168251038651274289475822118886338723772431604352208764730503382525091799893937604114643475906145737819582802010512022768592490558565948779290687211387615097024734832454133339337779698876395321102777624767869520694829132603471514872244090730795521879679266061016417508573863170487214841057119557187074904030009837704825404752827821000466170744063399159924887751606995040870336727419066490452926503646285216427268952270206937912433651244808230393093092505305835584617158918461212900527036637351650608223324829654074895586745181328030336674737256157675520,975958070223378101221860516450350675529182857503642738244757974529939294674094541875361593249532131967581294761606284585959874601426484806280379888335417318825890445171755572443180141184216212231182889347110804681342192840925668030215520642499650572004538198350679168055938850076956505537539209632056548004480346944430154063966038652085442580342225047732757469437236938924901932244178029703485998256653012590338226296674708274894401757259231927744621373815599691439793284114303322833167739896254007071101610056159454408908559084828805390906516082213132651352066377494054420340443713194727701435258884180315073245339150719400660550375488741104920042775087296244044919662972159362089768304987898999689506931541946808622618426736075476210832284494554582882682755018313033085023526892657596326564291/11868731423005818469556841698391378302065096916742992730070141570892511836231944056909559757672878155221606315482517708336308657827586750713792293849466840118863664997192758467227411441542409578591510821162703106576594391733878136164151226537199998916648146962116469424752674516437770198228959905568965759029559368451630067073320705257320413287961268022818108275971044814527741903380605345845867913740454343048919147390952842731726475826154904936458260752998734550676596719488981107572701162800709853529694226351699300598549004202308029283129543099371718503767634842528421025051974631460612138329818319896930946696418657396836354812310610392100671218105938808976957373054321054215251245732793683353591085764798245166048501794201015338225722011363141476528139718724770709046060620557798420448595148800,0.010039746871231266,0.00906804003071993,0.0009717068405113366,3,4,4,True
B0_original,True,random_50pct_relative_shortlist_ndcg,9,8383070049504824315631634345986125800994428686071633639035628712288900182139073791564952864562669574424059605766444978830384776877722791442685824066226483847723931687999604354485275857343693534892406383769456620739789344900254417541880239184546379368901958359848780766968281377243779815023648435219569297540731330484860543335006294282575115234600860791152390818508322252275485010315793732333759360047686205780975367308899840008928680838184167881022127713619863067874731064641094681950718051604286823453184212606997034171144913586118993049806598970197/83168251038651274289475822118886338723772431604352208764730503382525091799893937604114643475906145737819582802010512022768592490558565948779290687211387615097024734832454133339337779698876395321102777624767869520694829132603471514872244090730795521879679266061016417508573863170487214841057119557187074904030009837704825404752827821000466170744063399159924887751606995040870336727419066490452926503646285216427268952270206937912433651244808230393093092505305835584617158918461212900527036637351650608223324829654074895586745181328030336674737256157675520,10038032125159243559327278092355220954095886217626494116673555049746111318708285505211292983881266945199479432618236139290611441323713847050764482176805006550210291955849995309033798121029331050797984069287014471803166684597231531549710167153838499053511588550214038058866960516652470139764274954358052403983801723170723789016624744249179682247698439399922826909765338861325409966399398323331362062341350755947520776677373569265780745418830333975149465431471651580052839244819044880570878273266153536523846406527559042457921644142154285580283496618461804177588975190599658901926063975117186608532051538757536532335285101317236412902400602829227925783225521177144142575248294846732197252513759252018391119034940795309565816489703880180005248408240007928001583185108086094566481306365960529/99882755517323502036767993758137003574325371441112979442894450110184966703509225923204348320675273764286626149812897374147664429625154332285387293013891589631543351737187434606943905091466792640000059205115752755106970571690596586672361491445096388666277106508673728508313641175753625077461282125192618887833038519053253428019498534864160264656069591257436346946099166954460786180048926696427499659084600953265717985992200660232870219938434168643156356635223352289420727363643600207259421614177327869307690994520372625752522057895903845153836318617245860772992994747060916683965017515336675442579597927336021914517585270744084740341579066682699882834942697588317732634679470117521109392642474264319330175373504482124310577947484843288559956388338984980008338649759984752451484895327499059200,0.010039746871231266,0.010024876547240377,1.4870323990888829e-05,2,4,4,False
B1_raw_rate,False,margin_helpful_mass_share,11,1716167266734835406724188428362696658389077928305669741358974902969519340509343699930898694658883623488913493318617139805620728406989413789997266609555052852885980949176110445011539055388273809863847637484574706965083472087885438254566118758460593652990958205535274951683032714840414287261938429588245407676244726506307609365524161766459427211027473351505167393534424545609948685023473584518158008781123541344323138219733231713226614321540286238882105926830812633176197765526735234913466908634396746608580968894404925989021414639846262573751534008321090314569441422416034776199623892708842962759404742665971458119238769425970037419281112261695988325564209170481689264154333826843117441910203988762565114845225147732180758471978901607417584450668029208808470637915996564912168555160066829851377487903291072077833888845604311440495998638595536280662198900620069265155761341148694756503271415026864623190256853522426253/40402234611962080777278858618903810405240196117689956361720310431530278325670960943129638571152960764593198835158252847848477871128003945860027538483655004379904736518634826390840376866402469183740303467478448427736020442293605391803609525857321541773991523137876603757025650341728705405111217540851615226189671974361098393535751404257431537914233349953093456418035226236198552757222382331138754826405863630815735219219739551340010002376090169639585672682100093588055237743165022505686914403155754764731738576410588829205772693521653562784813219536650111044851661743982849173518742744154404955932930076990202047846383384363203850367393945322970385146012570046944730074333564925120782875027695866454409334607971267030756451323729413686291585051096581001001493617274172788641653936966100903225259446724678688343009086891418078081289220724867203796556438353752509827971304623676261120647454053898648193011483114733568000000,9652272869315488811408635395581729239640517418376664212542549452229679355502358915984637833540165685295247038158370728679952196003213842317305734284786429021222566849378102058670359966811274320815602305170371793120793925457198273890389097334092196122641740251334634683535239866828587322144367359112873725602993874683386556256117091639245324852706099198399227047878341810811102477692625129714357367251209575853189355372262152241612495089221542122396116452822555729606041209445574150474509616703653962904098112883342031388556462897239651015163458826540434859508738763878506180095012501449748958259531997264183229951850715953619554946861272840953207390374442120909692415994130070763509920087454523102053800479384393376709161136767580638998627322270602194731038248314120578750033075523909127707129764549288252638331913230856003402007880397613975342858666484255635535775523297397679119841808159115016136659772757105823892407187405855584952723068756011228214380364255998678355535725711472357052818650081731256734755547333146988335034951788685286654302912505020062131966418692549347898495194454352552961456014102077222599075398458051675463832148653357685691729407480512301696062176736516071846686063162818873218571142688492237444937/239773342368870347154919836078721156095307121055686213233308193608042583759264168753919815246499102642467872610563099529407118510292213042056859856075235610989194679045653857366122311436714578519626799109892735692990703886221107964488558853862733696722506469426191640754352716358637974945541680092349762941990133784540337034504404542326172476052977244343692399206862764293189668952345618687262757837246545751261016623525096524474199355706772113972517266821500165262304524638696250871418925230153551499376533926041755719362131355828273901678184386056188851153968534118914285079850675917888935455717677028172241697412903120421297003155553321574170520534136345495868140336144833519377967985086579015116461781050576802085346748869734109480710540995921834986908316533094553820240544606873733246562646744286780177307326265150838002755224606971784390708394065216897149491884145508194071403422684362721971534399754276115989950070926058548072409190444443128653509352056825740201450443371707762172399239613978559996691936108788399115619017195772108306143294141823358063358861816789664026069159775213040725391704325249305638185489172959829365565390399761082194384915301504102981555462498443865159500116361806324830473425686067720068739891200,0.006517441084735164,0.006344747551602033,0.00017269353313313076,2,4,4,False
B1_raw_rate,False,margin_helpful_attribution_participation_ratio,11,1716167266734835406724188428362696658389077928305669741358974902969519340509343699930898694658883623488913493318617139805620728406989413789997266609555052852885980949176110445011539055388273809863847637484574706965083472087885438254566118758460593652990958205535274951683032714840414287261938429588245407676244726506307609365524161766459427211027473351505167393534424545609948685023473584518158008781123541344323138219733231713226614321540286238882105926830812633176197765526735234913466908634396746608580968894404925989021414639846262573751534008321090314569441422416034776199623892708842962759404742665971458119238769425970037419281112261695988325564209170481689264154333826843117441910203988762565114845225147732180758471978901607417584450668029208808470637915996564912168555160066829851377487903291072077833888845604311440495998638595536280662198900620069265155761341148694756503271415026864623190256853522426253/40402234611962080777278858618903810405240196117689956361720310431530278325670960943129638571152960764593198835158252847848477871128003945860027538483655004379904736518634826390840376866402469183740303467478448427736020442293605391803609525857321541773991523137876603757025650341728705405111217540851615226189671974361098393535751404257431537914233349953093456418035226236198552757222382331138754826405863630815735219219739551340010002376090169639585672682100093588055237743165022505686914403155754764731738576410588829205772693521653562784813219536650111044851661743982849173518742744154404955932930076990202047846383384363203850367393945322970385146012570046944730074333564925120782875027695866454409334607971267030756451323729413686291585051096581001001493617274172788641653936966100903225259446724678688343009086891418078081289220724867203796556438353752509827971304623676261120647454053898648193011483114733568000000,9872149401199662599388038550743443322447149405890855487114040892762199808201490239616278666039253601203933684359714352127205943507916946514826496009134589195370645401600090240850515775390739182154153239050854395409413484875762433999839256598499733267342870978717299716870944184733415938797118079119882515309163155811888468616520946702528828165266780343071550764587704560996858523384019550754018459416778233876348417492437619711263982089097176759528714142955390202213777276847329269301319396180687552231059055275570554221452571754729682622683049419235448585596375482680507455777445091983875636597644560921353086185360397412966991118008435132989614259657641181924694425562010094602025468199245092478089928148675683839739860827110797771884820494644086329159150814660709054970098090387491078387492446957847968638805994110118845525578656837864195743698009114963893170204487095475632920127926596822795854957365966326654578462599967741035887509213228314331113877880493422636872859336620199457503547736009616786602541639167360057189937296035938344505140603681671944978843536500526720416921872774189910794455029551125193029117479857288009723978868188275751303967932140077431007269627599144066067841416084682160158028172742546806831022539/124306815425285701897455689040432695467987104403877569863077371176450014660344757126999235883765592230315247576256315779722140373170799476927692828214530977946343241679427780130613340937360004572548408960209298587603086719765957025082208067036236745658293833886097427090794448562698931837034419293000403965802387700394441055624328561843881787840628792728418668823327613034784612390557993396840740002805614982815198258410623825813469037951504146811167250807470563773050375628242920669325576737159874134604784956624177197349624406955339434949844503924895196827216917657123552660589420365262565320342370320521564642630085067092431336164844943882147461097257239710904831094121764562558380109055889037343677972299992835307987541691199689778199123622403060050690732494646223485726802692132220620934082934726831361330438992145001879312339188931079806744408917384377181785618392366615713760708303134539850368665304641544386703140575574532210067083924509882277840067387311277362925502054332706774093763616664969761072313732235994899427387611535026701934403419455683998299991459952313051698000932489929735602544712749880183211556467063290725548933279591161956107942055424276666738429640510663694913469377234215787387884692656235489525760000000,0.006517441084735164,0.008911655495597217,-0.002394214410862054,0,4,4,False
