estimand,seed,task,contrast_ndcg_at_10
weight_state_effect,161803,ArguAna,0.001855000000000051
operator_effect,161803,ArguAna,-0.017164999999999986
state_operator_interaction,161803,ArguAna,-0.005530000000000035
weight_state_effect,161803,ClimateFEVER,0.00941000000000003
operator_effect,161803,ClimateFEVER,0.006940000000000002
state_operator_interaction,161803,ClimateFEVER,-0.015220000000000011
weight_state_effect,161803,DBPedia,-0.00040000000000001146
operator_effect,161803,DBPedia,-0.009139999999999981
state_operator_interaction,161803,DBPedia,-0.0017399999999999638
weight_state_effect,161803,FEVER,0.0008550000000000502
operator_effect,161803,FEVER,0.002314999999999956
state_operator_interaction,161803,FEVER,-0.003770000000000051
weight_state_effect,161803,FiQA2018,0.018915000000000015
operator_effect,161803,FiQA2018,-0.02120500000000003
state_operator_interaction,161803,FiQA2018,0.010189999999999921
weight_state_effect,161803,HotpotQA,0.0022000000000000353
operator_effect,161803,HotpotQA,-0.006289999999999962
state_operator_interaction,161803,HotpotQA,0.0032800000000000606
weight_state_effect,161803,MSMARCO,-0.0006999999999999784
operator_effect,161803,MSMARCO,-0.005929999999999935
state_operator_interaction,161803,MSMARCO,-0.0028000000000000247
weight_state_effect,161803,NFCorpus,-0.0008250000000000202
operator_effect,161803,NFCorpus,-0.001805000000000001
state_operator_interaction,161803,NFCorpus,-0.003449999999999953
weight_state_effect,161803,NQ,0.017305000000000015
operator_effect,161803,NQ,0.003985000000000016
state_operator_interaction,161803,NQ,0.03322999999999987
weight_state_effect,161803,QuoraRetrieval,0.00035999999999997145
operator_effect,161803,QuoraRetrieval,-0.0020100000000000118
state_operator_interaction,161803,QuoraRetrieval,0.00031999999999998696
weight_state_effect,161803,SCIDOCS,0.0008299999999999974
operator_effect,161803,SCIDOCS,-0.0013799999999999923
state_operator_interaction,161803,SCIDOCS,-0.0038000000000000256
weight_state_effect,161803,SciFact,0.011400000000000077
operator_effect,161803,SciFact,-0.02410000000000001
state_operator_interaction,161803,SciFact,0.0
weight_state_effect,161803,TRECCOVID,0.008575000000000055
operator_effect,161803,TRECCOVID,-0.0016550000000000176
state_operator_interaction,161803,TRECCOVID,-0.0019500000000000073
weight_state_effect,161803,Touche2020,0.004944999999999977
operator_effect,161803,Touche2020,0.003234999999999988
state_operator_interaction,161803,Touche2020,0.015669999999999962
weight_state_effect,271828,ArguAna,-0.002695000000000003
operator_effect,271828,ArguAna,-0.017145000000000077
state_operator_interaction,271828,ArguAna,0.0022699999999999942
weight_state_effect,271828,ClimateFEVER,0.003375000000000017
operator_effect,271828,ClimateFEVER,0.003334999999999977
state_operator_interaction,271828,ClimateFEVER,0.008689999999999976
weight_state_effect,271828,DBPedia,0.00030500000000002747
operator_effect,271828,DBPedia,-0.0028849999999999987
state_operator_interaction,271828,DBPedia,-0.0010899999999999799
weight_state_effect,271828,FEVER,0.0006500000000000394
operator_effect,271828,FEVER,0.0018099999999999783
state_operator_interaction,271828,FEVER,0.001000000000000112
weight_state_effect,271828,FiQA2018,0.00791499999999995
operator_effect,271828,FiQA2018,-0.02109500000000003
state_operator_interaction,271828,FiQA2018,0.004349999999999965
weight_state_effect,271828,HotpotQA,0.0008799999999999364
operator_effect,271828,HotpotQA,-0.004819999999999991
state_operator_interaction,271828,HotpotQA,0.0045199999999999685
weight_state_effect,271828,MSMARCO,-0.0016400000000000303
operator_effect,271828,MSMARCO,-0.007010000000000016
state_operator_interaction,271828,MSMARCO,-0.0033800000000000496
weight_state_effect,271828,NFCorpus,-0.0007099999999999884
