run_id,step,task_count,macro_score_0_to_100
verified-v3-adamw-1e-6,1563,14,55.545
verified-v3-adamw-3e-6,1563,14,57.547785714285716
verified-v3-adamw-1e-5,1563,14,58.5075
verified-v3-adamw-3e-5,1563,14,58.975857142857144
verified-v3-muon-1e-4,1563,14,58.79385714285714
verified-v3-muon-3e-4,1563,14,59.27621428571428
verified-v3-muon-1e-3,1563,14,58.76692857142857
verified-v3-muon-3e-3,1563,14,53.78814285714286
verified-v3-normuon-1e-4,1563,14,58.691428571428574
verified-v3-normuon-3e-4,1563,14,59.12428571428571
verified-v3-normuon-1e-3,1563,14,59.20957142857143
verified-v3-normuon-3e-3,1563,14,53.968642857142854
