augmented_numeric_rank,baseline_mse_exact,baseline_rmse,exact_residual_energy,feature,feature_improves,feature_mse_exact,feature_rmse,held_out_dose_index,mse_reduction_exact,rmse_reduction,status,test_rows,train_rows,training_feature_mean,training_feature_scale
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,26793074951302129897353491535428341950796993403975759264887639/434176079040064694486400560025313504034921767276484315641282560,exact_nonzero_saved_segment_stable_rank_fraction,True,22426520762152693879388230548287039314640354652887515330679240607762094020766307016700311997266637018824932213513004634150547/47046253959321592159964453468597525340895735106169727539295539946165441697165148137964022886847437981712718210758298500747821056,0.021833251978044123,1,235431667339524294587500151190001231999904536493308135681810462493925808493784087658095068888959365773589112961227149992679232130736268693433803757881178478087882304071440202975/20305925567262694360408658761467813135615075178540313089010820824138443103091040211630067860802789146663860437620601015726660783104369997641194276285594368636320839992006753889845248,0.00026392265270854844,resolved,15,45,0.2128489537558532,0.07114425313567092
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,800018662085494679559186664237584648270951405510065804366581/4565755426445666695210541958066185451638874584937157602836480,exact_nonzero_saved_segment_stable_rank_fraction,False,13165359170882877152701646424941153531068411241594560747750632235736187833117636998082522623203023397721570194309769421741401/163082147886237772541034729238279777485127321441832479897455898117576081563975449964004878260557876269151325324596740078512898048,0.008984897862360126,2,-2136135974320796921956274084398731921665713950059426329310780355195769638760699653045958049187837174469207147794544605586039648770413103000146807682454163481239112277944070326865/80703553145289315800640658049158422975834160311523702549536292327907862799776181494113004440148547076189492434665666276140665423076460136944712362566317388457056860452658757231443968,-0.0016187951902550677,resolved,15,45,0.1891258050299153,0.06622370946382981
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,55029484036548079860712765472532636428306035597379069527586897/328734390704088002055159020980765352517998970115475347404226560,exact_nonzero_saved_segment_stable_rank_fraction,True,10315192411587168969384144480987991590685195078232242812780209752692168089168275260256176501605817104434053389817955367491043/198459006211109680132088978069127977372367137401325936742709532198604686544053387173532729114812131160377915556870218454703079424,0.007209468697868537,3,112108516426220290462978187166120163188238927785544474482538541174566425120324195750717435702426034970096451060867057288211219949871007894742577627536829483245494739377253283975/49105150877986397301490361132880914738832918920479965397971782126458037699093509660621078167984060687289574113956187189734339147972770370087493719710481843167572095974894876261384192,0.00015663397423652093,resolved,15,45,0.20412657084638564,0.07145317463410021
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,5523870716195005809283686776804925970759556789247145268264833/36181339920005391207200046668776125336243480606373692970106880,exact_nonzero_saved_segment_stable_rank_fraction,False,11966888233521239582170586200755062284456627467948891570360247354291821855936612121630063299899711652124787164783156756397357/23996515763541817227798462263307300646756455509720591644002183887571085420526425584356197735580298977341475601454694020852482048,0.022331429455807295,4,-215589268036494037324039884908847685601708186353002099611513343608872790478224015713738554739399334337715582174328935637251657453990331212119433818621823549169589165568003063121/20714570107513509059078562296709774107964243314905785894287705216558455513102560564496734938788299091471654386683455398751323710205058785797592528752563776884281440234948144856301568,-0.00023425482505462242,resolved,15,45,0.23383351668601338,0.05967908890333996
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,32526184370113447528417767843537853220467060679617551631963961/144725359680021564828800186675104501344973922425494771880427520,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,False,101854395805677949786945636133307648476018835865254839697833210355609058363881299518590128477960778450095840070115657030459771/208001958480172612455881860618762942038982419435377372671453126591357483769400609941892601853917692193902504746182902312374304768,0.022128714027377826,1,-31306543676057524547304564589694134500166941193889830460783788463412676377900860841115145172167539098603084724391825106727964780744934864647785419422655961069447880462443536785/22444253959067795919187001630772942210275596198040057605992835822248729946998279551398960753183641509342270893485922580218392805010695961537957387066902831534494298227183971956187136,-3.1539396625154e-05,resolved,15,45,0.20015347443038956,0.07075685514576835
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,7316421847936623248056612068834581576444884808559623004137723/41091798838011000256894877622595669064749871264434418425528320,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,False,27526347539824959985466280394426576880072889245911280471435590233572945036533694109569598462176928114086752114322560900202225/505172729961045480691158284739285792139301162055364617026505846339818976887389457914568869749805189960051438550577331172866523136,0.007381665225766566,2,-57376398959199922591405723821513412194545800530508559347357979823066077878128967862711893761735386527293612863829966090628980949362631867724937830429177481308843898173472939593/249992011930096544397167698828700374421418586496862990347722767415277500795697506231691274700891033026399770320338211101860474517147282186788130110335344458331161863447155250824216576,-1.556255366150796e-05,resolved,15,45,0.20238776924768664,0.07199310333820245
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,6448378357052777098870716195514802897973642063754875564068281/36526043411565333561684335664529483613110996679497260822691840,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,False,36081424019532802517578113331156112470202394821269179347656447556152592780891193272194988676258271637466247893407143086162967/662197028446320820442223091995260034494771504045956394962390766839745233622766957003610766110799612958360153181682280803567075328,0.007381561134195217,3,-18676822153985830187721485818579050891408044163357521862563620581615287447200481781563034724685022095216934407126831655918385753173124371597202196601289740176711915457279318709/81924437730532497116024716082893779193034445969009098665681659996017395248838174618138877118981995236798067818876343139726366230726837992729621481180040005924484471412861814709338112,-1.5458462090158286e-05,resolved,15,45,0.1978542074638534,0.07190963181431094
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,762886075015943814035878111130516080394921180144898715877059/3392000617500505425675004375197761750272826306847533715947520,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,False,264732929459018334527220109669943285933693199454547535495143012017743547193649676294221007676773951211925930327388599409065/540581789243470361081425020328760572322024645983059002454931457545018122573858394863620011639962905652484472497167685988122624,0.022129585378572507,4,-668903278868031242931752075519384982091117431286580389726681045228348237222357159855800103783512136584823578572623903609690497818702582596316166807068824685691357131810135257/466647720130356874696405083175278670966307508753290544135770113815536004366232260096255619830947080852931999529786107176019393936186323237148116172949519342000312273282923059216384,-3.241074781983403e-05,resolved,15,45,0.1998406924091234,0.07076918218366553
9,27623656398078793605985183992343571197996762378763881937/56572799148972567967723970642333812224494043785156115890176,0.02209717463075267,92955553895076080036021057605636306332344849451869234720002907/434176079040064694486400560025313504034921767276484315641282560,exact_nonzero_cumulative_stable_rank_fraction,False,281994978079018182867967597083738983092621022287403130069116618965202972843095209343252518827520855444572746663982675937566843/566279208956093647736169018910515634078535718095938027220953492000315282809542586227099839705824369009830569320819070628701732864,0.02231543611474705,1,-2369254778322017218976365549874579198283528873029430075143145420589020250989902221836054698186326130764644464225329632911414370181758848513582137989188956392488937446767120415025/244415282825562696101957096219584815958550164618950250909770791901717733979773094630087679083171610562781124767768373658330548683648524851771133164520935992019870057806596658639962112,-0.0002182614839943792,resolved,15,45,0.20435563347098917,0.07063207057381318
9,1759712421634816264231938599291217113550579154515026057/32431434877955819368514913568796789055647551008465750654976,0.0073661026721050585,15612011940689006153187315540096250835323654429679719526698831/82183597676022000513789755245191338129499742528868836851056640,exact_nonzero_cumulative_stable_rank_fraction,False,45370423052272386485934141589045147668404678949778928419026123983947213086354873608321543875792085092265459321117412715845035/575042814352017319167147814982965983964319295905356583624404411354468232639984692862716286494147237630623384196278961019040301056,0.008882522657127936,2,-7011687274444411074357700101375002832866918739690638864321873801621563326478898311386377578888015896221322449644017343165685780972773628833625590431403029730442638025479144647263/284568230982877925107245820781452184309986141289841900926142405405283129232042641622825891984611928025350042261554394379597854122575162610525740061172451063461251978425034440182071296,-0.0015164199850228766,resolved,15,45,0.20197582457522456,0.07088542718399186
