basis_status,boundary_gap_to_leading,displacement_kind,frobenius_norm,full_entropy_effective_rank,learning_rate,numerical_rank,numerical_threshold,optimizer,parameters,relative_boundary_gap,relative_reconstruction_residual,retained_rank,run_id,shape,spectral_norm,stable_rank,stage,step,tensor,top_rank_energy
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.0.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.0.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.0.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.0.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.0.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.0.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.0.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.0.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.1.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.1.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.1.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.1.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.1.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.1.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.1.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.1.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.10.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.10.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.10.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.10.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.10.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.10.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.10.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.10.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.11.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.11.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.11.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.11.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.11.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.11.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.11.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.11.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.12.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.12.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.12.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.12.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.12.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.12.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.12.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.12.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.13.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.13.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.13.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.13.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.13.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.13.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.13.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.13.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.14.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.14.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.14.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.14.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.14.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.14.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.14.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.14.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.15.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.15.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.15.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.15.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.15.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.15.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.15.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.15.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.16.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.16.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.16.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.16.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.16.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.16.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.16.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.16.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.17.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.17.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.17.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.17.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.17.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.17.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.17.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.17.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.18.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.18.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.18.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.18.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.18.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.18.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.18.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.18.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.19.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.19.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.19.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.19.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.19.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.19.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.19.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.19.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.2.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.2.attn.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.2.attn.Wqkv.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.2.attn.Wqkv.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.2.mlp.Wi.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,1769472,,,16,diagnostic-natural-adamw,"[2304, 768]",0.0,,1,1,0.layers.2.mlp.Wi.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.2.mlp.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,884736,,,16,diagnostic-natural-adamw,"[768, 1152]",0.0,,1,1,0.layers.2.mlp.Wo.weight,
zero,,saved_segment,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.20.attn.Wo.weight,
zero,,cumulative,0.0,,3e-05,0,0.0,adamw,589824,,,16,diagnostic-natural-adamw,"[768, 768]",0.0,,1,1,0.layers.20.attn.Wo.weight,
