defined_run_pairs,displacement_kind,first_optimizer,mean_defined_parameter_fraction,mean_subspace_overlap,run_pairs,second_optimizer,stage,unsafe_nonzero_run_pairs
0,saved_segment,adamw,0.0,,1,muon,1,0
0,saved_segment,adamw,0.0,,1,normuon,1,0
0,saved_segment,muon,0.0,,1,normuon,1,0
0,cumulative,adamw,0.0,,1,muon,1,0
0,cumulative,adamw,0.0,,1,normuon,1,0
0,cumulative,muon,0.0,,1,normuon,1,0
1,saved_segment,adamw,1.0,0.00241745012743792,1,muon,2,0
1,saved_segment,adamw,1.0,0.008935030082955939,1,normuon,2,0
1,saved_segment,muon,1.0,0.409282222143745,1,normuon,2,0
1,cumulative,adamw,1.0,0.00241745012743792,1,muon,2,0
1,cumulative,adamw,1.0,0.008935030082955939,1,normuon,2,0
1,cumulative,muon,1.0,0.409282222143745,1,normuon,2,0
1,saved_segment,adamw,1.0,0.0018573907412295645,1,muon,3,0
1,saved_segment,adamw,1.0,0.007948211845086544,1,normuon,3,0
1,saved_segment,muon,1.0,0.32894537777820404,1,normuon,3,0
1,cumulative,adamw,1.0,0.017279693736912665,1,muon,3,0
1,cumulative,adamw,1.0,0.021728163606990685,1,normuon,3,0
1,cumulative,muon,1.0,0.4184018284274282,1,normuon,3,0
