all_nonzero_pair_subspaces_resolved,defined_parameter_fraction,defined_parameters,defined_tensors,displacement_kind,first_learning_rate,first_optimizer,first_run_id,left_subspace_overlap,mean_subspace_overlap,progress_fraction,resolved_only_mean_subspace_overlap,right_subspace_overlap,second_learning_rate,second_optimizer,second_run_id,stage,step,undefined_boundary_parameters,undefined_signal_rank_parameters,undefined_zero_parameters
True,0.0,0,0,saved_segment,3e-05,adamw,diagnostic-natural-adamw,,,0.3333333333333333,,,0.0003,muon,diagnostic-natural-muon,1,1,0,0,110297088
True,0.0,0,0,saved_segment,3e-05,adamw,diagnostic-natural-adamw,,,0.3333333333333333,,,0.0003,normuon,diagnostic-natural-normuon,1,1,0,0,110297088
True,0.0,0,0,saved_segment,0.0003,muon,diagnostic-natural-muon,,,0.3333333333333333,,,0.0003,normuon,diagnostic-natural-normuon,1,1,0,0,110297088
True,0.0,0,0,cumulative,3e-05,adamw,diagnostic-natural-adamw,,,0.3333333333333333,,,0.0003,muon,diagnostic-natural-muon,1,1,0,0,110297088
True,0.0,0,0,cumulative,3e-05,adamw,diagnostic-natural-adamw,,,0.3333333333333333,,,0.0003,normuon,diagnostic-natural-normuon,1,1,0,0,110297088
True,0.0,0,0,cumulative,0.0003,muon,diagnostic-natural-muon,,,0.3333333333333333,,,0.0003,normuon,diagnostic-natural-normuon,1,1,0,0,110297088
True,1.0,110297088,88,saved_segment,3e-05,adamw,diagnostic-natural-adamw,0.0022402900403502082,0.00241745012743792,0.6666666666666666,0.00241745012743792,0.002594610214525631,0.0003,muon,diagnostic-natural-muon,2,2,0,0,0
True,1.0,110297088,88,saved_segment,3e-05,adamw,diagnostic-natural-adamw,0.011142673538823974,0.008935030082955939,0.6666666666666666,0.008935030082955939,0.0067273866270879034,0.0003,normuon,diagnostic-natural-normuon,2,2,0,0,0
True,1.0,110297088,88,saved_segment,0.0003,muon,diagnostic-natural-muon,0.40525424833082624,0.409282222143745,0.6666666666666666,0.409282222143745,0.41331019595666363,0.0003,normuon,diagnostic-natural-normuon,2,2,0,0,0
True,1.0,110297088,88,cumulative,3e-05,adamw,diagnostic-natural-adamw,0.0022402900403502082,0.00241745012743792,0.6666666666666666,0.00241745012743792,0.002594610214525631,0.0003,muon,diagnostic-natural-muon,2,2,0,0,0
True,1.0,110297088,88,cumulative,3e-05,adamw,diagnostic-natural-adamw,0.011142673538823974,0.008935030082955939,0.6666666666666666,0.008935030082955939,0.0067273866270879034,0.0003,normuon,diagnostic-natural-normuon,2,2,0,0,0
True,1.0,110297088,88,cumulative,0.0003,muon,diagnostic-natural-muon,0.40525424833082624,0.409282222143745,0.6666666666666666,0.409282222143745,0.41331019595666363,0.0003,normuon,diagnostic-natural-normuon,2,2,0,0,0
True,1.0,110297088,88,saved_segment,3e-05,adamw,diagnostic-natural-adamw,0.0017765187831230034,0.0018573907412295645,1.0,0.0018573907412295645,0.0019382626993361255,0.0003,muon,diagnostic-natural-muon,3,3,0,0,0
True,1.0,110297088,88,saved_segment,3e-05,adamw,diagnostic-natural-adamw,0.010169255724790806,0.007948211845086544,1.0,0.007948211845086544,0.005727167965382283,0.0003,normuon,diagnostic-natural-normuon,3,3,0,0,0
True,1.0,110297088,88,saved_segment,0.0003,muon,diagnostic-natural-muon,0.3239133296634475,0.32894537777820404,1.0,0.32894537777820404,0.3339774258929606,0.0003,normuon,diagnostic-natural-normuon,3,3,0,0,0
True,1.0,110297088,88,cumulative,3e-05,adamw,diagnostic-natural-adamw,0.01749542486329106,0.017279693736912665,1.0,0.017279693736912665,0.017063962610534267,0.0003,muon,diagnostic-natural-muon,3,3,0,0,0
True,1.0,110297088,88,cumulative,3e-05,adamw,diagnostic-natural-adamw,0.025343746752046377,0.021728163606990685,1.0,0.021728163606990685,0.018112580461934997,0.0003,normuon,diagnostic-natural-normuon,3,3,0,0,0
True,1.0,110297088,88,cumulative,0.0003,muon,diagnostic-natural-muon,0.41411487754442794,0.4184018284274282,1.0,0.4184018284274282,0.4226887793104285,0.0003,normuon,diagnostic-natural-normuon,3,3,0,0,0
