run_id,optimizer,learning_rate,step,task,ndcg_at_10
verified-v3-adamw-3e-6,adamw,3e-6,3907,ArguAna,0.58676
verified-v3-adamw-3e-6,adamw,3e-6,3907,ClimateFEVER,0.35557
verified-v3-adamw-3e-6,adamw,3e-6,3907,DBPedia,0.27428
verified-v3-adamw-3e-6,adamw,3e-6,3907,FEVER,0.89532
verified-v3-adamw-3e-6,adamw,3e-6,3907,FiQA2018,0.52923
verified-v3-adamw-3e-6,adamw,3e-6,3907,HotpotQA,0.67385
verified-v3-adamw-3e-6,adamw,3e-6,3907,MSMARCO,0.5422
verified-v3-adamw-3e-6,adamw,3e-6,3907,NFCorpus,0.28469
verified-v3-adamw-3e-6,adamw,3e-6,3907,NQ,0.94734
verified-v3-adamw-3e-6,adamw,3e-6,3907,QuoraRetrieval,0.91633
verified-v3-adamw-3e-6,adamw,3e-6,3907,SCIDOCS,0.1475
verified-v3-adamw-3e-6,adamw,3e-6,3907,SciFact,0.86724
verified-v3-adamw-3e-6,adamw,3e-6,3907,TRECCOVID,0.82378
verified-v3-adamw-3e-6,adamw,3e-6,3907,Touche2020,0.32374
verified-v3-adamw-1e-5,adamw,1e-5,3907,ArguAna,0.56881
verified-v3-adamw-1e-5,adamw,1e-5,3907,ClimateFEVER,0.39531
verified-v3-adamw-1e-5,adamw,1e-5,3907,DBPedia,0.27924
verified-v3-adamw-1e-5,adamw,1e-5,3907,FEVER,0.91145
verified-v3-adamw-1e-5,adamw,1e-5,3907,FiQA2018,0.5282
verified-v3-adamw-1e-5,adamw,1e-5,3907,HotpotQA,0.67733
verified-v3-adamw-1e-5,adamw,1e-5,3907,MSMARCO,0.56268
verified-v3-adamw-1e-5,adamw,1e-5,3907,NFCorpus,0.28626
verified-v3-adamw-1e-5,adamw,1e-5,3907,NQ,0.93964
verified-v3-adamw-1e-5,adamw,1e-5,3907,QuoraRetrieval,0.91315
verified-v3-adamw-1e-5,adamw,1e-5,3907,SCIDOCS,0.14828
verified-v3-adamw-1e-5,adamw,1e-5,3907,SciFact,0.86828
verified-v3-adamw-1e-5,adamw,1e-5,3907,TRECCOVID,0.82682
verified-v3-adamw-1e-5,adamw,1e-5,3907,Touche2020,0.33537
verified-v3-muon-3e-4,muon,3e-4,3907,ArguAna,0.56115
verified-v3-muon-3e-4,muon,3e-4,3907,ClimateFEVER,0.41201
verified-v3-muon-3e-4,muon,3e-4,3907,DBPedia,0.27875
verified-v3-muon-3e-4,muon,3e-4,3907,FEVER,0.92221
verified-v3-muon-3e-4,muon,3e-4,3907,FiQA2018,0.53389
verified-v3-muon-3e-4,muon,3e-4,3907,HotpotQA,0.67762
verified-v3-muon-3e-4,muon,3e-4,3907,MSMARCO,0.57093
verified-v3-muon-3e-4,muon,3e-4,3907,NFCorpus,0.2855
verified-v3-muon-3e-4,muon,3e-4,3907,NQ,0.95246
verified-v3-muon-3e-4,muon,3e-4,3907,QuoraRetrieval,0.91276
