run_id,step,task,ndcg_at_10
verified-v3-adamw-3e-6,3126,ArguAna,0.58669
verified-v3-adamw-3e-6,3126,ClimateFEVER,0.35398
verified-v3-adamw-3e-6,3126,DBPedia,0.27368
verified-v3-adamw-3e-6,3126,FEVER,0.89516
verified-v3-adamw-3e-6,3126,FiQA2018,0.52842
verified-v3-adamw-3e-6,3126,HotpotQA,0.67225
verified-v3-adamw-3e-6,3126,MSMARCO,0.54123
verified-v3-adamw-3e-6,3126,NFCorpus,0.28663
verified-v3-adamw-3e-6,3126,NQ,0.94734
verified-v3-adamw-3e-6,3126,QuoraRetrieval,0.91585
verified-v3-adamw-3e-6,3126,SCIDOCS,0.14565
verified-v3-adamw-3e-6,3126,SciFact,0.87624
verified-v3-adamw-3e-6,3126,TRECCOVID,0.82449
verified-v3-adamw-3e-6,3126,Touche2020,0.32866
verified-v3-adamw-1e-5,3126,ArguAna,0.56704
verified-v3-adamw-1e-5,3126,ClimateFEVER,0.39393
verified-v3-adamw-1e-5,3126,DBPedia,0.27775
verified-v3-adamw-1e-5,3126,FEVER,0.91152
verified-v3-adamw-1e-5,3126,FiQA2018,0.52998
verified-v3-adamw-1e-5,3126,HotpotQA,0.67654
verified-v3-adamw-1e-5,3126,MSMARCO,0.56128
verified-v3-adamw-1e-5,3126,NFCorpus,0.286
verified-v3-adamw-1e-5,3126,NQ,0.92545
verified-v3-adamw-1e-5,3126,QuoraRetrieval,0.91342
verified-v3-adamw-1e-5,3126,SCIDOCS,0.14669
verified-v3-adamw-1e-5,3126,SciFact,0.87533
verified-v3-adamw-1e-5,3126,TRECCOVID,0.82613
verified-v3-adamw-1e-5,3126,Touche2020,0.34045
verified-v3-muon-3e-4,3126,ArguAna,0.55472
verified-v3-muon-3e-4,3126,ClimateFEVER,0.41632
verified-v3-muon-3e-4,3126,DBPedia,0.27759
verified-v3-muon-3e-4,3126,FEVER,0.92162
verified-v3-muon-3e-4,3126,FiQA2018,0.54151
verified-v3-muon-3e-4,3126,HotpotQA,0.67577
verified-v3-muon-3e-4,3126,MSMARCO,0.57088
verified-v3-muon-3e-4,3126,NFCorpus,0.28537
verified-v3-muon-3e-4,3126,NQ,0.93964
verified-v3-muon-3e-4,3126,QuoraRetrieval,0.91281
verified-v3-muon-3e-4,3126,SCIDOCS,0.15077
verified-v3-muon-3e-4,3126,SciFact,0.87801
verified-v3-muon-3e-4,3126,TRECCOVID,0.82012
verified-v3-muon-3e-4,3126,Touche2020,0.33394
verified-v3-muon-3e-3,3126,ArguAna,0.4791
verified-v3-muon-3e-3,3126,ClimateFEVER,0.43336
verified-v3-muon-3e-3,3126,DBPedia,0.21533
verified-v3-muon-3e-3,3126,FEVER,0.91593
verified-v3-muon-3e-3,3126,FiQA2018,0.49281
verified-v3-muon-3e-3,3126,HotpotQA,0.61411
verified-v3-muon-3e-3,3126,MSMARCO,0.54616
verified-v3-muon-3e-3,3126,NFCorpus,0.22292
verified-v3-muon-3e-3,3126,NQ,0.91895
verified-v3-muon-3e-3,3126,QuoraRetrieval,0.87158
verified-v3-muon-3e-3,3126,SCIDOCS,0.10529
verified-v3-muon-3e-3,3126,SciFact,0.79575
verified-v3-muon-3e-3,3126,TRECCOVID,0.75227
verified-v3-muon-3e-3,3126,Touche2020,0.31368
verified-v3-normuon-1e-3,3126,ArguAna,0.5416
verified-v3-normuon-1e-3,3126,ClimateFEVER,0.44712
verified-v3-normuon-1e-3,3126,DBPedia,0.26355
verified-v3-normuon-1e-3,3126,FEVER,0.92652
verified-v3-normuon-1e-3,3126,FiQA2018,0.53739
verified-v3-normuon-1e-3,3126,HotpotQA,0.66577
verified-v3-normuon-1e-3,3126,MSMARCO,0.57063
verified-v3-normuon-1e-3,3126,NFCorpus,0.27165
verified-v3-normuon-1e-3,3126,NQ,0.94803
verified-v3-normuon-1e-3,3126,QuoraRetrieval,0.91002
verified-v3-normuon-1e-3,3126,SCIDOCS,0.14263
verified-v3-normuon-1e-3,3126,SciFact,0.8685
verified-v3-normuon-1e-3,3126,TRECCOVID,0.81058
verified-v3-normuon-1e-3,3126,Touche2020,0.3517
verified-v3-normuon-3e-3,3126,ArguAna,0.48975
verified-v3-normuon-3e-3,3126,ClimateFEVER,0.41418
verified-v3-normuon-3e-3,3126,DBPedia,0.21409
verified-v3-normuon-3e-3,3126,FEVER,0.91927
verified-v3-normuon-3e-3,3126,FiQA2018,0.49405
verified-v3-normuon-3e-3,3126,HotpotQA,0.61571
verified-v3-normuon-3e-3,3126,MSMARCO,0.5505
verified-v3-normuon-3e-3,3126,NFCorpus,0.23102
verified-v3-normuon-3e-3,3126,NQ,0.89263
verified-v3-normuon-3e-3,3126,QuoraRetrieval,0.88443
verified-v3-normuon-3e-3,3126,SCIDOCS,0.10282
verified-v3-normuon-3e-3,3126,SciFact,0.84287
verified-v3-normuon-3e-3,3126,TRECCOVID,0.76544
verified-v3-normuon-3e-3,3126,Touche2020,0.30848
