draw,learning_rate,margin,optimizer,relative_margin,relative_shortlist_ndcg,removed_fraction,run_id,shortlist_ndcg,step,task
0,3e-05,0.24614011970376362,adamw,0.9923260636718045,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,ArguAna
0,3e-05,0.012853507869809119,adamw,1.205675465273454,1.041595739971253,0.1,verified-v3-adamw-3e-5,0.7812061324623412,3126,ClimateFEVER
0,3e-05,0.3023196846607463,adamw,1.0038215673371629,0.9769331095982161,0.1,verified-v3-adamw-3e-5,0.9769331095982161,3126,DBPedia
0,3e-05,0.4297945727509983,adamw,0.9955451449279802,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,FEVER
0,3e-05,0.2349888187768957,adamw,1.0161434859110905,1.0236115350940154,0.1,verified-v3-adamw-3e-5,1.0,3126,FiQA2018
0,3e-05,0.29475954665860243,adamw,0.9749136097634999,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,HotpotQA
0,3e-05,0.4531598296193963,adamw,0.9966255101235638,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,MSMARCO
0,3e-05,0.00706775606035206,adamw,1.8767045293577689,0.9679704037102197,0.1,verified-v3-adamw-3e-5,0.6971073569752838,3126,NFCorpus
0,3e-05,0.4407755260634263,adamw,1.0063522343770896,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,NQ
0,3e-05,0.4831766289246024,adamw,0.9830436613928623,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,QuoraRetrieval
0,3e-05,0.10824064093978034,adamw,1.0108335369397043,1.0,0.1,verified-v3-adamw-3e-5,0.86024524972907,3126,SCIDOCS
0,3e-05,0.27229404303771887,adamw,1.0002586578573487,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,SciFact
0,3e-05,0.0816640489357036,adamw,0.9801453019291352,0.9746818938298829,0.1,verified-v3-adamw-3e-5,0.8880158835937564,3126,TRECCOVID
0,3e-05,0.31533236374528084,adamw,0.9941018941259757,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,Touche2020
1,3e-05,0.24984126379336782,adamw,1.0072474090824566,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,ArguAna
1,3e-05,0.01239682769544347,adamw,1.1628382812699527,1.001906131722026,0.1,verified-v3-adamw-3e-5,0.7514385708552056,3126,ClimateFEVER
1,3e-05,0.30071813999989505,adamw,0.9985038022256377,0.9769331095982161,0.1,verified-v3-adamw-3e-5,0.9769331095982161,3126,DBPedia
1,3e-05,0.4306220721062642,adamw,0.9974619047425423,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,FEVER
1,3e-05,0.23147694926749013,adamw,1.0009573875089348,1.0,0.1,verified-v3-adamw-3e-5,0.9769331095982161,3126,FiQA2018
1,3e-05,0.2979497603763846,adamw,0.9854652027713503,0.9769331095982161,0.1,verified-v3-adamw-3e-5,0.9769331095982161,3126,HotpotQA
1,3e-05,0.44965744540896546,adamw,0.9889227853403432,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,MSMARCO
