defined_parameter_fraction,defined_parameters,defined_tensors,displacement_kind,first_learning_rate,first_optimizer,first_run_id,left_subspace_overlap,mean_subspace_overlap,progress_fraction,right_subspace_overlap,second_learning_rate,second_optimizer,second_run_id,stage,step,undefined_zero_parameters
0.0,0,0,saved_segment,3e-05,adamw,diagnostic-natural-adamw,,,0.3333333333333333,,0.0003,muon,diagnostic-natural-muon,1,1,110297088
0.0,0,0,saved_segment,3e-05,adamw,diagnostic-natural-adamw,,,0.3333333333333333,,0.0003,normuon,diagnostic-natural-normuon,1,1,110297088
0.0,0,0,saved_segment,0.0003,muon,diagnostic-natural-muon,,,0.3333333333333333,,0.0003,normuon,diagnostic-natural-normuon,1,1,110297088
0.0,0,0,cumulative,3e-05,adamw,diagnostic-natural-adamw,,,0.3333333333333333,,0.0003,muon,diagnostic-natural-muon,1,1,110297088
0.0,0,0,cumulative,3e-05,adamw,diagnostic-natural-adamw,,,0.3333333333333333,,0.0003,normuon,diagnostic-natural-normuon,1,1,110297088
0.0,0,0,cumulative,0.0003,muon,diagnostic-natural-muon,,,0.3333333333333333,,0.0003,normuon,diagnostic-natural-normuon,1,1,110297088
1.0,110297088,88,saved_segment,3e-05,adamw,diagnostic-natural-adamw,0.015306444238512752,0.014526465232235025,0.6666666666666666,0.0137464862259573,0.0003,muon,diagnostic-natural-muon,2,2,0
1.0,110297088,88,saved_segment,3e-05,adamw,diagnostic-natural-adamw,0.01726183394358598,0.014507926011303648,0.6666666666666666,0.011754018079021319,0.0003,normuon,diagnostic-natural-normuon,2,2,0
1.0,110297088,88,saved_segment,0.0003,muon,diagnostic-natural-muon,0.7069911767135967,0.7042862368139992,0.6666666666666666,0.7015812969144015,0.0003,normuon,diagnostic-natural-normuon,2,2,0
1.0,110297088,88,cumulative,3e-05,adamw,diagnostic-natural-adamw,0.015298363142572144,0.014446935913386073,0.6666666666666666,0.013595508684200001,0.0003,muon,diagnostic-natural-muon,2,2,0
1.0,110297088,88,cumulative,3e-05,adamw,diagnostic-natural-adamw,0.017447330712535004,0.014613805103419537,0.6666666666666666,0.011780279494304071,0.0003,normuon,diagnostic-natural-normuon,2,2,0
1.0,110297088,88,cumulative,0.0003,muon,diagnostic-natural-muon,0.7088144824785345,0.7060664104905358,0.6666666666666666,0.7033183385025371,0.0003,normuon,diagnostic-natural-normuon,2,2,0
1.0,110297088,88,saved_segment,3e-05,adamw,diagnostic-natural-adamw,0.013027817695675528,0.012140234644689104,1.0,0.011252651593702681,0.0003,muon,diagnostic-natural-muon,3,3,0
1.0,110297088,88,saved_segment,3e-05,adamw,diagnostic-natural-adamw,0.01514440828207183,0.01247328008278547,1.0,0.00980215188349911,0.0003,normuon,diagnostic-natural-normuon,3,3,0
1.0,110297088,88,saved_segment,0.0003,muon,diagnostic-natural-muon,0.6512529534452102,0.6520401760537357,1.0,0.6528273986622611,0.0003,normuon,diagnostic-natural-normuon,3,3,0
1.0,110297088,88,cumulative,3e-05,adamw,diagnostic-natural-adamw,0.027919096329354028,0.02681223345661466,1.0,0.025705370583875294,0.0003,muon,diagnostic-natural-muon,3,3,0
1.0,110297088,88,cumulative,3e-05,adamw,diagnostic-natural-adamw,0.028648758416666704,0.02483963516520904,1.0,0.021030511913751375,0.0003,normuon,diagnostic-natural-normuon,3,3,0
1.0,110297088,88,cumulative,0.0003,muon,diagnostic-natural-muon,0.6789671958767795,0.6742641407856966,1.0,0.6695610856946139,0.0003,normuon,diagnostic-natural-normuon,3,3,0
