displacement_kind,next_singular_value,numerical_threshold,parameters,projected_numerical_rank,relative_boundary_gap,retained_frobenius_energy,retained_rank,retained_signal_supported,run_id,smallest_retained_singular_value,stage,step,tensor,zero_displacement
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.0.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.0.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.0.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.0.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.0.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.0.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.0.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.0.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.1.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.1.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.1.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.1.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.1.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.1.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.1.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.1.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.10.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.10.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.10.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.10.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.10.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.10.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.10.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.10.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.11.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.11.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.11.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.11.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.11.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.11.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.11.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.11.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.12.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.12.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.12.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.12.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.12.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.12.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.12.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.12.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.mlp.Wi.weight,True
