run_id,step,task,ndcg_at_10
verified-v3-adamw-3e-6,1563,ArguAna,0.58176
verified-v3-adamw-3e-6,1563,ClimateFEVER,0.32596
verified-v3-adamw-3e-6,1563,DBPedia,0.26873
verified-v3-adamw-3e-6,1563,FEVER,0.88226
verified-v3-adamw-3e-6,1563,FiQA2018,0.51586
verified-v3-adamw-3e-6,1563,HotpotQA,0.67341
verified-v3-adamw-3e-6,1563,MSMARCO,0.53073
verified-v3-adamw-3e-6,1563,NFCorpus,0.28418
verified-v3-adamw-3e-6,1563,NQ,0.94734
verified-v3-adamw-3e-6,1563,QuoraRetrieval,0.91547
verified-v3-adamw-3e-6,1563,SCIDOCS,0.14052
verified-v3-adamw-3e-6,1563,SciFact,0.87803
verified-v3-adamw-3e-6,1563,TRECCOVID,0.81117
verified-v3-adamw-3e-6,1563,Touche2020,0.30127
verified-v3-adamw-1e-5,1563,ArguAna,0.57569
verified-v3-adamw-1e-5,1563,ClimateFEVER,0.38274
verified-v3-adamw-1e-5,1563,DBPedia,0.27711
verified-v3-adamw-1e-5,1563,FEVER,0.90394
verified-v3-adamw-1e-5,1563,FiQA2018,0.51654
verified-v3-adamw-1e-5,1563,HotpotQA,0.67687
verified-v3-adamw-1e-5,1563,MSMARCO,0.55503
verified-v3-adamw-1e-5,1563,NFCorpus,0.28491
verified-v3-adamw-1e-5,1563,NQ,0.92041
verified-v3-adamw-1e-5,1563,QuoraRetrieval,0.91382
verified-v3-adamw-1e-5,1563,SCIDOCS,0.1468
verified-v3-adamw-1e-5,1563,SciFact,0.86828
verified-v3-adamw-1e-5,1563,TRECCOVID,0.83637
verified-v3-adamw-1e-5,1563,Touche2020,0.33254
verified-v3-muon-3e-4,1563,ArguAna,0.56679
verified-v3-muon-3e-4,1563,ClimateFEVER,0.41222
verified-v3-muon-3e-4,1563,DBPedia,0.27637
verified-v3-muon-3e-4,1563,FEVER,0.91748
verified-v3-muon-3e-4,1563,FiQA2018,0.54481
verified-v3-muon-3e-4,1563,HotpotQA,0.67401
verified-v3-muon-3e-4,1563,MSMARCO,0.56601
verified-v3-muon-3e-4,1563,NFCorpus,0.28629
verified-v3-muon-3e-4,1563,NQ,0.93964
verified-v3-muon-3e-4,1563,QuoraRetrieval,0.9114
verified-v3-muon-3e-4,1563,SCIDOCS,0.14531
verified-v3-muon-3e-4,1563,SciFact,0.87567
verified-v3-muon-3e-4,1563,TRECCOVID,0.83288
verified-v3-muon-3e-4,1563,Touche2020,0.34979
verified-v3-muon-3e-3,1563,ArguAna,0.48682
verified-v3-muon-3e-3,1563,ClimateFEVER,0.38845
verified-v3-muon-3e-3,1563,DBPedia,0.19454
verified-v3-muon-3e-3,1563,FEVER,0.91382
verified-v3-muon-3e-3,1563,FiQA2018,0.46302
verified-v3-muon-3e-3,1563,HotpotQA,0.5841
verified-v3-muon-3e-3,1563,MSMARCO,0.51478
verified-v3-muon-3e-3,1563,NFCorpus,0.22213
verified-v3-muon-3e-3,1563,NQ,0.90247
verified-v3-muon-3e-3,1563,QuoraRetrieval,0.8824
verified-v3-muon-3e-3,1563,SCIDOCS,0.09741
verified-v3-muon-3e-3,1563,SciFact,0.81832
verified-v3-muon-3e-3,1563,TRECCOVID,0.71897
verified-v3-muon-3e-3,1563,Touche2020,0.34311
verified-v3-normuon-1e-3,1563,ArguAna,0.54167
verified-v3-normuon-1e-3,1563,ClimateFEVER,0.43778
verified-v3-normuon-1e-3,1563,DBPedia,0.26934
verified-v3-normuon-1e-3,1563,FEVER,0.923
verified-v3-normuon-1e-3,1563,FiQA2018,0.55774
verified-v3-normuon-1e-3,1563,HotpotQA,0.66629
verified-v3-normuon-1e-3,1563,MSMARCO,0.56208
verified-v3-normuon-1e-3,1563,NFCorpus,0.28497
verified-v3-normuon-1e-3,1563,NQ,0.96657
verified-v3-normuon-1e-3,1563,QuoraRetrieval,0.90899
verified-v3-normuon-1e-3,1563,SCIDOCS,0.13882
verified-v3-normuon-1e-3,1563,SciFact,0.85839
verified-v3-normuon-1e-3,1563,TRECCOVID,0.81241
verified-v3-normuon-1e-3,1563,Touche2020,0.36129
verified-v3-normuon-3e-3,1563,ArguAna,0.48244
verified-v3-normuon-3e-3,1563,ClimateFEVER,0.38611
verified-v3-normuon-3e-3,1563,DBPedia,0.20903
verified-v3-normuon-3e-3,1563,FEVER,0.91584
verified-v3-normuon-3e-3,1563,FiQA2018,0.45259
verified-v3-normuon-3e-3,1563,HotpotQA,0.6077
verified-v3-normuon-3e-3,1563,MSMARCO,0.52321
verified-v3-normuon-3e-3,1563,NFCorpus,0.23293
verified-v3-normuon-3e-3,1563,NQ,0.87516
verified-v3-normuon-3e-3,1563,QuoraRetrieval,0.88064
verified-v3-normuon-3e-3,1563,SCIDOCS,0.11789
verified-v3-normuon-3e-3,1563,SciFact,0.83825
verified-v3-normuon-3e-3,1563,TRECCOVID,0.72122
verified-v3-normuon-3e-3,1563,Touche2020,0.3126
