ndcg_at_10,operator,result_path,run_id,seed,state,task
0.54512,adamw,/root/embedding-optimizer-v3-experiment/evaluations/dense-v3-state-operator-v1/factorial-v3-adamw_state-adamw-seed314159/checkpoint-391/dense/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/results/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/local/ArguAnaDecontaminated.json,factorial-v3-adamw_state-adamw-seed314159,314159,adamw_state,ArguAna
0.41144,adamw,/root/embedding-optimizer-v3-experiment/evaluations/dense-v3-state-operator-v1/factorial-v3-adamw_state-adamw-seed314159/checkpoint-391/dense/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/results/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/local/ClimateFEVERDecontaminated.json,factorial-v3-adamw_state-adamw-seed314159,314159,adamw_state,ClimateFEVER
0.26039,adamw,/root/embedding-optimizer-v3-experiment/evaluations/dense-v3-state-operator-v1/factorial-v3-adamw_state-adamw-seed314159/checkpoint-391/dense/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/results/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/local/DBPediaDecontaminated.json,factorial-v3-adamw_state-adamw-seed314159,314159,adamw_state,DBPedia
0.92415,adamw,/root/embedding-optimizer-v3-experiment/evaluations/dense-v3-state-operator-v1/factorial-v3-adamw_state-adamw-seed314159/checkpoint-391/dense/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/results/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/local/FEVERDecontaminated.json,factorial-v3-adamw_state-adamw-seed314159,314159,adamw_state,FEVER
0.52919,adamw,/root/embedding-optimizer-v3-experiment/evaluations/dense-v3-state-operator-v1/factorial-v3-adamw_state-adamw-seed314159/checkpoint-391/dense/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/results/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/local/FiQA2018Decontaminated.json,factorial-v3-adamw_state-adamw-seed314159,314159,adamw_state,FiQA2018
0.66727,adamw,/root/embedding-optimizer-v3-experiment/evaluations/dense-v3-state-operator-v1/factorial-v3-adamw_state-adamw-seed314159/checkpoint-391/dense/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/results/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/local/HotpotQADecontaminated.json,factorial-v3-adamw_state-adamw-seed314159,314159,adamw_state,HotpotQA
0.55882,adamw,/root/embedding-optimizer-v3-experiment/evaluations/dense-v3-state-operator-v1/factorial-v3-adamw_state-adamw-seed314159/checkpoint-391/dense/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/results/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/local/MSMARCODecontaminated.json,factorial-v3-adamw_state-adamw-seed314159,314159,adamw_state,MSMARCO
0.27967,adamw,/root/embedding-optimizer-v3-experiment/evaluations/dense-v3-state-operator-v1/factorial-v3-adamw_state-adamw-seed314159/checkpoint-391/dense/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/results/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/local/NFCorpusDecontaminated.json,factorial-v3-adamw_state-adamw-seed314159,314159,adamw_state,NFCorpus
0.93827,adamw,/root/embedding-optimizer-v3-experiment/evaluations/dense-v3-state-operator-v1/factorial-v3-adamw_state-adamw-seed314159/checkpoint-391/dense/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/results/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/local/NQDecontaminated.json,factorial-v3-adamw_state-adamw-seed314159,314159,adamw_state,NQ
0.91244,adamw,/root/embedding-optimizer-v3-experiment/evaluations/dense-v3-state-operator-v1/factorial-v3-adamw_state-adamw-seed314159/checkpoint-391/dense/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/results/factorial-v3-adamw_state-adamw-seed314159__checkpoint-391/local/QuoraRetrievalDecontaminated.json,factorial-v3-adamw_state-adamw-seed314159,314159,adamw_state,QuoraRetrieval
