family,anchor,condition,algorithm,direction,relative_scale,samples,contrastive_loss,delta_contrastive_loss,positive_score,delta_positive_score,hardest_negative_score,delta_hardest_negative_score,positive_margin,delta_positive_margin,reciprocal_rank,delta_reciprocal_rank,top1_accuracy,delta_top1_accuracy,loss_improvement_rate
dense,dense/pretrained,adamw-descent-1e-04,adamw,descent,0.0001,224,0.9133538699534256,-0.00829268671805039,0.5560128348214286,0.00115966796875,0.5363682338169643,0.0007498604910714286,0.019644601004464284,0.00040980747767857144,0.7747874160829399,-0.000148809514939785,0.6383928571428571,0.0,0.5089285714285714
dense,dense/pretrained,adamw-descent-3e-04,adamw,descent,0.0003,224,0.9026864271186891,-0.018960129552786902,0.5577741350446429,0.0029209681919642855,0.5377894810267857,0.002171107700892857,0.019984654017857144,0.0007498604910714286,0.7788052734519754,0.0038690478540956974,0.6473214285714286,0.008928571428571428,0.6071428571428571
dense,dense/pretrained,adamw-descent-1e-03,adamw,descent,0.001,224,0.8731082792801317,-0.04853827739134431,0.5636771065848214,0.008823939732142858,0.5424281529017857,0.006809779575892857,0.021248953683035716,0.00201416015625,0.7845663277964506,0.009630102198570967,0.6517857142857143,0.013392857142857142,0.5892857142857143
dense,dense/pretrained,adamw-sign-reversal-1e-03,adamw,sign_reversal,0.001,224,0.985967847745217,0.06432129107374099,0.54498291015625,-0.009870256696428572,0.5281720842633929,-0.0074462890625,0.016810825892857144,-0.0024239676339285715,0.7602784874449883,-0.014657738152891397,0.6160714285714286,-0.022321428571428572,0.36160714285714285
dense,dense/pretrained,muon-descent-1e-04,muon,descent,0.0001,224,0.9134998809043152,-0.008146675767160818,0.5553414481026786,0.00048828125,0.5359061104910714,0.00028773716517857144,0.019435337611607144,0.00020054408482142856,0.7725871611120445,-0.0023490644858351777,0.6339285714285714,-0.004464285714285714,0.44642857142857145
dense,dense/pretrained,muon-descent-3e-04,muon,descent,0.0003,224,0.9137790183262301,-0.00786753834524591,0.5562220982142857,0.0013689313616071428,0.5366734095982143,0.0010550362723214285,0.019548688616071428,0.0003138950892857143,0.7755739806619074,0.00063775506402765,0.6428571428571429,0.004464285714285714,0.5178571428571429
dense,dense/pretrained,muon-descent-1e-03,muon,descent,0.001,224,0.8940840324191542,-0.027562524252321703,0.5592389787946429,0.004385811941964286,0.5390625,0.003444126674107143,0.020176478794642856,0.0009416852678571429,0.7779868208537144,0.0030505952558347155,0.6428571428571429,0.004464285714285714,0.5803571428571429
dense,dense/pretrained,muon-sign-reversal-1e-03,muon,sign_reversal,0.001,224,0.9474581056108166,0.025811548939340616,0.5511823381696429,-0.0036708286830357145,0.5330810546875,-0.002537318638392857,0.018101283482142856,-0.0011335100446428572,0.7694302731459695,-0.005505952451910291,0.6294642857142857,-0.008928571428571428,0.39732142857142855
dense,dense/pretrained,normuon-descent-1e-04,normuon,descent,0.0001,224,0.9177867989326062,-0.00385975773886977,0.5553501674107143,0.0004970005580357143,0.5360194614955357,0.00040108816964285713,0.019330705915178572,9.591238839285714e-05,0.7794005113786885,0.0044642857808087555,0.6473214285714286,0.008928571428571428,0.4375
dense,dense/pretrained,normuon-descent-3e-04,normuon,descent,0.0003,224,0.9122589814692869,-0.00938757520218912,0.5562831333705357,0.0014299665178571428,0.5367606026785714,0.0011422293526785715,0.019522530691964284,0.00028773716517857144,0.7724489806486028,-0.0024872449492769583,0.6294642857142857,-0.008928571428571428,0.5446428571428571
dense,dense/pretrained,normuon-descent-1e-03,normuon,descent,0.001,224,0.9008525139860077,-0.02079404268546828,0.5589861188616071,0.004132952008928571,0.53912353515625,0.003505161830357143,0.019862583705357144,0.0006277901785714286,0.7833864807949534,0.008450255197073733,0.6517857142857143,0.013392857142857142,0.5535714285714286
dense,dense/pretrained,normuon-sign-reversal-1e-03,normuon,sign_reversal,0.001,224,0.9486663112786898,0.027019754607213793,0.5515223911830357,-0.003330775669642857,0.5331856863839286,-0.0024326869419642855,0.018336704799107144,-0.0008980887276785714,0.7703975349930781,-0.0045386906048016885,0.6294642857142857,-0.008928571428571428,0.41964285714285715
dense,dense/adamw-lr1e-5/checkpoint-782,adamw-descent-1e-04,adamw,descent,0.0001,224,0.6600642231881336,0.00492081879584865,0.6234305245535714,-0.00033133370535714287,0.5876116071428571,0.0001220703125,0.03581891741071429,-0.00045340401785714287,0.8557716844204281,0.0014136903254049166,0.7678571428571429,0.004464285714285714,0.47767857142857145
dense,dense/adamw-lr1e-5/checkpoint-782,adamw-descent-3e-04,adamw,descent,0.0003,224,0.6593037616060299,0.004160357213744906,0.6231689453125,-0.0005929129464285714,0.587158203125,-0.00033133370535714287,0.0360107421875,-0.00026157924107142856,0.8615752557691719,0.007217261674148696,0.7767857142857143,0.013392857142857142,0.4419642857142857
dense,dense/adamw-lr1e-5/checkpoint-782,adamw-descent-1e-03,adamw,descent,0.001,224,0.6602923407060318,0.005148936313746942,0.6222272600446429,-0.0015345982142857143,0.5865129743303571,-0.0009765625,0.03571428571428571,-0.0005580357142857143,0.8454294225334057,-0.008928571561617511,0.7455357142857143,-0.017857142857142856,0.4419642857142857
dense,dense/adamw-lr1e-5/checkpoint-782,adamw-sign-reversal-1e-03,adamw,sign_reversal,0.001,224,0.6856046384843596,0.030461234092074716,0.6242937360491071,0.0005318777901785714,0.5892769949776786,0.0017874581473214285,0.03501674107142857,-0.0012555803571428572,0.860831208194473,0.006473214099449771,0.78125,0.017857142857142856,0.35714285714285715
dense,dense/adamw-lr1e-5/checkpoint-782,muon-descent-1e-04,muon,descent,0.0001,224,0.6609384903224834,0.005795085930198444,0.6237444196428571,-1.743861607142857e-05,0.5878731863839286,0.00038364955357142856,0.03587123325892857,-0.00040108816964285713,0.8522746609523892,-0.002083333142633949,0.7633928571428571,0.0,0.42857142857142855
dense,dense/adamw-lr1e-5/checkpoint-782,muon-descent-3e-04,muon,descent,0.0003,224,0.6582878233382091,0.0031444189459242417,0.6232212611607143,-0.0005405970982142857,0.5872453962053571,-0.000244140625,0.035975864955357144,-0.0002964564732142857,0.8533907322479146,-0.0009672618471086025,0.7633928571428571,0.0,0.5133928571428571
dense,dense/adamw-lr1e-5/checkpoint-782,muon-descent-1e-03,muon,descent,0.001,224,0.6511984056508352,-0.003944998741449776,0.62371826171875,-4.359654017857143e-05,0.5874982561383929,8.719308035714285e-06,0.036220005580357144,-5.231584821428571e-05,0.8577062082476914,0.0033482141526682036,0.7678571428571429,0.004464285714285714,0.46875
dense,dense/adamw-lr1e-5/checkpoint-782,muon-sign-reversal-1e-03,muon,sign_reversal,0.001,224,0.6726919022099277,0.017548497817642783,0.6249825613839286,0.001220703125,0.5895560128348214,0.0020664760044642855,0.035426548549107144,-0.0008457728794642857,0.8536883512777942,-0.0006696428172290325,0.7633928571428571,0.0,0.3794642857142857
dense,dense/adamw-lr1e-5/checkpoint-782,normuon-descent-1e-04,normuon,descent,0.0001,224,0.6580078628248884,0.0028644584326035067,0.6234915597098214,-0.00027029854910714287,0.58740234375,-8.719308035714286e-05,0.03608921595982143,-0.00018310546875,0.8537627561017871,-0.0005952379932360989,0.7633928571428571,0.0,0.45982142857142855
