family,algorithm,direction,relative_scale,anchors,mean_anchor_delta_contrastive_loss,median_anchor_delta_contrastive_loss,mean_anchor_delta_positive_score,median_anchor_delta_positive_score,mean_anchor_delta_hardest_negative_score,median_anchor_delta_hardest_negative_score,mean_anchor_delta_positive_margin,median_anchor_delta_positive_margin,mean_anchor_delta_reciprocal_rank,median_anchor_delta_reciprocal_rank,mean_anchor_delta_top1_accuracy,median_anchor_delta_top1_accuracy,anchors_with_lower_loss_fraction,mean_sample_loss_improvement_rate
dense,adamw,descent,0.0001,10,-0.0012729571629977597,-0.001730471643083677,-8.457728794642857e-05,-0.00024850027901785713,-0.00017874581473214285,-0.0003792898995535714,9.416852678571429e-05,0.00013078962053571428,0.00019345236942172053,-0.00011160706968179772,0.0004464285714285714,0.0,0.6,0.5084821428571429
dense,adamw,descent,0.0003,10,-0.004815170976218854,-0.005125867136549849,-0.00035836356026785717,-0.0008108956473214285,-0.0006583077566964286,-0.0012642996651785715,0.00029994419642857145,0.000335693359375,0.0010193452105990478,0.0002976189966180495,0.0004464285714285714,-0.002232142857142857,0.9,0.5513392857142857
dense,adamw,descent,0.001,10,-0.013467464607885763,-0.010341368654979175,-0.0009076799665178571,-0.001918247767857143,-0.0017726353236607144,-0.0035531180245535715,0.0008649553571428572,0.00067138671875,0.003195153030433825,0.006138392890404377,0.004910714285714286,0.006696428571428571,0.9,0.5736607142857143
dense,adamw,sign_reversal,0.001,10,0.023165585590808342,0.021633766452980905,0.0014151436941964286,0.002768380301339286,0.0028372628348214287,0.004895891462053572,-0.001422119140625,-0.001312255859375,-0.004017857109595622,-0.0030505951893116745,-0.004910714285714286,-0.004464285714285714,0.0,0.35
dense,muon,descent,0.0001,10,-0.0015396561132417575,-0.001891856003648432,6.365094866071429e-05,1.307896205357143e-05,-2.528599330357143e-05,-4.795619419642857e-05,8.893694196428571e-05,0.00014386858258928572,-0.0006738945309604918,-0.0005952380264976195,-0.0017857142857142857,0.0,0.7,0.4625
dense,muon,descent,0.0003,10,-0.002351422088980014,-0.001902269385157394,-0.00031476702008928573,-0.0004752022879464286,-0.0004438127790178571,-0.0004795619419642857,0.00012904575892857143,0.00010899135044642856,0.0006069302891514132,0.001062925173235791,0.0017857142857142857,0.002232142857142857,0.8,0.5267857142857143
dense,muon,descent,0.001,10,-0.009896580796472725,-0.009362989869129836,-0.0009722028459821428,-0.0011509486607142857,-0.0015337262834821427,-0.001861572265625,0.0005615234375,0.0006059919084821429,0.0024702380677419046,0.0033482142191912445,0.003125,0.004464285714285714,0.9,0.5705357142857144
dense,muon,sign_reversal,0.001,10,0.010866852886350184,0.011724251112809725,0.0016706194196428573,0.0018092564174107143,0.002422223772321429,0.0027335030691964285,-0.0007516043526785714,-0.0007803780691964285,-0.00241815473751298,-0.0024925595415490015,-0.004464285714285714,-0.004464285714285714,0.1,0.3767857142857143
dense,normuon,descent,0.0001,10,-0.000777799443780428,-0.0013429719372197724,-7.847377232142858e-05,-0.00010027204241071428,-0.00011160714285714285,-0.00016130719866071428,3.313337053571429e-05,3.923688616071428e-05,-8.503398858010765e-05,-0.00048363092355430126,-0.0004464285714285714,0.0,0.5,0.45714285714285713
dense,normuon,descent,0.0003,10,-0.0006589593951925313,-0.0002381099067341503,-0.0002842494419642857,-0.00043596540178571425,-0.000347900390625,-0.00046212332589285713,6.365094866071429e-05,0.00011335100446428572,-7.759355274694312e-05,3.7202345473425706e-05,-0.0017857142857142857,-0.002232142857142857,0.6,0.5151785714285715
dense,normuon,descent,0.001,10,-0.009127954271665269,-0.008131549928017583,-0.0006330217633928572,-0.0009722028459821428,-0.0011308942522321429,-0.0016959054129464285,0.0004978724888392857,0.0005754743303571428,0.0037393706917230574,0.0041294641393635955,0.005357142857142857,0.004464285714285714,0.9,0.5683035714285715
