family,anchor,challenger,reference,direction,relative_scale,samples,delta_delta_contrastive_loss,delta_delta_positive_score,delta_delta_hardest_negative_score,delta_delta_positive_margin,delta_delta_reciprocal_rank,delta_delta_top1_accuracy
dense,dense/pretrained,muon,adamw,descent,0.0001,224,0.00014601095088957145,-0.00067138671875,-0.00046212332589285713,-0.00020926339285714285,-0.0022002549708953927,-0.004464285714285714
dense,dense/pretrained,muon,adamw,descent,0.0003,224,0.011092591207540994,-0.0015520368303571428,-0.0011160714285714285,-0.0004359654017857143,-0.003231292790068047,-0.004464285714285714
dense,dense/pretrained,muon,adamw,descent,0.001,224,0.020975753139022606,-0.004438127790178571,-0.0033656529017857145,-0.0010724748883928572,-0.006579506942736251,-0.008928571428571428
dense,dense/pretrained,muon,adamw,sign_reversal,0.001,224,-0.03850974213440038,0.006199428013392857,0.004908970424107143,0.0012904575892857143,0.009151785700981106,0.013392857142857142
dense,dense/pretrained,normuon,adamw,descent,0.0001,224,0.00443292897918062,-0.0006626674107142857,-0.00034877232142857144,-0.0003138950892857143,0.0046130952957485405,0.008928571428571428
dense,dense/pretrained,normuon,adamw,descent,0.0003,224,0.009572554350597784,-0.0014910016741071428,-0.0010288783482142857,-0.00046212332589285713,-0.006356292803372655,-0.017857142857142856
dense,dense/pretrained,normuon,adamw,descent,0.001,224,0.027744234705876027,-0.004690987723214286,-0.0033046177455357145,-0.0013863699776785715,-0.0011798470014972346,0.0
dense,dense/pretrained,normuon,adamw,sign_reversal,0.001,224,-0.037301536466527195,0.006539481026785714,0.005013602120535714,0.00152587890625,0.010119047548089708,0.013392857142857142
dense,dense/adamw-lr1e-5/checkpoint-782,muon,adamw,descent,0.0001,224,0.0008742671343497932,0.0003138950892857143,0.00026157924107142856,5.231584821428571e-05,-0.0034970234680388656,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-782,muon,adamw,descent,0.0003,224,-0.0010159382678206644,5.231584821428571e-05,8.719308035714286e-05,-3.487723214285714e-05,-0.008184523521257299,-0.013392857142857142
dense,dense/adamw-lr1e-5/checkpoint-782,muon,adamw,descent,0.001,224,-0.009093935055196718,0.0014910016741071428,0.0009852818080357143,0.0005057198660714286,0.012276785714285714,0.022321428571428572
dense,dense/adamw-lr1e-5/checkpoint-782,muon,adamw,sign_reversal,0.001,224,-0.012912736274431933,0.0006888253348214286,0.00027901785714285713,0.00040980747767857144,-0.0071428569166788036,-0.017857142857142856
dense,dense/adamw-lr1e-5/checkpoint-782,normuon,adamw,descent,0.0001,224,-0.0020563603632451433,6.103515625e-05,-0.00020926339285714285,0.00027029854910714287,-0.0020089283186410156,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-782,normuon,adamw,descent,0.0003,224,-0.0018800562387306335,0.00017438616071428572,0.00030517578125,-0.00013078962053571428,-0.002083333142633949,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-782,normuon,adamw,descent,0.001,224,-0.012867295383070345,0.00177001953125,0.00091552734375,0.0008544921875,0.01711309528244393,0.03125
dense,dense/adamw-lr1e-5/checkpoint-782,normuon,adamw,sign_reversal,0.001,224,-0.012320323386510219,0.0005580357142857143,0.00027901785714285713,0.00027901785714285713,-0.0029017854082797256,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,muon,adamw,descent,0.0001,224,-1.705348621986299e-05,0.00045340401785714287,0.00044468470982142856,8.719308035714285e-06,-0.0007440477077450071,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,muon,adamw,descent,0.0003,224,0.0008693040068205196,0.0017002650669642857,0.0016566685267857143,4.359654017857143e-05,0.0008184524652148996,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,muon,adamw,descent,0.001,224,-0.007325492177317626,0.002223423549107143,0.0019095284598214285,0.0003138950892857143,-0.0003720237873494625,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,muon,adamw,sign_reversal,0.001,224,0.008582256617760972,-0.002040318080357143,-0.0020751953125,3.487723214285714e-05,-0.003943452478519508,-0.008928571428571428
dense,dense/adamw-lr1e-5/checkpoint-2345,normuon,adamw,descent,0.0001,224,-0.00141641416715694,0.00030517578125,0.00026157924107142856,4.359654017857143e-05,-0.003199404837297542,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,normuon,adamw,descent,0.0003,224,0.007701308029222024,0.0012119838169642857,0.0013602120535714285,-0.00014822823660714285,-0.0015625000399138247,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,normuon,adamw,descent,0.001,224,-0.005318055988417265,0.0035574776785714285,0.003574916294642857,-1.743861607142857e-05,-7.44047574698925e-05,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,normuon,adamw,sign_reversal,0.001,224,-0.004042019112895494,-0.002598353794642857,-0.003025599888392857,0.00042724609375,-0.0026041667110153605,-0.008928571428571428
dense,dense/adamw-lr1e-5/checkpoint-3907,muon,adamw,descent,0.0001,224,0.003016907393186687,0.0005144391741071429,0.0006277901785714286,-0.00011335100446428572,-0.0050595237075218135,-0.008928571428571428
dense,dense/adamw-lr1e-5/checkpoint-3907,muon,adamw,descent,0.0003,224,-0.0009529498703873937,0.0008806501116071429,0.0009068080357142857,-2.6157924107142856e-05,0.002232142857142857,0.004464285714285714
