model_family,learning_rate,task,adamw_ndcg_at_10,hybrid_adamw_ndcg_at_10,hybrid_minus_adamw,adamw_result_path,hybrid_result_path
dense,1e-06,ArguAna,0.58195,0.58224,0.00029000000000001247,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/ArguAnaDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/ArguAnaDecontaminated.json
dense,1e-06,ClimateFEVER,0.2919,0.29263,0.0007300000000000084,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/ClimateFEVERDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/ClimateFEVERDecontaminated.json
dense,1e-06,DBPedia,0.26995,0.27178,0.0018299999999999983,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/DBPediaDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/DBPediaDecontaminated.json
dense,1e-06,FEVER,0.85969,0.86142,0.0017300000000000093,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/FEVERDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/FEVERDecontaminated.json
dense,1e-06,FiQA2018,0.51891,0.5172,-0.0017099999999999893,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/FiQA2018Decontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/FiQA2018Decontaminated.json
dense,1e-06,HotpotQA,0.66812,0.66899,0.0008699999999999264,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/HotpotQADecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/HotpotQADecontaminated.json
dense,1e-06,MSMARCO,0.51277,0.51495,0.0021800000000000708,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/MSMARCODecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/MSMARCODecontaminated.json
dense,1e-06,NFCorpus,0.29022,0.28661,-0.003610000000000002,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/NFCorpusDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/NFCorpusDecontaminated.json
dense,1e-06,NQ,0.93315,0.93315,0.0,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/NQDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/NQDecontaminated.json
dense,1e-06,QuoraRetrieval,0.91477,0.91497,0.00019999999999997797,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/QuoraRetrievalDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
