model_family,scope,optimizer,analysis,bridge,predictor,outcome,observations,spearman_rho
dense,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,60,0.042678521811614335
dense,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,60,-0.23312031119755489
dense,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,60,-0.18866351764378994
dense,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,60,-0.05701583773270353
dense,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,60,-0.12008891358710753
dense,all_optimizers,all,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,60,0.04612392331203112
dense,all_optimizers,all,checkpoint_levels,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,60,-0.8485134759655459
dense,all_optimizers,all,checkpoint_levels,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,60,0.5731592108919145
dense,all_optimizers,all,checkpoint_levels,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,60,0.625340372325646
dense,all_optimizers,all,checkpoint_levels,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,60,0.8851347596554598
dense,all_optimizers,all,checkpoint_levels,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,60,0.7788274520700195
dense,all_optimizers,all,checkpoint_levels,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,60,-0.017782717421505972
dense,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,48,0.5531914893617021
dense,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,48,0.19745983499782893
dense,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,48,-0.06708640903169778
dense,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,48,0.22058184976118106
dense,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,48,-0.05525401650021711
dense,all_optimizers,all,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,48,0.19669995657837602
dense,all_optimizers,all,within_run_first_differences,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,48,-0.6842162396873643
dense,all_optimizers,all,within_run_first_differences,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,48,0.5048849326964828
dense,all_optimizers,all,within_run_first_differences,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,48,-0.1532783326096396
dense,all_optimizers,all,within_run_first_differences,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,48,0.5311550151975684
dense,all_optimizers,all,within_run_first_differences,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,48,-0.026812852800694745
dense,all_optimizers,all,within_run_first_differences,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,48,0.182370820668693
dense,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,20,0.9849624060150376
dense,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,20,0.9789473684210527
dense,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,20,-0.8962406015037594
dense,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,20,-0.9233082706766917
dense,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,20,-0.8195488721804511
dense,optimizer,adamw,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,20,-0.869172932330827
dense,optimizer,adamw,checkpoint_levels,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,20,-0.9548872180451128
dense,optimizer,adamw,checkpoint_levels,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,20,0.9639097744360903
dense,optimizer,adamw,checkpoint_levels,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,0.7593984962406015
dense,optimizer,adamw,checkpoint_levels,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,20,0.9714285714285714
dense,optimizer,adamw,checkpoint_levels,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,0.9097744360902256
dense,optimizer,adamw,checkpoint_levels,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,20,0.9609022556390977
dense,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,16,0.8676470588235294
dense,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,16,0.34411764705882353
dense,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,16,-0.08529411764705883
dense,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,16,0.31470588235294117
dense,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,16,-0.029411764705882353
dense,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,16,0.3205882352941177
dense,optimizer,adamw,within_run_first_differences,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,16,-0.8058823529411765
dense,optimizer,adamw,within_run_first_differences,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,16,0.5352941176470588
dense,optimizer,adamw,within_run_first_differences,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,0.1588235294117647
dense,optimizer,adamw,within_run_first_differences,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,16,0.5852941176470589
dense,optimizer,adamw,within_run_first_differences,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,0.12941176470588237
dense,optimizer,adamw,within_run_first_differences,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,16,0.8764705882352941
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,20,-0.3293233082706767
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,20,-0.7323308270676692
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,20,0.10075187969924812
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,20,0.5714285714285714
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,20,0.3037593984962406
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,20,0.7263157894736842
dense,optimizer,muon,checkpoint_levels,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,20,-0.8210526315789474
dense,optimizer,muon,checkpoint_levels,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,20,0.4180451127819549
dense,optimizer,muon,checkpoint_levels,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,0.6586466165413534
dense,optimizer,muon,checkpoint_levels,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,20,0.8
