model_family,optimizer,learning_rate,run_id,stage,fraction,step,previous_stage,previous_fraction,previous_step,delta_mean_training_loss,delta_weight_frobenius_norm,delta_reference_displacement_frobenius_norm,delta_previous_checkpoint_displacement_frobenius_norm,delta_reference_displacement_to_weight_ratio,delta_weight_row_cv_parameter_weighted,delta_reference_delta_row_cv_parameter_weighted,delta_weight_top_1pct_row_energy_parameter_weighted,delta_reference_delta_top_1pct_row_energy_parameter_weighted,delta_training_margin_mean,delta_training_margin_median,delta_training_top1_accuracy,delta_training_mean_reciprocal_rank,delta_training_reference_mean_top_k_overlap,delta_training_reference_top1_agreement,delta_training_reference_score_drift_rms,delta_training_query_normalized_effective_rank,delta_training_document_normalized_effective_rank,delta_training_token_evidence_entropy_mean,delta_training_token_evidence_gini_mean,delta_training_document_token_coverage_mean,delta_training_repeated_token_dominance_mean,delta_unseen_margin_mean,delta_unseen_margin_median,delta_unseen_top1_accuracy,delta_unseen_mean_reciprocal_rank,delta_unseen_reference_mean_top_k_overlap,delta_unseen_reference_top1_agreement,delta_unseen_reference_score_drift_rms,delta_unseen_query_normalized_effective_rank,delta_unseen_document_normalized_effective_rank,delta_unseen_token_evidence_entropy_mean,delta_unseen_token_evidence_gini_mean,delta_unseen_document_token_coverage_mean,delta_unseen_repeated_token_dominance_mean,delta_mean_beir_ndcg_at_10
dense,adamw,1e-05,adamw-lr1e-5,2,0.4,1563,1,0.2,782,-0.06513161182403565,-0.08351332429651848,1.21298181382581,,0.0010143190039910302,5.400545377121091e-06,-0.015600378709760582,2.12772843990669e-06,-0.0024757032073476418,0.005753137171268463,0.0030308812856674194,0.0263671875,0.016225993633270264,-0.0234375,0.001953125,0.006668180227279663,-0.0007873376210530414,-0.005926688512166323,,,,,0.006325572729110718,0.013522937893867493,0.0,0.0002231597900390625,-0.014880952380952439,-0.017857134342193604,0.006539009511470795,0.00013472894916610745,-0.0012907981872558594,,,,,0.004435714285714321
dense,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,2,0.4,1563,-0.029674301147460946,-0.06879921265795019,0.5924207148068001,-0.7469052923255459,0.0004955449852575831,3.2955471844786643e-06,-0.006101256943641498,1.0300527281924265e-06,-0.0010683250010890127,0.0038494542241096497,0.003069639205932617,0.0068359375,0.004687488079071045,-0.0032552083333332593,0.0029296875,0.00407816469669342,-0.00030493736267089844,0.0012057224909464148,,,,,0.0038420408964157104,0.0030341148376464844,0.004464268684387207,0.003204643726348877,0.011904761904761973,-0.008928537368774414,0.002452980726957321,0.0010752998659964152,0.0008571147918701172,,,,,0.00022857142857146684
dense,adamw,1e-05,adamw-lr1e-5,4,0.8,3126,3,0.6,2345,-0.02540055751800535,-0.01424857996562423,0.28069507845173813,-0.6222524595752323,0.00023474530059190007,1.726881227376298e-06,-0.0009519317869674804,5.204997518479249e-07,-0.0001379455375002045,0.0018632486462593079,0.0020255297422409058,0.005859375,0.003092467784881592,-0.0013020833333333703,-0.001953125,0.0013300031423568726,0.0015705426534016742,0.0015459060668945312,,,,,0.0010159313678741455,0.0034157633781433105,0.0,-0.000558018684387207,-0.0014880952380953438,0.0,0.0005802549421787262,0.0009650670894058022,0.0005637605985005512,,,,,0.0021057142857142663
dense,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,4,0.8,3126,0.010641529560089125,-0.0004144323311265907,0.07805795104425162,-0.6138326786546835,6.526733321663043e-05,7.98158387466108e-07,0.00046691850305879967,2.1004561275364542e-07,7.0767671387785e-05,5.4210424423217773e-05,0.0005782097578048706,-0.0029296875,-0.0014974474906921387,-0.0016276041666666297,0.0,6.788969039916992e-05,-0.00039255619049072266,-0.0012314319610595703,,,,,0.0005227029323577881,0.0006185173988342285,0.0,0.00014889240264892578,-0.005952380952380931,0.0,0.00055665522813797,-0.00016839408019198032,-0.0008696118990580148,,,,,-0.0005307142857142733
dense,adamw,1e-06,adamw-lr1e-6,2,0.4,1563,1,0.2,782,-0.13893304347991942,-0.0022332223945795704,0.43640209207546643,,0.00036481285114432435,1.14506857601393e-06,0.020324170987873813,4.427168856964425e-07,0.005450934893825157,0.009345978498458862,0.009139060974121094,0.041015625,0.023909449577331543,-0.05143229166666674,-0.0478515625,0.01404290460050106,0.009437243143717411,0.00030350685119628906,,,,,0.005815044045448303,0.0007100105285644531,0.0,0.000558018684387207,-0.03720238095238104,-0.013392865657806396,0.00800570473074913,0.0063180966227578406,0.003643890221913665,,,,,0.013159285714285818
dense,adamw,1e-06,adamw-lr1e-6,3,0.6,2345,2,0.4,1563,-0.07577216625213623,-0.001331346278448109,0.24522742593902258,-0.20069735724077692,0.00020499995536403244,7.903492227345765e-07,0.009188543029009955,3.0857655294522224e-07,0.002733830865572162,0.004683308303356171,0.0018326491117477417,0.0126953125,0.008293747901916504,-0.01888020833333326,-0.013671875,0.007105451077222824,0.004365603129069029,-0.002173185348510742,,,,,0.0032129883766174316,0.0042048245668411255,0.0,-0.0011957883834838867,-0.014880952380952439,0.0,0.004420442506670952,0.0024761661820348335,0.0011290907859802246,,,,,0.0055557142857142194
dense,adamw,1e-06,adamw-lr1e-6,4,0.8,3126,3,0.6,2345,-0.03676054477691659,-0.0007677379453525646,0.12906082432638888,-0.14161708170937407,0.00010788974918224869,4.7397844613050744e-07,0.005265027882262352,1.8277828068430368e-07,0.001504098284332192,0.002215646207332611,0.0014211907982826233,0.01171875,0.005752503871917725,-0.00944010416666674,-0.0087890625,0.003718692809343338,0.0021562576293945312,-0.0011047919591267163,,,,,0.0018911510705947876,0.004358619451522827,0.004464328289031982,0.0035766959190368652,-0.0014880952380951218,0.0,0.0021640416234731674,0.0012344565626751791,0.000605165958404541,,,,,0.0024571428571428244
dense,adamw,1e-06,adamw-lr1e-6,5,1.0,3907,4,0.8,3126,0.007120218276977619,-0.00021674873687516083,0.040168592361482514,-0.11932501992796765,3.3579360186847306e-05,1.3264623238695705e-07,0.0017550068105605665,4.3677534651564986e-08,0.0004484377263542158,0.0007117539644241333,0.0003254339098930359,0.0068359375,0.0039945244789123535,-0.00651041666666663,-0.0009765625,0.0012330412864685059,0.000634988149007143,-0.0005269845326741907,,,,,0.00045308470726013184,-0.0007506310939788818,-0.004464328289031982,-0.0022321343421936035,0.0014880952380951218,0.0,0.000589076429605484,0.00012419148945486125,7.361173629760742e-05,,,,,0.001127142857142882
dense,adamw,3e-05,adamw-lr3e-5,2,0.4,1563,1,0.2,782,-0.047271788120269775,-0.2117019309337138,2.672723591937266,,0.002236080372617204,8.659337692090707e-06,-0.0154318082778849,3.689725728915627e-06,-0.0020607364747454136,0.004481382668018341,0.0009900480508804321,0.01953125,0.011808335781097412,-0.01432291666666674,-0.001953125,0.00648275762796402,-0.0008505582809448242,-0.0076771577199299945,,,,,0.006918460130691528,0.017142266035079956,0.004464328289031982,0.002747654914855957,0.0014880952380951218,-0.004464268684387207,0.005716878920793533,-0.0013726067649943996,-0.0021852850914001465,,,,,0.004201428571428467
dense,adamw,3e-05,adamw-lr3e-5,3,0.6,2345,2,0.4,1563,-0.021839098930358847,-0.1563497137071863,1.2303437978078566,-1.6021485338721648,0.0010300552657137967,6.028216949754972e-06,-0.005407832891625525,1.5952609439574827e-06,-0.0007068299424441114,0.0055879950523376465,0.002358183264732361,0.0166015625,0.010172486305236816,0.004557291666666741,0.009765625,9.673088788986206e-05,0.002998272577921568,0.008638223012288393,,,,,0.0035940706729888916,0.00032651424407958984,0.0,0.0010097026824951172,0.007440476190476275,0.0,-0.0006200447678565979,0.003131130885650202,0.0018003781636556082,,,,,-0.0010485714285713987
