model_family,optimizer,baseline,first_stage,second_stage,first_fraction,second_fraction,tasks,same_direction_tasks,direction_stability_fraction,pearson_correlation,spearman_correlation,mean_absolute_delta_change
dense,muon,adamw,1,2,0.2,0.4,14,10,0.7142857142857143,0.644572804232868,0.5428571428571428,0.002937857142857135
dense,muon,adamw,2,3,0.4,0.6,14,10,0.7142857142857143,0.7085972010693716,0.6395604395604395,0.0028942857142857104
dense,muon,adamw,3,4,0.6,0.8,14,11,0.7857142857142857,0.6505578561528316,0.6483516483516484,0.0026871428571428424
dense,muon,adamw,4,5,0.8,1.0,14,12,0.8571428571428571,0.8111514883146794,0.8549450549450549,0.0017285714285714107
dense,normuon,adamw,1,2,0.2,0.4,14,6,0.42857142857142855,0.3236398112605376,0.34505494505494505,0.004183571428571441
dense,normuon,adamw,2,3,0.4,0.6,14,8,0.5714285714285714,0.46264410357835734,0.45054945054945056,0.00416500000000001
dense,normuon,adamw,3,4,0.6,0.8,14,11,0.7857142857142857,0.7527355487753349,0.6615384615384615,0.002264285714285705
dense,normuon,adamw,4,5,0.8,1.0,14,9,0.6428571428571429,0.7434933648829354,0.7142857142857143,0.0024464285714285517
late,muon,adamw,1,2,0.2,0.4,14,10,0.7142857142857143,0.5849853727106732,0.3934065934065934,0.006456428571428571
late,muon,adamw,2,3,0.4,0.6,14,10,0.7142857142857143,0.2953606442393625,0.34065934065934067,0.006705714285714265
late,muon,adamw,3,4,0.6,0.8,14,13,0.9285714285714286,0.6069400876085185,0.6424646351936143,0.0034857142857142886
late,muon,adamw,4,5,0.8,1.0,14,11,0.7857142857142857,0.5322646021103707,0.5154185022026432,0.003604999999999991
late,normuon,adamw,1,2,0.2,0.4,14,9,0.6428571428571429,0.5324454294928744,0.3098901098901099,0.007026428571428594
late,normuon,adamw,2,3,0.4,0.6,14,10,0.7142857142857143,0.2662461628138015,0.3978021978021978,0.006207142857142865
late,normuon,adamw,3,4,0.6,0.8,14,11,0.7857142857142857,0.796628676251013,0.7978021978021979,0.003925714285714287
late,normuon,adamw,4,5,0.8,1.0,14,11,0.7857142857142857,0.7709921609202584,0.8241758241758241,0.004721428571428583
