family,seed,stage,fraction,treatment,baseline,delta_contrastive_loss,delta_positive_margin,delta_reciprocal_rank,delta_top1_accuracy
dense,161803,1,0.2,muon,adamw,0.023576271032652585,-0.0008045434951782227,-0.004158528547122842,-0.00390625
dense,161803,1,0.2,normuon,adamw,0.006834802622279312,-0.00040900707244873047,-0.00024036223112489097,0.0
dense,161803,1,0.2,normuon,muon,-0.016741468410373272,0.0003955364227294922,0.003918166315997951,0.00390625
dense,161803,2,0.4,muon,adamw,0.02829286017367849,-0.0009348392486572266,-0.013693963817786425,-0.021728515625
dense,161803,2,0.4,normuon,adamw,-0.016108233007344097,0.00022721290588378906,-0.00012090775635442697,-0.00244140625
dense,161803,2,0.4,normuon,muon,-0.04440109318102259,0.0011620521545410156,0.013573056061431998,0.019287109375
dense,161803,3,0.6,muon,adamw,0.06073439006911485,-0.002005249261856079,-0.02162737155595096,-0.031494140625
dense,161803,3,0.6,normuon,adamw,-0.003291594888310101,-0.00032719969749450684,-0.008792259588517481,-0.016357421875
dense,161803,3,0.6,normuon,muon,-0.06402598495742495,0.0016780495643615723,0.012835111967433477,0.01513671875
dense,161803,4,0.8,muon,adamw,-0.028060598659294556,0.0007532835006713867,0.0008393787138629705,0.00048828125
dense,161803,4,0.8,normuon,adamw,-0.07448398813460244,0.001981019973754883,0.007437569704052294,0.008056640625
dense,161803,4,0.8,normuon,muon,-0.046423389475307886,0.001227736473083496,0.006598190990189323,0.007568359375
dense,161803,5,1.0,muon,adamw,-0.06273999697060617,0.0017826259136199951,0.008117966335703386,0.00830078125
dense,161803,5,1.0,normuon,adamw,-0.07507238845624897,0.00203821063041687,0.007908702977147186,0.00634765625
dense,161803,5,1.0,normuon,muon,-0.012332391485642802,0.000255584716796875,-0.00020926335855619982,-0.001953125
dense,271828,1,0.2,muon,adamw,-0.09977395670830447,0.0024080276489257812,0.018468947633664357,0.02099609375
dense,271828,1,0.2,normuon,adamw,-0.15115905683569508,0.004106283187866211,0.030168224388035014,0.036376953125
dense,271828,1,0.2,normuon,muon,-0.051385100127390615,0.0016982555389404297,0.011699276754370658,0.015380859375
dense,271828,2,0.4,muon,adamw,0.0346712884520457,-0.0009675025939941406,-0.010660516625648597,-0.01513671875
dense,271828,2,0.4,normuon,adamw,0.019861251781776446,-0.0004353523254394531,-0.007738967186014634,-0.01025390625
dense,271828,2,0.4,normuon,muon,-0.014810036670269255,0.0005321502685546875,0.0029215494396339636,0.0048828125
dense,271828,3,0.6,muon,adamw,-0.05580470884939359,0.001913309097290039,0.013975306894280948,0.018798828125
dense,271828,3,0.6,normuon,adamw,-0.014777063755673225,0.0006849765777587891,0.004132080055569531,0.005615234375
dense,271828,3,0.6,normuon,muon,0.041027645093720366,-0.00122833251953125,-0.009843226838711416,-0.01318359375
dense,271828,4,0.8,muon,adamw,-0.018366970853776365,0.0009045600891113281,0.008363850953173824,0.016357421875
dense,271828,4,0.8,normuon,adamw,0.005685127809783808,-7.605552673339844e-05,-0.0006751650325895753,0.002197265625
dense,271828,4,0.8,normuon,muon,0.024052098663560173,-0.0009806156158447266,-0.009039015985763399,-0.01416015625
dense,271828,5,1.0,muon,adamw,-0.05788431844848674,0.002112865447998047,0.017267136277951067,0.02783203125
dense,271828,5,1.0,normuon,adamw,-0.014999231898855214,0.0006308555603027344,0.004708426247816533,0.009521484375
dense,271828,5,1.0,normuon,muon,0.042885086549631524,-0.0014820098876953125,-0.012558710030134534,-0.018310546875
dense,314159,1,0.2,muon,adamw,-0.08268204684281955,0.002658843994140625,0.01778128486330388,0.02490234375
dense,314159,1,0.2,normuon,adamw,-0.09577789667264369,0.003037869930267334,0.02413766039899201,0.030517578125
dense,314159,1,0.2,normuon,muon,-0.013095849829824147,0.000379025936126709,0.00635637553568813,0.005615234375
dense,314159,2,0.4,muon,adamw,0.058560959806527535,-0.0016256123781204224,-0.0162527900756686,-0.01904296875
dense,314159,2,0.4,normuon,adamw,0.0451926888986236,-0.0012965947389602661,-0.010559372614807216,-0.014404296875
dense,314159,2,0.4,normuon,muon,-0.013368270907903934,0.00032901763916015625,0.005693417460861383,0.004638671875
dense,314159,3,0.6,muon,adamw,-0.0854106051144754,0.0028967857360839844,0.018412562683806755,0.02734375
dense,314159,3,0.6,normuon,adamw,-0.09627206080358519,0.0033170729875564575,0.0290422710677376,0.042236328125
dense,314159,3,0.6,normuon,muon,-0.010861455689109789,0.00042028725147247314,0.010629708383930847,0.014892578125
dense,314159,4,0.8,muon,adamw,-0.036811503822036684,0.0015919208526611328,0.011468505788798211,0.018310546875
dense,314159,4,0.8,normuon,adamw,-0.05876759563579981,0.0021953582763671875,0.015464564690773841,0.023681640625
dense,314159,4,0.8,normuon,muon,-0.021956091813763123,0.0006034374237060547,0.00399605890197563,0.00537109375
dense,314159,5,1.0,muon,adamw,-0.08354755715993178,0.0032601356506347656,0.022918991675396683,0.032470703125
dense,314159,5,1.0,normuon,adamw,-0.055171118303178446,0.002303680405020714,0.016682651978044305,0.024169921875
dense,314159,5,1.0,normuon,muon,0.02837643885675334,-0.0009564552456140518,-0.006236339697352378,-0.00830078125
