family,stage,fraction,treatment,baseline,metric,seeds,mean_delta,seed_delta_standard_deviation,treatment_seed_wins,seed_ties,treatment_seed_losses,beneficial_direction
dense,1,0.2,muon,adamw,contrastive_loss,3,-0.052959910839490476,0.0668309336863311,2,0,1,negative
dense,1,0.2,muon,adamw,positive_margin,3,0.0014207760492960613,0.00193125930833256,2,0,1,positive
dense,1,0.2,muon,adamw,reciprocal_rank,3,0.010697234649948465,0.012870061971374835,2,0,1,positive
dense,1,0.2,muon,adamw,top1_accuracy,3,0.013997395833333334,0.015627542924583522,2,0,1,positive
dense,1,0.2,normuon,adamw,contrastive_loss,3,-0.08003405029535315,0.08016493267427058,2,0,1,negative
dense,1,0.2,normuon,adamw,positive_margin,3,0.002245048681894938,0.0023597427153456405,2,0,1,positive
dense,1,0.2,normuon,adamw,reciprocal_rank,3,0.01802184085196738,0.01610040283944983,2,0,1,positive
dense,1,0.2,normuon,adamw,top1_accuracy,3,0.022298177083333332,0.019531758619679516,2,1,0,positive
dense,1,0.2,normuon,muon,contrastive_loss,3,-0.027074139455862678,0.021132669975375683,3,0,0,negative
dense,1,0.2,normuon,muon,positive_margin,3,0.000824272632598877,0.0007569364170621504,3,0,0,positive
dense,1,0.2,normuon,muon,reciprocal_rank,3,0.007324606202018913,0.003979889807639866,3,0,0,positive
dense,1,0.2,normuon,muon,top1_accuracy,3,0.00830078125,0.006190782389211898,3,0,0,positive
dense,2,0.4,muon,adamw,contrastive_loss,3,0.04050836947741724,0.015955973803518965,0,0,3,negative
dense,2,0.4,muon,adamw,positive_margin,3,-0.0011759847402572632,0.0003897312959975793,0,0,3,positive
dense,2,0.4,muon,adamw,reciprocal_rank,3,-0.013535756839701207,0.002799491502199247,0,0,3,positive
dense,2,0.4,muon,adamw,top1_accuracy,3,-0.018636067708333332,0.00331468291901307,0,0,3,positive
dense,2,0.4,normuon,adamw,contrastive_loss,3,0.01631523589101865,0.030803919038874222,1,0,2,negative
dense,2,0.4,normuon,adamw,positive_margin,3,-0.0005015780528386434,0.0007640594347617602,1,0,2,positive
dense,2,0.4,normuon,adamw,reciprocal_rank,3,-0.006139749185725425,0.0053998621102418175,0,0,3,positive
dense,2,0.4,normuon,adamw,top1_accuracy,3,-0.009033203125,0.006074148097961293,0,0,3,positive
dense,2,0.4,normuon,muon,contrastive_loss,3,-0.02419313358639859,0.017515447335476456,3,0,0,negative
dense,2,0.4,normuon,muon,positive_margin,3,0.0006744066874186198,0.0004343550304588963,3,0,0,positive
dense,2,0.4,normuon,muon,reciprocal_rank,3,0.007396007653975782,0.005526097931888182,3,0,0,positive
dense,2,0.4,normuon,muon,top1_accuracy,3,0.009602864583333334,0.008387690328683223,3,0,0,positive
dense,3,0.6,muon,adamw,contrastive_loss,3,-0.026826974631584715,0.07726170923945046,2,0,1,negative
dense,3,0.6,muon,adamw,positive_margin,3,0.0009349485238393148,0.0025933335379428987,2,0,1,positive
dense,3,0.6,muon,adamw,reciprocal_rank,3,0.0035868326740455814,0.021948562161321676,2,0,1,positive
dense,3,0.6,muon,adamw,top1_accuracy,3,0.0048828125,0.03179175933251098,2,0,1,positive
dense,3,0.6,normuon,adamw,contrastive_loss,3,-0.038113573149189506,0.05069305932236348,3,0,0,negative
dense,3,0.6,normuon,adamw,positive_margin,3,0.0012249499559402466,0.0018811856069007819,2,0,1,positive
dense,3,0.6,normuon,adamw,reciprocal_rank,3,0.008127363844929883,0.01923108543252098,2,0,1,positive
dense,3,0.6,normuon,adamw,top1_accuracy,3,0.010498046875,0.02960047766841343,2,0,1,positive
dense,3,0.6,normuon,muon,contrastive_loss,3,-0.011286598517604792,0.05252810539653216,2,0,1,negative
dense,3,0.6,normuon,muon,positive_margin,3,0.0002900014321009318,0.0014575647499992174,2,0,1,positive
dense,3,0.6,normuon,muon,reciprocal_rank,3,0.004540531170884303,0.012505411712554221,2,0,1,positive
dense,3,0.6,normuon,muon,top1_accuracy,3,0.005615234375,0.016280720356180868,2,0,1,positive
dense,4,0.8,muon,adamw,contrastive_loss,3,-0.0277463577783692,0.00922628091934903,3,0,0,negative
dense,4,0.8,muon,adamw,positive_margin,3,0.0010832548141479492,0.000446964210653413,3,0,0,positive
dense,4,0.8,muon,adamw,reciprocal_rank,3,0.006890578485278335,0.005465572652272998,3,0,0,positive
dense,4,0.8,muon,adamw,top1_accuracy,3,0.01171875,0.00977477598592168,3,0,0,positive
dense,4,0.8,normuon,adamw,contrastive_loss,3,-0.042522151986872814,0.04248185044626656,2,0,1,negative
