family,kind,seed,optimizer,learning_rate,run_id,stage,fraction,step,label,scorer,group,samples,candidates_per_sample,positive_score_mean,hardest_negative_score_mean,margin_mean,margin_median,margin_std,top1_accuracy,mean_reciprocal_rank,mean_candidate_score_std,reference_top_k,reference_mean_top_k_overlap,reference_top1_agreement,reference_score_drift_rms
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,ArguAna,16,8,0.4553527235984802,0.26510733366012573,0.19024540483951569,0.17711052298545837,0.09107206016778946,1.0,1.0,0.12149710208177567,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,ClimateFEVER,16,8,0.2179299145936966,0.21973396837711334,-0.0018040500581264496,-0.006891787052154541,0.10817231982946396,0.4375,0.629687488079071,0.07948143780231476,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,DBPedia,16,8,0.37156447768211365,0.12095295637845993,0.2506115436553955,0.24885064363479614,0.1403474062681198,1.0,1.0,0.12133900821208954,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,FEVER,16,8,0.4330446422100067,0.10835374891757965,0.32469090819358826,0.3206274211406708,0.10742580890655518,1.0,1.0,0.14143845438957214,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,FiQA2018,16,8,0.4281954765319824,0.2324061393737793,0.1957893669605255,0.21976593136787415,0.0942365825176239,0.9375,0.96875,0.11474551260471344,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,HotpotQA,16,8,0.38410866260528564,0.1452174186706543,0.23889124393463135,0.24056386947631836,0.14518576860427856,1.0,1.0,0.12203525006771088,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,MSMARCO,16,8,0.45449936389923096,0.14035329222679138,0.3141460418701172,0.2917158007621765,0.11003606021404266,1.0,1.0,0.156450554728508,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,NFCorpus,16,8,0.14565560221672058,0.14199842512607574,0.0036571770906448364,-0.01805133931338787,0.10894335061311722,0.4375,0.5744792222976685,0.054410990327596664,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,NQ,16,8,0.38247111439704895,0.04708997532725334,0.3353811800479889,0.29913634061813354,0.11858721077442169,1.0,1.0,0.14860016107559204,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,QuoraRetrieval,16,8,0.6203081607818604,0.1736893206834793,0.4466188848018646,0.41469305753707886,0.09865988790988922,1.0,1.0,0.19818226993083954,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,SCIDOCS,16,8,0.23917466402053833,0.13665661215782166,0.10251803696155548,0.11360758543014526,0.1607275754213333,0.75,0.8359375,0.09544885158538818,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,SciFact,16,8,0.38957372307777405,0.136235773563385,0.25333794951438904,0.2548367381095886,0.11274218559265137,0.9375,0.96875,0.12850256264209747,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,TRECCOVID,16,8,0.32790547609329224,0.2806112468242645,0.047294244170188904,0.04504197835922241,0.08850345760583878,0.6875,0.8110119104385376,0.0662747398018837,,,,
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,Touche2020,16,8,0.4049007296562195,0.15877178311347961,0.24612900614738464,0.26998668909072876,0.08921203762292862,1.0,1.0,0.11474217474460602,,,,
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,ArguAna,16,8,0.530597984790802,0.2974063754081726,0.2331916093826294,0.20648764073848724,0.10510023683309555,1.0,1.0,0.1338338702917099,3,0.8541666666666666,1.0,0.05482621118426323
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,ClimateFEVER,16,8,0.30254167318344116,0.3015158176422119,0.001025846228003502,0.016058102250099182,0.1065400093793869,0.5625,0.6979166269302368,0.08760073781013489,3,0.8541666666666666,0.5625,0.07859405130147934
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,DBPedia,16,8,0.42823103070259094,0.14361095428466797,0.2846200466156006,0.28001824021339417,0.16080635786056519,0.9375,0.96875,0.1353491097688675,3,0.8333333333333333,0.9375,0.04649954289197922
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,FEVER,16,8,0.6050606369972229,0.2250339686870575,0.3800266683101654,0.3568604588508606,0.08071189373731613,1.0,1.0,0.16322705149650574,3,0.7083333333333333,1.0,0.12632815539836884
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,FiQA2018,16,8,0.46682029962539673,0.25410500168800354,0.2127152681350708,0.234176903963089,0.08862604945898056,0.9375,0.96875,0.1190226674079895,3,0.875,1.0,0.04271938279271126
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,HotpotQA,16,8,0.4693973958492279,0.1973072737455368,0.2720901370048523,0.26927030086517334,0.15712185204029083,1.0,1.0,0.13581429421901703,3,0.875,1.0,0.06538636982440948
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,MSMARCO,16,8,0.5426613092422485,0.14196133613586426,0.4006999731063843,0.40886789560317993,0.1412113904953003,1.0,1.0,0.19060152769088745,3,0.8333333333333334,1.0,0.05890766903758049
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,NFCorpus,16,8,0.1617601215839386,0.16945916414260864,-0.007699053734540939,-0.028108475729823112,0.12703673541545868,0.375,0.578125,0.056185051798820496,3,0.7708333333333333,0.4375,0.0578981377184391
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,NQ,16,8,0.531714916229248,0.13603876531124115,0.3956761956214905,0.34982651472091675,0.1254444718360901,1.0,1.0,0.18480882048606873,3,0.8541666666666666,1.0,0.08613231033086777
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,QuoraRetrieval,16,8,0.6533100008964539,0.16769903898239136,0.4856109321117401,0.4695214033126831,0.11186187714338303,1.0,1.0,0.21080031991004944,3,0.875,1.0,0.038258157670497894
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,SCIDOCS,16,8,0.290019690990448,0.18641595542430878,0.10360375791788101,0.1166035458445549,0.16012810170650482,0.75,0.817187488079071,0.09771416336297989,3,0.8958333333333334,0.9375,0.05705729499459267
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,SciFact,16,8,0.47329187393188477,0.2063884735107422,0.2669034004211426,0.25910264253616333,0.11997488141059875,0.9375,0.96875,0.13204988837242126,3,0.8541666666666666,1.0,0.07896289974451065
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,TRECCOVID,16,8,0.41447001695632935,0.3242218792438507,0.09024818241596222,0.08500753343105316,0.10846661776304245,0.875,0.9140625,0.07894755154848099,3,0.8541666666666666,0.8125,0.06202242523431778
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,Touche2020,16,8,0.5061467289924622,0.20278239250183105,0.3033643066883087,0.32702475786209106,0.11098694056272507,1.0,1.0,0.1327705681324005,3,0.7708333333333333,1.0,0.06455817073583603
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed161803/adamw-scale-matched/checkpoint-157,cosine,ArguAna,16,8,0.5275459885597229,0.29778531193733215,0.22976066172122955,0.22944264113903046,0.10545044392347336,1.0,1.0,0.13705359399318695,3,0.8541666666666666,1.0,0.051689788699150085
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed161803/adamw-scale-matched/checkpoint-157,cosine,ClimateFEVER,16,8,0.29010340571403503,0.2924620509147644,-0.002358676865696907,-0.014645978808403015,0.10646838694810867,0.4375,0.6495535373687744,0.08384310454130173,3,0.8541666666666666,0.5625,0.07414708286523819
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed161803/adamw-scale-matched/checkpoint-157,cosine,DBPedia,16,8,0.408277690410614,0.12816457450389862,0.2801131308078766,0.26493561267852783,0.15710286796092987,0.9375,0.96875,0.13344542682170868,3,0.8125,0.9375,0.04067995026707649
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed161803/adamw-scale-matched/checkpoint-157,cosine,FEVER,16,8,0.6118715405464172,0.20607373118400574,0.4057978093624115,0.4052760899066925,0.0819041058421135,1.0,1.0,0.17229123413562775,3,0.7083333333333333,1.0,0.11338736116886139
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed161803/adamw-scale-matched/checkpoint-157,cosine,FiQA2018,16,8,0.459579735994339,0.247713103890419,0.21186664700508118,0.21438920497894287,0.09247712045907974,0.9375,0.96875,0.12087486684322357,3,0.8541666666666666,1.0,0.042775657027959824
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed161803/adamw-scale-matched/checkpoint-157,cosine,HotpotQA,16,8,0.43336766958236694,0.15895119309425354,0.2744164764881134,0.22238534688949585,0.17850902676582336,1.0,1.0,0.13499027490615845,3,0.8541666666666666,1.0,0.04565778002142906
