family,anchor,metric,band,condition,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/adamw-lr1e-5/checkpoint-2345,contrastive_loss,head,adam-basis__muon-head-spectrum,-0.019775333967053093,-0.009978361419208728
dense,dense/adamw-lr1e-5/checkpoint-2345,contrastive_loss,middle,adam-basis__muon-middle-spectrum,-0.0137308980038467,-0.003933925456002336
dense,dense/adamw-lr1e-5/checkpoint-2345,contrastive_loss,tail,adam-basis__muon-tail-spectrum,-0.009431477423147174,0.0003654951246971905
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_score,head,adam-basis__muon-head-spectrum,-0.0025111607142857145,0.0020490373883928566
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_score,middle,adam-basis__muon-middle-spectrum,-0.0037928989955357145,0.0007672991071428566
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_score,tail,adam-basis__muon-tail-spectrum,-0.004385811941964286,0.0001743861607142851
dense,dense/adamw-lr1e-5/checkpoint-2345,hardest_negative_score,head,adam-basis__muon-head-spectrum,-0.0034615652901785715,0.0017351422991071425
dense,dense/adamw-lr1e-5/checkpoint-2345,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,-0.0047607421875,0.00043596540178571404
dense,dense/adamw-lr1e-5/checkpoint-2345,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,-0.005074637276785714,0.0001220703125
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_margin,head,adam-basis__muon-head-spectrum,0.0009504045758928571,0.00031389508928571425
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_margin,middle,adam-basis__muon-middle-spectrum,0.0009678431919642857,0.00033133370535714287
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_margin,tail,adam-basis__muon-tail-spectrum,0.0006888253348214286,5.2315848214285745e-05
dense,dense/adamw-lr1e-5/checkpoint-2345,reciprocal_rank,head,adam-basis__muon-head-spectrum,0.004389881023338863,-0.0011904761860413206
dense,dense/adamw-lr1e-5/checkpoint-2345,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,0.0047619048106883255,-0.0008184523986918581
dense,dense/adamw-lr1e-5/checkpoint-2345,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,0.006845238219414439,0.0012648810100342554
dense,dense/adamw-lr1e-5/checkpoint-2345,top1_accuracy,head,adam-basis__muon-head-spectrum,0.0,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,top1_accuracy,middle,adam-basis__muon-middle-spectrum,0.004464285714285714,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,top1_accuracy,tail,adam-basis__muon-tail-spectrum,0.008928571428571428,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,contrastive_loss,head,adam-basis__muon-head-spectrum,-0.0059176167534522916,0.004968148008661696
dense,dense/adamw-lr1e-5/checkpoint-3907,contrastive_loss,middle,adam-basis__muon-middle-spectrum,-0.008868895036130198,0.0020168697259837897
dense,dense/adamw-lr1e-5/checkpoint-3907,contrastive_loss,tail,adam-basis__muon-tail-spectrum,-0.013044597532468418,-0.0021588327703544307
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_score,head,adam-basis__muon-head-spectrum,-0.0032435825892857145,0.0025721958705357145
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_score,middle,adam-basis__muon-middle-spectrum,-0.004891531808035714,0.0009242466517857149
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_score,tail,adam-basis__muon-tail-spectrum,-0.005240304129464286,0.000575474330357143
dense,dense/adamw-lr1e-5/checkpoint-3907,hardest_negative_score,head,adam-basis__muon-head-spectrum,-0.0035400390625,0.002772739955357143
dense,dense/adamw-lr1e-5/checkpoint-3907,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,-0.005179268973214286,0.001133510044642857
dense,dense/adamw-lr1e-5/checkpoint-3907,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,-0.005937848772321429,0.00037493024553571404
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_margin,head,adam-basis__muon-head-spectrum,0.0002964564732142857,-0.00020054408482142856
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_margin,middle,adam-basis__muon-middle-spectrum,0.00028773716517857144,-0.00020926339285714282
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_margin,tail,adam-basis__muon-tail-spectrum,0.0006975446428571429,0.00020054408482142862
dense,dense/adamw-lr1e-5/checkpoint-3907,reciprocal_rank,head,adam-basis__muon-head-spectrum,0.0037946426974875586,-0.0037202380065407075
