family,anchor,condition,category,basis_source,spectrum_operation,interpolation_lambda,band,samples,tail_count,mean_pairwise_loss_contrast,p95_pairwise_loss_contrast,p99_pairwise_loss_contrast,mean_pairwise_margin_contrast,p01_pairwise_margin_contrast,p05_pairwise_margin_contrast,mean_loss_contrast_on_adam_tail,mean_loss_contrast_on_condition_tail,worst_loss_tail_jaccard,adam_tail_baseline_margin_mean,condition_tail_baseline_margin_mean
dense,dense/pretrained,muon-native,native,muon,native,1.0,,224,12,0.020975753139022606,0.17661223411560048,0.28815859198570287,-0.0010724748883928572,-0.01517578125,-0.0078125,-0.09372956802447636,0.028875112533569336,0.3333333333333333,-0.013671875,-0.025553385416666668
dense,dense/pretrained,adam-basis__spectrum-lambda-0.25,transformed,adamw,log_interpolation,0.25,,224,12,0.006271225755751532,0.11229151487350461,0.16548980593681353,-0.00021798270089285715,-0.005859375,-0.00390625,-0.03775937110185623,-0.004002494116624196,0.7142857142857143,-0.013671875,-0.017903645833333332
dense,dense/pretrained,adam-basis__spectrum-lambda-0.50,transformed,adamw,log_interpolation,0.5,,224,12,0.01493971424809258,0.14692996144294737,0.21601401329040537,-0.000732421875,-0.0078125,-0.007519531249999999,-0.04700931658347448,0.012723279496033987,0.5,-0.013671875,-0.019368489583333332
dense,dense/pretrained,adam-basis__spectrum-lambda-0.75,transformed,adamw,log_interpolation,0.75,,224,12,0.01998180726410023,0.17289181202650067,0.21722797870635988,-0.0008457728794642857,-0.01171875,-0.0078125,-0.08115758498509724,0.0153589795033137,0.4117647058823529,-0.013671875,-0.021647135416666668
dense,dense/pretrained,adam-basis__muon-spectrum,transformed,adamw,log_interpolation,1.0,,224,12,0.02660293935124563,0.2123869895935057,0.3274196672439577,-0.00115966796875,-0.01171875,-0.009765625,-0.09939453999201457,0.009298130869865417,0.3333333333333333,-0.013671875,-0.01904296875
dense,dense/pretrained,muon-basis__adam-spectrum,transformed,muon,adam_spectrum,,,224,12,0.033031027676770464,0.23642472028732284,0.37991891026496905,-0.0015520368303571428,-0.015625,-0.01171875,-0.13199809193611145,0.05497922499974569,0.2,-0.013671875,-0.019856770833333332
dense,dense/pretrained,adam-basis__muon-head-spectrum,transformed,adamw,band_transplant,,head,224,12,0.0179577256245206,0.19124720096588133,0.23778025627136232,-0.0009852818080357143,-0.01171875,-0.0078125,-0.09376271069049835,-0.0013013581434885662,0.3333333333333333,-0.013671875,-0.02197265625
dense,dense/pretrained,adam-basis__muon-middle-spectrum,transformed,adamw,band_transplant,,middle,224,12,0.0028116891397595672,0.1179099977016449,0.20063791990280158,-0.00014822823660714285,-0.0078125,-0.00390625,-0.06941893448432286,-0.035810274382432304,0.7142857142857143,-0.013671875,-0.012532552083333334
dense,dense/pretrained,adam-basis__muon-tail-spectrum,transformed,adamw,band_transplant,,tail,224,12,-0.0019579497062035705,0.09397765398025512,0.12298840820789354,-8.719308035714285e-06,-0.00390625,-0.00390625,-0.03540151317914327,0.009145985047022501,0.6,-0.013671875,-0.016438802083333332
dense,dense/adamw-lr1e-5/checkpoint-782,muon-native,native,muon,native,1.0,,224,12,-0.009093935055196718,0.08208712935447693,0.3270846486091625,0.0005057198660714286,-0.00931640625,-0.007519531249999999,-0.21279431879520416,-0.009460195899009705,0.2631578947368421,-0.016438802083333332,-0.0011393229166666667
