family,anchor,metric,condition,interpolation_lambda,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/adamw-lr1e-5/checkpoint-2345,contrastive_loss,adamw-native,0.0,-0.009796972547844365,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,contrastive_loss,adam-basis__spectrum-lambda-0.25,0.25,-0.015680016143538263,-0.005883043595693898
dense,dense/adamw-lr1e-5/checkpoint-2345,contrastive_loss,adam-basis__spectrum-lambda-0.50,0.5,-0.009329023298473007,0.0004679492493713574
dense,dense/adamw-lr1e-5/checkpoint-2345,contrastive_loss,adam-basis__spectrum-lambda-0.75,0.75,-0.01409433706872473,-0.004297364520880365
dense,dense/adamw-lr1e-5/checkpoint-2345,contrastive_loss,adam-basis__muon-spectrum,1.0,-0.014590702604696812,-0.004793730056852448
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_score,adamw-native,0.0,-0.004560198102678571,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_score,adam-basis__spectrum-lambda-0.25,0.25,-0.003949846540178571,0.0006103515625
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_score,adam-basis__spectrum-lambda-0.50,0.5,-0.00360107421875,0.0009591238839285711
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_score,adam-basis__spectrum-lambda-0.75,0.75,-0.002720424107142857,0.001839773995535714
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_score,adam-basis__muon-spectrum,1.0,-0.0020664760044642855,0.0024937220982142855
dense,dense/adamw-lr1e-5/checkpoint-2345,hardest_negative_score,adamw-native,0.0,-0.005196707589285714,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,hardest_negative_score,adam-basis__spectrum-lambda-0.25,0.25,-0.004804338727678571,0.000392368861607143
dense,dense/adamw-lr1e-5/checkpoint-2345,hardest_negative_score,adam-basis__spectrum-lambda-0.50,0.5,-0.004255022321428571,0.000941685267857143
dense,dense/adamw-lr1e-5/checkpoint-2345,hardest_negative_score,adam-basis__spectrum-lambda-0.75,0.75,-0.00347900390625,0.001717703683035714
dense,dense/adamw-lr1e-5/checkpoint-2345,hardest_negative_score,adam-basis__muon-spectrum,1.0,-0.0028599330357142855,0.0023367745535714285
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_margin,adamw-native,0.0,0.0006365094866071429,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_margin,adam-basis__spectrum-lambda-0.25,0.25,0.0008544921875,0.00021798270089285713
