family,metric,band,condition,anchors,mean_effect_vs_baseline,median_effect_vs_baseline,positive_anchor_fraction_effect_vs_baseline,mean_contrast_vs_adamw_native,median_contrast_vs_adamw_native,positive_anchor_fraction_contrast_vs_adamw_native
dense,contrastive_loss,head,adam-basis__muon-head-spectrum,10,-0.011213710158361728,-0.009025053685231148,0.0,0.0022537544495240328,0.003393485898089108,0.6
dense,contrastive_loss,middle,adam-basis__muon-middle-spectrum,10,-0.013839125251109053,-0.011299896519988448,0.0,-0.00037166064322328985,0.0005480775349237124,0.6
dense,contrastive_loss,tail,adam-basis__muon-tail-spectrum,10,-0.014094291449760021,-0.011238037477807796,0.1,-0.0006268268418742596,-0.0008653397454898865,0.5
dense,hardest_negative_score,head,adam-basis__muon-head-spectrum,10,-0.0021214076450892854,-0.002955845424107143,0.1,-0.0003487723214285714,0.0002920968191964285,0.6
dense,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,10,-0.0016462053571428571,-0.003265380859375,0.3,0.0001264299665178571,0.00023978097098214298,0.7
dense,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,10,-0.0017185756138392856,-0.0034964425223214285,0.3,5.4059709821428664e-05,6.975446428571447e-05,0.8
dense,positive_margin,head,adam-basis__muon-head-spectrum,10,0.0006356375558035714,0.0006452287946428571,0.9,-0.00022931780133928574,-0.00014822823660714285,0.3
dense,positive_margin,middle,adam-basis__muon-middle-spectrum,10,0.0008640834263392858,0.0008719308035714285,0.9,-8.719308035714187e-07,-9.591238839285713e-05,0.4
dense,positive_margin,tail,adam-basis__muon-tail-spectrum,10,0.0009059361049107142,0.000701904296875,0.9,4.098074776785712e-05,4.359654017857127e-06,0.5
dense,positive_score,head,adam-basis__muon-head-spectrum,10,-0.0014857700892857144,-0.001865931919642857,0.1,-0.0005780901227678573,-3.4877232142857236e-05,0.5
dense,positive_score,middle,adam-basis__muon-middle-spectrum,10,-0.0007821219308035714,-0.0017220633370535715,0.3,0.00012555803571428554,0.00019182477678571425,0.7
dense,positive_score,tail,adam-basis__muon-tail-spectrum,10,-0.0008126395089285716,-0.001857212611607143,0.3,9.504045758928549e-05,6.539481026785702e-05,0.7
dense,reciprocal_rank,head,adam-basis__muon-head-spectrum,10,0.0023139880637505226,0.003385416498141629,0.7,-0.0008811649666833025,-0.001987670115860445,0.3
dense,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,10,0.0034715135781360528,0.003109055970396315,0.8,0.0002763605477022275,-0.0007599915178226569,0.4
dense,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,10,0.0020833333155938554,0.00450148802649762,0.7,-0.0011118197148399691,-0.001934523827263287,0.3
dense,top1_accuracy,head,adam-basis__muon-head-spectrum,10,0.002232142857142857,0.0,0.4,-0.0026785714285714286,-0.004464285714285714,0.3
dense,top1_accuracy,middle,adam-basis__muon-middle-spectrum,10,0.005803571428571428,0.004464285714285714,0.7,0.0008928571428571428,0.0,0.3
dense,top1_accuracy,tail,adam-basis__muon-tail-spectrum,10,0.0035714285714285713,0.006696428571428571,0.7,-0.0013392857142857143,-0.002232142857142857,0.3
