family,condition,metric,anchors,mean_effect_vs_baseline,median_effect_vs_baseline,positive_anchor_fraction_effect_vs_baseline
dense,adam-basis__muon-head-spectrum,contrastive_loss,10,-0.011213710158361728,-0.009025053685231148,0.0
dense,adam-basis__muon-head-spectrum,hardest_negative_score,10,-0.0021214076450892854,-0.002955845424107143,0.1
dense,adam-basis__muon-head-spectrum,positive_margin,10,0.0006356375558035714,0.0006452287946428571,0.9
dense,adam-basis__muon-head-spectrum,positive_score,10,-0.0014857700892857144,-0.001865931919642857,0.1
dense,adam-basis__muon-head-spectrum,reciprocal_rank,10,0.0023139880637505226,0.003385416498141629,0.7
dense,adam-basis__muon-head-spectrum,top1_accuracy,10,0.002232142857142857,0.0,0.4
dense,adam-basis__muon-middle-spectrum,contrastive_loss,10,-0.013839125251109053,-0.011299896519988448,0.0
dense,adam-basis__muon-middle-spectrum,hardest_negative_score,10,-0.0016462053571428571,-0.003265380859375,0.3
dense,adam-basis__muon-middle-spectrum,positive_margin,10,0.0008640834263392858,0.0008719308035714285,0.9
dense,adam-basis__muon-middle-spectrum,positive_score,10,-0.0007821219308035714,-0.0017220633370535715,0.3
dense,adam-basis__muon-middle-spectrum,reciprocal_rank,10,0.0034715135781360528,0.003109055970396315,0.8
dense,adam-basis__muon-middle-spectrum,top1_accuracy,10,0.005803571428571428,0.004464285714285714,0.7
dense,adam-basis__muon-spectrum,contrastive_loss,10,-0.008334542794188694,-0.0063978810429554354,0.0
dense,adam-basis__muon-spectrum,hardest_negative_score,10,-0.0018083844866071427,-0.0023672921316964285,0.1
dense,adam-basis__muon-spectrum,positive_margin,10,0.00050048828125,0.000579833984375,0.9
dense,adam-basis__muon-spectrum,positive_score,10,-0.0013078962053571428,-0.001643589564732143,0.1
dense,adam-basis__muon-spectrum,reciprocal_rank,10,0.0014253826545817512,0.001190476186041321,0.8
dense,adam-basis__muon-spectrum,top1_accuracy,10,0.0013392857142857143,0.0,0.3
dense,adam-basis__muon-tail-spectrum,contrastive_loss,10,-0.014094291449760021,-0.011238037477807796,0.1
dense,adam-basis__muon-tail-spectrum,hardest_negative_score,10,-0.0017185756138392856,-0.0034964425223214285,0.3
dense,adam-basis__muon-tail-spectrum,positive_margin,10,0.0009059361049107142,0.000701904296875,0.9
dense,adam-basis__muon-tail-spectrum,positive_score,10,-0.0008126395089285716,-0.001857212611607143,0.3
dense,adam-basis__muon-tail-spectrum,reciprocal_rank,10,0.0020833333155938554,0.00450148802649762,0.7
