family,metric,condition,interpolation_lambda,anchors,mean_effect_vs_baseline,median_effect_vs_baseline,positive_anchor_fraction_effect_vs_baseline,mean_contrast_vs_adamw_native,median_contrast_vs_adamw_native,positive_anchor_fraction_contrast_vs_adamw_native
dense,contrastive_loss,adam-basis__muon-spectrum,1.0,10,-0.008334542794188694,-0.0063978810429554354,0.0,0.005132921813697067,0.004232124678976236,0.6
dense,contrastive_loss,adam-basis__spectrum-lambda-0.25,0.25,10,-0.013397588955243529,-0.012460361935771807,0.2,6.98756526422325e-05,-0.0009850517444809663,0.4
dense,contrastive_loss,adam-basis__spectrum-lambda-0.50,0.5,10,-0.011393880602966939,-0.008407583010336696,0.1,0.0020735840049188226,0.002318730989632708,0.8
dense,contrastive_loss,adam-basis__spectrum-lambda-0.75,0.75,10,-0.011119406835853494,-0.009095232805650864,0.0,0.0023480577720322673,0.0010629502322184892,0.6
dense,contrastive_loss,adamw-native,0.0,10,-0.013467464607885763,-0.010341368654979175,0.1,0.0,0.0,0.0
dense,hardest_negative_score,adam-basis__muon-spectrum,1.0,10,-0.0018083844866071427,-0.0023672921316964285,0.1,-3.574916294642853e-05,0.0008544921875000002,0.6
dense,hardest_negative_score,adam-basis__spectrum-lambda-0.25,0.25,10,-0.0020193917410714283,-0.003535679408482143,0.3,-0.0002467564174107142,-0.00011335100446428575,0.4
dense,hardest_negative_score,adam-basis__spectrum-lambda-0.50,0.5,10,-0.0020743233816964282,-0.003239222935267857,0.1,-0.0003016880580357142,0.00015694754464285745,0.6
dense,hardest_negative_score,adam-basis__spectrum-lambda-0.75,0.75,10,-0.0020089285714285712,-0.002816336495535714,0.1,-0.00023629324776785712,0.0004882812500000002,0.6
dense,hardest_negative_score,adamw-native,0.0,10,-0.0017726353236607144,-0.0035531180245535715,0.3,0.0,0.0,0.0
dense,positive_margin,adam-basis__muon-spectrum,1.0,10,0.00050048828125,0.000579833984375,0.9,-0.00036446707589285715,-0.00027901785714285713,0.4
dense,positive_margin,adam-basis__spectrum-lambda-0.25,0.25,10,0.00086669921875,0.0008065359933035715,0.9,1.7438616071428238e-06,1.743861607142859e-05,0.5
dense,positive_margin,adam-basis__spectrum-lambda-0.50,0.5,10,0.0006696428571428571,0.0006190708705357143,0.9,-0.0001953125,-0.00014386858258928572,0.3
dense,positive_margin,adam-basis__spectrum-lambda-0.75,0.75,10,0.000653076171875,0.0007106236049107143,0.9,-0.00021187918526785715,-0.0001656668526785714,0.4
dense,positive_margin,adamw-native,0.0,10,0.0008649553571428572,0.00067138671875,0.9,0.0,0.0,0.0
dense,positive_score,adam-basis__muon-spectrum,1.0,10,-0.0013078962053571428,-0.001643589564732143,0.1,-0.0004002162388392858,0.00040108816964285713,0.7
dense,positive_score,adam-basis__spectrum-lambda-0.25,0.25,10,-0.0011526925223214286,-0.0020010811941964285,0.3,-0.0002450125558035716,-0.00014822823660714276,0.3
dense,positive_score,adam-basis__spectrum-lambda-0.50,0.5,10,-0.0014046805245535715,-0.002022879464285714,0.2,-0.0004970005580357145,-0.00011335100446428596,0.3
dense,positive_score,adam-basis__spectrum-lambda-0.75,0.75,10,-0.0013558523995535715,-0.0018048967633928572,0.1,-0.0004481724330357144,0.00016566685267857127,0.7
dense,positive_score,adamw-native,0.0,10,-0.0009076799665178571,-0.001918247767857143,0.3,0.0,0.0,0.0
dense,reciprocal_rank,adam-basis__muon-spectrum,1.0,10,0.0014253826545817512,0.001190476186041321,0.8,-0.0017697703758520738,-0.005245535634458065,0.2
dense,reciprocal_rank,adam-basis__spectrum-lambda-0.25,0.25,10,0.0017963435234768048,0.002976190564887864,0.6,-0.00139880950695702,-0.0022321427906198156,0.2
dense,reciprocal_rank,adam-basis__spectrum-lambda-0.50,0.5,10,0.002697704073839954,0.00390625003326152,0.7,-0.0004974489565938711,-0.0014083758661789557,0.2
dense,reciprocal_rank,adam-basis__spectrum-lambda-0.75,0.75,10,0.0022948554317866053,0.002604166544707758,0.8,-0.0009002975986472197,-0.0024181547175560676,0.3
dense,reciprocal_rank,adamw-native,0.0,10,0.003195153030433825,0.006138392890404377,0.7,0.0,0.0,0.0
dense,top1_accuracy,adam-basis__muon-spectrum,1.0,10,0.0013392857142857143,0.0,0.3,-0.0035714285714285713,-0.006696428571428571,0.2
dense,top1_accuracy,adam-basis__spectrum-lambda-0.25,0.25,10,0.0026785714285714286,0.004464285714285714,0.5,-0.002232142857142857,-0.004464285714285714,0.1
dense,top1_accuracy,adam-basis__spectrum-lambda-0.50,0.5,10,0.0035714285714285713,0.004464285714285714,0.6,-0.0013392857142857143,-0.004464285714285714,0.2
dense,top1_accuracy,adam-basis__spectrum-lambda-0.75,0.75,10,0.002232142857142857,0.0,0.4,-0.0026785714285714286,-0.004464285714285714,0.2
dense,top1_accuracy,adamw-native,0.0,10,0.004910714285714286,0.006696428571428571,0.6,0.0,0.0,0.0
