model_family,optimizer,learning_rate,run_id,wall_time_hours,recorded_segment_wall_time_hours,prior_training_wall_time_hours,timing_adjustment_path,accepted_timing_path,samples_per_second,steps_per_second,trainer_reported_samples_per_second,trainer_reported_steps_per_second,peak_allocated_gib,peak_reserved_gib,checkpoint_gib,optimizer_state_gib,gpu_name,world_size
dense,muon,0.0001,muon-lr1e-4,3.7287344046336752,3.7287344046336752,0.0,,outputs/dense/muon-lr1e-4/accepted_timing.json,37.24826544800094,0.2910579462106794,37.242,0.291,6.980319976806641,7.8359375,1.258136985823512,0.699416290037334,NVIDIA L20Z,4
dense,muon,0.0003,muon-lr3e-4,3.740502633500146,3.740502633500146,0.0,,outputs/dense/muon-lr3e-4/accepted_timing.json,37.1310763545499,0.29014223063445294,37.125,0.29,6.980319976806641,7.8359375,1.258137154392898,0.699416290037334,NVIDIA L20Z,4
dense,muon,0.001,muon-lr1e-3,3.689343033995117,3.689343033995117,0.0,,outputs/dense/muon-lr1e-3/accepted_timing.json,37.645967753366875,0.29416559202480874,37.64,0.294,6.980319976806641,7.8359375,1.2581370659172535,0.699416290037334,NVIDIA L20Z,4
dense,muon,0.003,muon-lr3e-3,3.695871802162405,3.695871802162405,0.0,,outputs/dense/muon-lr3e-3/accepted_timing.json,37.579466043066446,0.2936459476605212,37.573,0.294,6.980319976806641,7.8359375,1.2581368023529649,0.699416290037334,NVIDIA L20Z,4
dense,adamw,1e-06,adamw-lr1e-6,3.5278596005788687,2.113133166412202,1.4147264341666668,outputs/dense/adamw-lr1e-6/timing_adjustment.json,,39.36916561704987,0.3076306601316277,65.778,0.514,7.382821559906006,8.291015625,1.669065510854125,1.1103499634191394,NVIDIA L20Z,4
dense,adamw,3e-06,adamw-lr3e-6,3.506307469928223,3.506307469928223,0.0,,,39.61115506271675,0.30952156566006866,39.618,0.31,7.409916400909424,8.28125,1.6690707402303815,1.1103499634191394,NVIDIA L20Z,4
dense,adamw,1e-05,adamw-lr1e-5,3.517016653417118,3.517016653417118,0.0,,,39.49054058471547,0.3085790841289667,39.499,0.309,7.409916400909424,8.28125,1.6690706685185432,1.1103499634191394,NVIDIA L20Z,4
dense,adamw,3e-05,adamw-lr3e-5,3.5640556486355814,3.5640556486355814,0.0,,,38.96933790639868,0.3045064064005993,38.977,0.305,7.402655601501465,8.31640625,1.669070802628994,1.1103499634191394,NVIDIA L20Z,4
dense,normuon,0.0001,normuon-lr1e-4,3.768143760686249,3.768143760686249,0.0,,outputs/dense/normuon-lr1e-4/accepted_timing.json,36.85870224430998,0.2880138993370382,36.853,0.288,6.9729204177856445,7.85546875,1.2586640929803252,0.6999433739110827,NVIDIA L20Z,4
dense,normuon,0.0003,normuon-lr3e-4,3.7756473691315233,3.7756473691315233,0.0,,outputs/dense/normuon-lr3e-4/accepted_timing.json,36.78545036392956,0.2874415091437456,36.779,0.287,6.9729204177856445,7.85546875,1.2586642252281308,0.6999433739110827,NVIDIA L20Z,4
dense,normuon,0.001,normuon-lr1e-3,3.767888579168098,3.767888579168098,0.0,,outputs/dense/normuon-lr1e-3/accepted_timing.json,36.86119851228557,0.2880334051749994,36.855,0.288,6.9729204177856445,7.85546875,1.2586641404777765,0.6999433739110827,NVIDIA L20Z,4
dense,normuon,0.003,normuon-lr3e-3,3.5575548800679906,3.5575548800679906,0.0,,outputs/dense/normuon-lr3e-3/accepted_timing.json,39.040547109208475,0.305062835111355,39.034,0.305,6.9729204177856445,7.85546875,1.258663946762681,0.6999433739110827,NVIDIA L20Z,4
late,muon,0.0001,muon-lr1e-4,8.317460155054771,8.317460155054771,0.0,,outputs/late/muon-lr1e-4/accepted_timing.json,16.698473608494766,0.1304818727767781,16.697,0.13,37.048959255218506,46.55859375,1.3119481848552823,0.7353204591199756,NVIDIA L20Z,4
late,muon,0.0003,muon-lr3e-4,8.356722676635124,8.356722676635124,0.0,,outputs/late/muon-lr3e-4/accepted_timing.json,16.620018907318002,0.12986882774178288,16.619,0.13,37.048959255218506,46.55859375,1.3119483953341842,0.7353204591199756,NVIDIA L20Z,4
late,muon,0.001,muon-lr1e-3,8.441573708547253,8.441573708547253,0.0,,outputs/late/muon-lr1e-3/accepted_timing.json,16.452961696971414,0.12856344270013462,16.452,0.129,37.048959255218506,46.560546875,1.311948323622346,0.7353204591199756,NVIDIA L20Z,4
late,muon,0.003,muon-lr3e-3,8.409551846831908,8.409551846831908,0.0,,outputs/late/muon-lr3e-3/accepted_timing.json,16.51561122620486,0.1290529861215648,16.514,0.129,37.048959255218506,46.55859375,1.3119482221081853,0.7353204591199756,NVIDIA L20Z,4
late,adamw,1e-06,adamw-lr1e-6,8.318537859657248,6.64132704937947,1.6772108102777779,outputs/late/adamw-lr1e-6/timing_adjustment.json,,16.69631024491263,0.1304649682537473,20.917,0.163,37.453224182128906,42.546875,1.7228791797533631,1.1462540728971362,NVIDIA L20Z,4
late,adamw,3e-06,adamw-lr3e-6,8.291131480347747,1.6579988506255257,6.633132629722223,outputs/late/adamw-lr3e-6/timing_adjustment.json,,16.75149998743761,0.1308962209018375,83.831,0.655,20.166141033172607,30.041015625,1.7228719526901841,1.1462540728971362,NVIDIA L20Z,4
late,adamw,1e-05,adamw-lr1e-5,8.431273814600168,8.431273814600168,0.0,,outputs/late/adamw-lr1e-5/accepted_timing.json,16.473061122552966,0.1287204996116289,16.472,0.129,37.45969533920288,45.74609375,1.7228818368166685,1.1462540728971362,NVIDIA L20Z,4
late,adamw,3e-05,adamw-lr3e-5,8.356436177797796,8.356436177797796,0.0,,outputs/late/adamw-lr3e-5/accepted_timing.json,16.62058872152971,0.12987328027003314,16.619,0.13,37.45969533920288,45.74609375,1.7228820230811834,1.1462540728971362,NVIDIA L20Z,4
late,normuon,0.0001,normuon-lr1e-4,8.396664384374292,8.396664384374292,0.0,,outputs/late/normuon-lr1e-4/accepted_timing.json,16.540959901571522,0.12925106067087988,16.54,0.129,37.05428075790405,46.595703125,1.3124753013253212,0.7358475429937243,NVIDIA L20Z,4
late,normuon,0.0003,normuon-lr3e-4,8.46083796317107,8.46083796317107,0.0,,outputs/late/normuon-lr3e-4/accepted_timing.json,16.415500390558737,0.12827072005182596,16.414,0.128,37.05428075790405,46.595703125,1.3124754764139652,0.7358475429937243,NVIDIA L20Z,4
late,normuon,0.001,normuon-lr1e-3,8.45157985730433,8.45157985730433,0.0,,outputs/late/normuon-lr1e-3/accepted_timing.json,16.433482406115267,0.1284112315213847,16.432,0.128,37.05428075790405,46.595703125,1.312475400045514,0.7358475429937243,NVIDIA L20Z,4
late,normuon,0.003,normuon-lr3e-3,8.65535205396125,8.65535205396125,0.0,,outputs/late/normuon-lr3e-3/accepted_timing.json,16.046590366630358,0.12538805712484963,16.046,0.125,37.05428075790405,46.595703125,1.312475273385644,0.7358475429937243,NVIDIA L20Z,4
