family,anchor,algorithm,samples,relative_scale,mean_delta_contrastive_loss,p95_delta_contrastive_loss,p99_delta_contrastive_loss,loss_improvement_fraction,mean_delta_positive_margin,p05_delta_positive_margin,margin_improvement_fraction
dense,dense/pretrained,adamw,224,0.001,-0.04853827739134431,0.15770329236984243,0.2692195534706117,0.5892857142857143,0.00201416015625,-0.0078125,0.49107142857142855
dense,dense/pretrained,muon,224,0.001,-0.027562524252321703,0.12085130214691162,0.1851995182037354,0.5803571428571429,0.0009416852678571429,-0.00390625,0.42410714285714285
dense,dense/pretrained,normuon,224,0.001,-0.02079404268546828,0.12550467401742935,0.264042263031006,0.5535714285714286,0.0006277901785714286,-0.00390625,0.38392857142857145
dense,dense/adamw-lr1e-5/checkpoint-782,adamw,224,0.001,0.005148936313746942,0.24017168283462517,0.34947772085666673,0.4419642857142857,-0.0005580357142857143,-0.0078125,0.30357142857142855
dense,dense/adamw-lr1e-5/checkpoint-782,muon,224,0.001,-0.003944998741449776,0.13758851289749144,0.2548273730278018,0.46875,-5.231584821428571e-05,-0.005566406249999999,0.2857142857142857
dense,dense/adamw-lr1e-5/checkpoint-782,normuon,224,0.001,-0.007718359069323404,0.12047619223594665,0.21474655508995083,0.5089285714285714,0.0002964564732142857,-0.00390625,0.29464285714285715
dense,dense/adamw-lr1e-5/checkpoint-2345,adamw,224,0.001,-0.009796972547844365,0.24208370447158803,0.3887954103946689,0.5803571428571429,0.0006365094866071429,-0.0078125,0.38839285714285715
dense,dense/adamw-lr1e-5/checkpoint-2345,muon,224,0.001,-0.01712246472516199,0.08268593847751615,0.1838447666168213,0.5982142857142857,0.0009504045758928571,-0.00390625,0.36607142857142855
dense,dense/adamw-lr1e-5/checkpoint-2345,normuon,224,0.001,-0.01511502853626163,0.07508084177970885,0.11742253065109265,0.5491071428571429,0.0006190708705357143,-0.00390625,0.33482142857142855
dense,dense/adamw-lr1e-5/checkpoint-3907,adamw,224,0.001,-0.010885764762113987,0.17560735940933223,0.45002119421958997,0.5625,0.0004970005580357143,-0.0078125,0.39732142857142855
dense,dense/adamw-lr1e-5/checkpoint-3907,muon,224,0.001,-0.012452679829591164,0.09858150482177734,0.17473520100116766,0.5758928571428571,0.0005057198660714286,-0.00390625,0.34375
